player_id;short_name;club_name;age;overall;player_positions;preferred_foot;nationality_name;value_eur;wage_eur;international_reputation
231747;K. Mbappé;Paris Saint Germain;24;91;ST, LW;Right;France;181.5 mio;230.0 k;5
239085;E. Haaland;Manchester City;22;91;ST;Left;Norway;185.0 mio;340.0 k;5
192985;K. De Bruyne;Manchester City;32;91;CM, CAM;Right;Belgium;103.0 mio;350.0 k;5
158023;L. Messi;Inter Miami;36;90;CF, CAM;Left;Argentina;41.0 mio;23.0 k;5
165153;K. Benzema;Al Ittihad;35;90;CF, ST;Right;France;51.0 mio;95.0 k;5
188545;R. Lewandowski;FC Barcelona;34;90;ST;Right;Poland;58.0 mio;340.0 k;5
192119;T. Courtois;Real Madrid;31;90;GK;Left;Belgium;63.0 mio;250.0 k;5
202126;H. Kane;FC Bayern München;29;90;ST;Right;England;119.5 mio;170.0 k;5
238794;Vini Jr.;Real Madrid;22;89;LW;Right;Brazil;158.5 mio;310.0 k;5
212831;Alisson;Liverpool;30;89;GK;Right;Brazil;77.5 mio;180.0 k;5
231866;Rodri;Manchester City;27;89;CDM, CM;Right;Spain;105.5 mio;250.0 k;4
239818;Rúben Dias;Manchester City;26;89;CB;Right;Portugal;106.5 mio;250.0 k;4
190871;Neymar Jr;Al Hilal;31;89;LW;Right;Brazil;85.5 mio;115.0 k;5
192448;M. ter Stegen;FC Barcelona;31;89;GK;Right;Germany;54.5 mio;220.0 k;5
200145;Casemiro;Manchester United;31;89;CDM;Right;Brazil;72.0 mio;240.0 k;4
203376;V. van Dijk;Liverpool;31;89;CB;Right;Netherlands;70.5 mio;220.0 k;4
209331;M. Salah;Liverpool;31;89;RW;Left;Egypt;85.5 mio;260.0 k;5
239053;F. Valverde;Real Madrid;24;88;CM, RW;Right;Uruguay;130.5 mio;270.0 k;3
232293;V. Osimhen;Napoli;24;88;ST;Right;Nigeria;126.5 mio;120.0 k;3
210257;Ederson;Manchester City;29;88;GK;Left;Brazil;70.0 mio;210.0 k;3
212622;J. Kimmich;FC Bayern München;28;88;CDM, RB, CM;Right;Germany;88.0 mio;130.0 k;4
194765;A. Griezmann;Atlético Madrid;32;88;ST, CF;Left;France;74.0 mio;135.0 k;5
200389;J. Oblak;Atlético Madrid;30;88;GK;Right;Slovenia;61.0 mio;90.0 k;4
212198;Bruno Fernandes;Manchester United;28;88;CAM, CM;Right;Portugal;92.0 mio;260.0 k;4
218667;Bernardo Silva;Manchester City;28;88;CM, RW;Left;Portugal;91.5 mio;270.0 k;3
222665;M. Ødegaard;Arsenal;24;87;CAM, CM;Left;Norway;109.0 mio;170.0 k;4
228702;F. de Jong;FC Barcelona;26;87;CM, CDM;Right;Netherlands;103.5 mio;240.0 k;4
230621;G. Donnarumma;Paris Saint Germain;24;87;GK;Right;Italy;85.0 mio;90.0 k;3
231478;L. Martínez;Inter;25;87;ST;Right;Argentina;107.0 mio;150.0 k;3
235073;G. Kobel;Borussia Dortmund;25;87;GK;Right;Switzerland;81.5 mio;64.0 k;3
215698;M. Maignan;Milan;27;87;GK;Right;France;73.0 mio;90.0 k;3
207865;Marquinhos;Paris Saint Germain;29;87;CB;Right;Brazil;73.5 mio;140.0 k;3
167495;M. Neuer;FC Bayern München;37;87;GK;Right;Germany;9.0 mio;55.0 k;5
177003;L. Modrić;Real Madrid;37;87;CM;Right;Croatia;25.0 mio;190.0 k;4
200104;H. Son;Tottenham Hotspur;30;87;LW;Right;Korea Republic;77.0 mio;170.0 k;4
256790;J. Musiala;FC Bayern München;20;86;CAM, CM, LM;Right;Germany;134.5 mio;79.0 k;3
247635;K. Kvaratskhelia;Napoli;22;86;LW, RW;Right;Georgia;109.0 mio;95.0 k;2
251854;Pedri;FC Barcelona;20;86;CM;Right;Spain;105.0 mio;165.0 k;3
241721;Rafael Leão;Milan;24;86;LW, CF, ST;Right;Portugal;102.5 mio;110.0 k;2
252371;J. Bellingham;Real Madrid;20;86;CM, CAM;Right;England;100.5 mio;175.0 k;3
253163;R. Araujo;FC Barcelona;24;86;CB, RB;Right;Uruguay;93.0 mio;175.0 k;3
246669;B. Saka;Arsenal;21;86;RW, RM;Left;England;99.0 mio;150.0 k;2
235243;M. de Ligt;FC Bayern München;23;86;CB;Right;Netherlands;83.0 mio;84.0 k;3
