player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
Aaron Hunt,108,103,0,0,5,359,65,190,104,107,8,53,46,1,42,0,1,1,42,1,9,3,0,28,19,7,16,5,32,5,17,10,0,0,0,1,0,0,1,1,0,0,2,0,0.9537037037037037,0.181058495821727,0.5292479108635098,0.28969359331476324,0.07476635514018691,0.4953271028037383,0.42990654205607476,0.6785714285714286,0.25,0.5714285714285714,0.17857142857142858,0.15625,0.53125,0.3125
Adam Hloušek,8,8,0,0,0,52,32,18,2,15,4,8,3,1,11,1,0,0,11,0,30,17,0,6,4,4,2,0,7,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.26666666666666666,0.5333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.14285714285714285,0.8571428571428571,0.0
Adelino André Vieira Freitas,133,130,0,0,3,296,106,149,41,95,14,57,24,2,53,0,2,2,53,0,29,18,0,52,27,21,27,4,16,4,9,3,0,1,0,3,0,0,0,0,0,0,3,0,0.9774436090225563,0.3581081081081081,0.5033783783783784,0.13851351351351351,0.14736842105263157,0.6,0.25263157894736843,0.5192307692307693,0.40384615384615385,0.5192307692307693,0.07692307692307693,0.25,0.5625,0.1875
Admir Mehmedi,76,73,1,1,3,315,51,159,105,100,4,51,45,1,34,1,1,1,34,0,8,5,0,24,13,6,13,5,32,3,19,10,1,0,0,1,0,0,1,1,0,0,2,0,0.9605263157894737,0.1619047619047619,0.5047619047619047,0.3333333333333333,0.04,0.51,0.45,0.5416666666666666,0.25,0.5416666666666666,0.20833333333333334,0.09375,0.59375,0.3125
Adnan Januzaj,6,6,0,0,0,37,3,16,18,14,1,6,7,0,3,1,0,0,3,0,0,0,0,1,1,0,1,0,7,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.08108108108108109,0.43243243243243246,0.4864864864864865,0.07142857142857142,0.42857142857142855,0.5,1.0,0.0,1.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714
Ahmet Metin Arslan,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,
Albian Afrim Ajeti,2,2,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5
Albin Ekdal,69,58,0,0,11,230,83,122,25,73,9,50,14,0,24,1,1,1,24,0,32,20,0,23,14,11,11,1,31,5,21,5,1,0,0,4,0,0,0,0,0,0,4,0,0.8405797101449275,0.36086956521739133,0.5304347826086957,0.10869565217391304,0.1232876712328767,0.684931506849315,0.1917808219178082,0.6086956521739131,0.4782608695652174,0.4782608695652174,0.043478260869565216,0.16129032258064516,0.6774193548387096,0.16129032258064516
Alejandro Gálvez Jimena,57,52,0,0,5,225,134,85,6,67,12,49,6,5,20,0,0,0,20,0,61,28,0,30,13,22,8,0,25,9,14,2,0,0,0,3,0,0,0,0,0,0,3,0,0.9122807017543859,0.5955555555555555,0.37777777777777777,0.02666666666666667,0.1791044776119403,0.7313432835820896,0.08955223880597014,0.43333333333333335,0.7333333333333333,0.26666666666666666,0.0,0.36,0.56,0.08
Aleksandar Ignjovski,82,76,0,0,6,322,152,134,36,92,11,54,27,3,31,0,0,0,31,1,39,26,0,45,22,23,19,3,20,3,13,4,0,0,0,2,0,0,1,1,0,0,3,0,0.926829268292683,0.4720496894409938,0.4161490683229814,0.11180124223602485,0.11956521739130435,0.5869565217391305,0.29347826086956524,0.4888888888888889,0.5111111111111111,0.4222222222222222,0.06666666666666667,0.15,0.65,0.2
