Season,League,Team,Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
2022-2023,EPL,Manchester City,Ederson,BRA,GK,28.0,35.0,32.0,3.0,1.0,4.0,1.0,26.2,0.3,-4.8,-0.14,117.0,263.0,44.5,1104.0,147.0,19.6,28.0,152.0,30.9,32.3,286.0,19.0,6.6,33.0,0.94,15.7
2022-2023,EPL,Manchester City,Stefan Ortega,GER,GK,29.0,3.0,1.0,0.0,0.0,0.0,0.0,4.1,0.27,3.1,1.02,11.0,24.0,45.8,155.0,16.0,14.8,23.9,12.0,8.3,20.3,26.0,1.0,3.8,7.0,2.33,21.1
2022-2023,EPL,Manchester City,Squad Total,,,27.2,38.0,33.0,3.0,1.0,4.0,1.0,30.3,0.3,-1.7,-0.05,128.0,287.0,44.6,1259.0,163.0,19.0,,164.0,29.3,31.4,312.0,20.0,6.4,40.0,1.05,
2022-2023,EPL,Manchester City,Opponent Total,,,26.6,38.0,94.0,9.0,2.0,10.0,2.0,74.8,0.31,-17.2,-0.45,223.0,652.0,34.2,1203.0,174.0,40.3,35.3,303.0,55.1,42.9,552.0,32.0,5.8,23.0,0.61,13.0
2022-2023,EPL,Arsenal,Aaron Ramsdale,ENG,GK,24.0,38.0,43.0,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109.0,429.0,25.4,956.0,174.0,35.4,33.3,153.0,59.5,49.2,381.0,22.0,5.8,43.0,1.13,16.1
2022-2023,EPL,Arsenal,Squad Total,,,24.7,38.0,43.0,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109.0,429.0,25.4,956.0,174.0,35.4,,153.0,59.5,49.2,381.0,22.0,5.8,43.0,1.13,
2022-2023,EPL,Arsenal,Opponent Total,,,26.7,38.0,88.0,3.0,0.0,13.0,4.0,66.8,0.33,-17.2,-0.45,215.0,604.0,35.6,989.0,134.0,41.0,35.2,310.0,64.2,46.9,510.0,38.0,7.5,37.0,0.97,13.0
2022-2023,EPL,Manchester Utd,David de Gea,ESP,GK,31.0,38.0,43.0,2.0,2.0,6.0,1.0,41.3,0.27,-0.7,-0.02,141.0,449.0,31.4,1032.0,128.0,32.6,32.3,179.0,63.1,47.1,526.0,15.0,2.9,32.0,0.84,14.8
2022-2023,EPL,Manchester Utd,Squad Total,,,26.9,38.0,43.0,2.0,2.0,6.0,1.0,41.3,0.27,-0.7,-0.02,141.0,449.0,31.4,1032.0,128.0,32.6,,179.0,63.1,47.1,526.0,15.0,2.9,32.0,0.84,
2022-2023,EPL,Manchester Utd,Opponent Total,,,26.4,38.0,58.0,3.0,0.0,3.0,2.0,63.8,0.3,7.8,0.21,215.0,556.0,38.7,1215.0,189.0,35.1,32.0,274.0,47.4,38.5,406.0,19.0,4.7,64.0,1.68,18.2
2022-2023,EPL,Newcastle Utd,Nick Pope,ENG,GK,30.0,36.2,32.0,2.0,0.0,8.0,1.0,31.3,0.24,0.3,0.01,120.0,368.0,32.6,683.0,232.0,33.1,33.0,207.0,68.6,50.7,411.0,34.0,8.3,74.0,2.04,18.2
2022-2023,EPL,Newcastle Utd,Martin Dúbravka,SVK,GK,33.0,1.7,1.0,0.0,0.0,0.0,1.0,1.9,0.21,1.9,1.07,6.0,10.0,60.0,39.0,14.0,10.3,20.7,15.0,40.0,35.3,30.0,1.0,3.3,0.0,0.0,12.4
2022-2023,EPL,Newcastle Utd,Squad Total,,,27.3,38.0,33.0,2.0,0.0,8.0,2.0,33.2,0.24,2.2,0.06,126.0,378.0,33.3,722.0,246.0,31.9,,222.0,66.7,49.6,441.0,35.0,7.9,74.0,1.95,
2022-2023,EPL,Newcastle Utd,Opponent Total,,,26.8,38.0,68.0,6.0,1.0,6.0,4.0,66.5,0.32,2.5,0.07,222.0,736.0,30.2,1082.0,195.0,48.1,38.2,298.0,72.5,50.6,580.0,55.0,9.5,51.0,1.34,14.2
2022-2023,EPL,Liverpool,Alisson,BRA,GK,29.0,37.0,43.0,2.0,0.0,0.0,2.0,51.1,0.33,10.1,0.27,116.0,283.0,41.0,1256.0,210.0,18.4,26.9,193.0,26.9,31.3,397.0,23.0,5.8,89.0,2.41,19.8
2022-2023,EPL,Liverpool,Caoimhín Kelleher,IRL,GK,23.0,1.0,4.0,0.0,0.0,0.0,0.0,2.9,0.34,-1.1,-1.06,2.0,2.0,100.0,22.0,7.0,9.1,24.3,2.0,0.0,20.5,3.0,0.0,0.0,0.0,0.0,9.0
2022-2023,EPL,Liverpool,Squad Total,,,27.4,38.0,47.0,2.0,0.0,0.0,2.0,54.1,0.33,9.1,0.24,118.0,285.0,41.4,1278.0,217.0,18.2,,195.0,26.7,31.2,400.0,23.0,5.8,89.0,2.34,
2022-2023,EPL,Liverpool,Opponent Total,,,26.6,38.0,75.0,2.0,1.0,11.0,4.0,66.7,0.32,-4.3,-0.11,213.0,710.0,30.0,1011.0,199.0,48.9,38.6,312.0,69.2,49.8,651.0,40.0,6.1,48.0,1.26,14.7
2022-2023,EPL,Brighton,Robert Sánchez,ESP,GK,24.0,23.0,30.0,5.0,0.0,4.0,3.0,24.2,0.25,-2.8,-0.12,60.0,205.0,29.3,645.0,103.0,24.2,28.9,131.0,37.4,35.1,229.0,17.0,7.4,13.0,0.57,12.3
2022-2023,EPL,Brighton,Jason Steele,ENG,GK,31.0,15.0,23.0,1.0,0.0,2.0,3.0,18.5,0.29,-1.5,-0.1,34.0,74.0,45.9,483.0,48.0,14.9,24.2,55.0,3.6,13.9,126.0,10.0,7.9,19.0,1.27,15.7
2022-2023,EPL,Brighton,Squad Total,,,26.3,38.0,53.0,6.0,0.0,6.0,6.0,42.7,0.27,-4.3,-0.11,94.0,279.0,33.7,1128.0,151.0,20.2,,186.0,27.4,28.8,355.0,27.0,7.6,32.0,0.84,
2022-2023,EPL,Brighton,Opponent Total,,,26.5,38.0,72.0,6.0,1.0,3.0,4.0,66.8,0.28,-1.2,-0.03,202.0,663.0,30.5,1167.0,170.0,41.5,35.2,301.0,59.5,43.6,554.0,38.0,6.9,63.0,1.66,14.2
2022-2023,EPL,Aston Villa,Emiliano Martínez,ARG,GK,29.0,34.9,38.0,4.0,1.0,6.0,4.0,36.6,0.24,2.6,0.07,199.0,523.0,38.0,1171.0,135.0,35.5,33.0,212.0,50.5,40.7,483.0,60.0,12.4,73.0,2.09,16.6
2022-2023,EPL,Aston Villa,Robin Olsen,SWE,GK,32.0,3.1,8.0,1.0,0.0,3.0,0.0,6.2,0.29,-1.8,-0.57,15.0,62.0,24.2,101.0,18.0,44.6,37.6,28.0,60.7,46.8,45.0,5.0,11.1,3.0,0.96,14.2
2022-2023,EPL,Aston Villa,Squad Total,,,27.0,38.0,46.0,5.0,1.0,9.0,4.0,42.8,0.25,0.8,0.02,214.0,585.0,36.6,1272.0,153.0,36.2,,240.0,51.7,41.4,528.0,65.0,12.3,76.0,2.0,
2022-2023,EPL,Aston Villa,Opponent Total,,,26.5,38.0,51.0,3.0,2.0,6.0,2.0,44.1,0.28,-4.9,-0.13,134.0,355.0,37.7,829.0,173.0,29.6,31.9,225.0,48.9,39.7,439.0,27.0,6.2,41.0,1.08,15.1
2022-2023,EPL,Tottenham,Hugo Lloris,FRA,GK,35.0,24.5,39.0,1.0,0.0,3.0,1.0,33.9,0.29,-4.1,-0.17,77.0,218.0,35.3,539.0,109.0,31.7,31.4,186.0,25.3,25.8,322.0,20.0,6.2,29.0,1.18,13.8
2022-2023,EPL,Tottenham,Fraser Forster,ENG,GK,34.0,13.5,24.0,2.0,1.0,4.0,0.0,21.3,0.34,-2.7,-0.2,36.0,124.0,29.0,269.0,71.0,29.0,30.2,93.0,49.5,37.6,193.0,5.0,2.6,16.0,1.19,15.2
2022-2023,EPL,Tottenham,Squad Total,,,27.6,38.0,63.0,3.0,1.0,7.0,1.0,55.1,0.3,-6.9,-0.18,113.0,342.0,33.0,808.0,180.0,30.8,30.2,279.0,33.3,29.7,515.0,25.0,4.9,45.0,1.18,15.2
2022-2023,EPL,Tottenham,Opponent Total,,,26.7,38.0,70.0,5.0,0.0,13.0,2.0,56.5,0.27,-11.5,-0.3,184.0,611.0,30.1,1024.0,169.0,44.4,36.5,221.0,70.6,49.8,530.0,30.0,5.7,60.0,1.58,15.7
2022-2023,EPL,Brentford,David Raya,ESP,GK,26.0,38.0,46.0,2.0,0.0,9.0,3.0,48.0,0.24,5.0,0.13,347.0,882.0,39.3,1367.0,160.0,50.7,39.5,269.0,70.3,51.8,598.0,52.0,8.7,54.0,1.42,15.8
