Season,League,Team,Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
2022-2023,EPL,Manchester City,Ederson,BRA,GK,28.0,35.0,35.0,3150.0,35.0,32.0,0.91,77.0,46.0,62.3,26.0,4.0,5.0,11.0,31.4,3.0,3.0,0.0,0.0,0.0
2022-2023,EPL,Manchester City,Stefan Ortega,GER,GK,29.0,3.0,3.0,270.0,3.0,1.0,0.33,15.0,14.0,93.3,2.0,1.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,
2022-2023,EPL,Arsenal,Aaron Ramsdale,ENG,GK,24.0,38.0,38.0,3420.0,38.0,43.0,1.13,136.0,94.0,70.6,26.0,6.0,6.0,14.0,36.8,5.0,3.0,0.0,2.0,0.0
2022-2023,EPL,Manchester Utd,David de Gea,ESP,GK,31.0,38.0,38.0,3420.0,38.0,43.0,1.13,142.0,99.0,71.1,23.0,6.0,9.0,17.0,44.7,3.0,2.0,1.0,0.0,33.3
2022-2023,EPL,Newcastle Utd,Nick Pope,ENG,GK,30.0,37.0,37.0,3261.0,36.2,32.0,0.88,118.0,85.0,74.6,19.0,13.0,5.0,14.0,37.8,5.0,2.0,2.0,1.0,50.0
2022-2023,EPL,Newcastle Utd,Martin Dúbravka,SVK,GK,33.0,2.0,1.0,157.0,1.7,1.0,0.57,9.0,9.0,88.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Liverpool,Alisson,BRA,GK,29.0,37.0,37.0,3330.0,37.0,43.0,1.16,147.0,105.0,72.1,19.0,9.0,9.0,14.0,37.8,4.0,2.0,1.0,1.0,33.3
2022-2023,EPL,Liverpool,Caoimhín Kelleher,IRL,GK,23.0,1.0,1.0,90.0,1.0,4.0,4.0,10.0,6.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Brighton,Robert Sánchez,ESP,GK,24.0,23.0,23.0,2070.0,23.0,30.0,1.3,74.0,46.0,66.2,11.0,5.0,7.0,6.0,26.1,6.0,5.0,1.0,0.0,16.7
2022-2023,EPL,Brighton,Jason Steele,ENG,GK,31.0,15.0,15.0,1350.0,15.0,23.0,1.53,57.0,36.0,61.4,7.0,3.0,5.0,6.0,40.0,2.0,1.0,1.0,0.0,50.0
2022-2023,EPL,Aston Villa,Emiliano Martínez,ARG,GK,29.0,36.0,36.0,3139.0,34.9,38.0,1.09,132.0,97.0,74.2,17.0,7.0,12.0,11.0,30.6,5.0,4.0,1.0,0.0,20.0
2022-2023,EPL,Aston Villa,Robin Olsen,SWE,GK,32.0,4.0,2.0,281.0,3.1,8.0,2.56,19.0,11.0,63.2,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0
2022-2023,EPL,Tottenham,Hugo Lloris,FRA,GK,35.0,25.0,25.0,2205.0,24.5,39.0,1.59,117.0,79.0,67.5,13.0,3.0,9.0,7.0,28.0,1.0,1.0,0.0,0.0,0.0
