Season,League,Team,Player,Nation,Pos,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2022-2023,EPL,Manchester City,Ederson,BRA,GK,28.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,8.0,1.0,88.9
2022-2023,EPL,Manchester City,Rodri,ESP,MF,26.0,5.0,0.0,0.0,47.0,20.0,3.0,6.0,33.0,41.0,0.0,0.0,0.0,301.0,72.0,32.0,69.2
2022-2023,EPL,Manchester City,Erling Haaland,NOR,FW,22.0,5.0,0.0,0.0,31.0,24.0,8.0,12.0,3.0,2.0,1.0,0.0,0.0,37.0,50.0,50.0,50.0
2022-2023,EPL,Manchester City,Kevin De Bruyne,BEL,MF,31.0,1.0,0.0,0.0,20.0,29.0,5.0,226.0,9.0,12.0,2.0,0.0,0.0,97.0,13.0,13.0,50.0
2022-2023,EPL,Manchester City,İlkay Gündoğan,GER,MF,31.0,0.0,0.0,0.0,23.0,25.0,6.0,30.0,20.0,18.0,2.0,0.0,0.0,155.0,19.0,12.0,61.3
2022-2023,EPL,Manchester City,Manuel Akanji,SUI,DF,27.0,2.0,0.0,0.0,24.0,12.0,0.0,6.0,16.0,25.0,0.0,0.0,0.0,136.0,23.0,34.0,40.4
2022-2023,EPL,Manchester City,Bernardo Silva,POR,"MF,FW",27.0,5.0,0.0,0.0,31.0,15.0,2.0,75.0,16.0,23.0,1.0,0.0,0.0,122.0,4.0,13.0,23.5
2022-2023,EPL,Manchester City,Jack Grealish,ENG,FW,26.0,4.0,0.0,0.0,27.0,78.0,3.0,53.0,7.0,16.0,1.0,0.0,0.0,110.0,14.0,17.0,45.2
2022-2023,EPL,Manchester City,Rúben Dias,POR,DF,25.0,3.0,0.0,0.0,19.0,7.0,0.0,1.0,18.0,13.0,0.0,0.0,0.0,99.0,44.0,28.0,61.1
2022-2023,EPL,Manchester City,Kyle Walker,ENG,DF,32.0,3.0,0.0,0.0,15.0,10.0,0.0,28.0,18.0,9.0,0.0,0.0,0.0,124.0,23.0,11.0,67.6
2022-2023,EPL,Manchester City,Riyad Mahrez,ALG,"FW,MF",31.0,2.0,0.0,0.0,16.0,42.0,7.0,96.0,9.0,14.0,0.0,0.0,0.0,82.0,9.0,14.0,39.1
2022-2023,EPL,Manchester City,Nathan Aké,NED,DF,27.0,2.0,0.0,0.0,12.0,14.0,1.0,15.0,20.0,12.0,0.0,0.0,0.0,96.0,36.0,23.0,61.0
2022-2023,EPL,Manchester City,Phil Foden,ENG,FW,22.0,1.0,0.0,0.0,10.0,29.0,6.0,91.0,5.0,10.0,1.0,0.0,0.0,91.0,19.0,26.0,42.2
2022-2023,EPL,Manchester City,John Stones,ENG,"DF,MF",28.0,2.0,0.0,0.0,10.0,8.0,1.0,6.0,9.0,13.0,0.0,0.0,1.0,90.0,33.0,16.0,67.3
2022-2023,EPL,Manchester City,João Cancelo,POR,DF,28.0,3.0,1.0,0.0,13.0,18.0,4.0,45.0,19.0,21.0,0.0,2.0,0.0,80.0,27.0,11.0,71.1
2022-2023,EPL,Manchester City,Julián Álvarez,ARG,"FW,MF",22.0,0.0,0.0,0.0,21.0,14.0,3.0,26.0,2.0,16.0,1.0,0.0,0.0,44.0,8.0,23.0,25.8
2022-2023,EPL,Manchester City,Aymeric Laporte,ESP,DF,28.0,0.0,0.0,0.0,5.0,7.0,1.0,6.0,3.0,8.0,0.0,0.0,0.0,55.0,24.0,19.0,55.8
2022-2023,EPL,Manchester City,Rico Lewis,ENG,"DF,MF",17.0,1.0,0.0,0.0,10.0,18.0,0.0,5.0,6.0,9.0,0.0,0.0,0.0,43.0,0.0,6.0,0.0
2022-2023,EPL,Manchester City,Stefan Ortega,GER,GK,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
2022-2023,EPL,Manchester City,Cole Palmer,ENG,"MF,FW",20.0,1.0,0.0,0.0,1.0,6.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,20.0,1.0,3.0,25.0
2022-2023,EPL,Manchester City,Sergio Gómez,ESP,"DF,MF",21.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,19.0,3.0,10.0,23.1
2022-2023,EPL,Manchester City,Kalvin Phillips,ENG,MF,26.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,19.0,5.0,2.0,71.4
2022-2023,EPL,Manchester City,Shea Charles,NIR,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
2022-2023,EPL,Manchester City,Máximo Perrone,ARG,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
2022-2023,EPL,Arsenal,Aaron Ramsdale,ENG,GK,24.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,6.0,0.0,100.0
2022-2023,EPL,Arsenal,Gabriel Dos Santos,BRA,DF,24.0,5.0,0.0,0.0,26.0,40.0,1.0,5.0,32.0,30.0,0.0,2.0,0.0,191.0,100.0,76.0,56.8
2022-2023,EPL,Arsenal,Bukayo Saka,ENG,FW,20.0,6.0,0.0,0.0,43.0,65.0,9.0,172.0,14.0,34.0,0.0,0.0,0.0,127.0,16.0,38.0,29.6
2022-2023,EPL,Arsenal,Martin Ødegaard,NOR,MF,23.0,4.0,0.0,0.0,30.0,26.0,1.0,91.0,6.0,23.0,0.0,0.0,0.0,178.0,13.0,20.0,39.4
2022-2023,EPL,Arsenal,Ben White,ENG,DF,24.0,5.0,0.0,0.0,28.0,30.0,1.0,57.0,22.0,31.0,0.0,0.0,0.0,155.0,33.0,41.0,44.6
2022-2023,EPL,Arsenal,Granit Xhaka,SUI,MF,29.0,4.0,0.0,0.0,25.0,39.0,5.0,39.0,15.0,27.0,0.0,0.0,0.0,152.0,37.0,30.0,55.2
2022-2023,EPL,Arsenal,Gabriel Martinelli,BRA,FW,21.0,3.0,0.0,0.0,39.0,37.0,8.0,113.0,9.0,18.0,0.0,0.0,0.0,103.0,14.0,63.0,18.2
2022-2023,EPL,Arsenal,Thomas Partey,GHA,MF,29.0,5.0,0.0,0.0,37.0,23.0,0.0,9.0,28.0,40.0,0.0,0.0,0.0,225.0,37.0,25.0,59.7
2022-2023,EPL,Arsenal,William Saliba,FRA,DF,21.0,4.0,0.0,0.0,19.0,13.0,0.0,1.0,19.0,20.0,0.0,2.0,1.0,206.0,53.0,43.0,55.2
2022-2023,EPL,Arsenal,Oleksandr Zinchenko,UKR,DF,25.0,3.0,0.0,0.0,6.0,11.0,1.0,37.0,22.0,18.0,0.0,0.0,0.0,163.0,51.0,20.0,71.8
2022-2023,EPL,Arsenal,Gabriel Jesus,BRA,FW,25.0,6.0,0.0,0.0,43.0,56.0,16.0,11.0,11.0,25.0,2.0,0.0,0.0,79.0,44.0,78.0,36.1
2022-2023,EPL,Arsenal,Leandro Trossard,BEL,FW,27.0,0.0,0.0,0.0,9.0,17.0,4.0,55.0,6.0,7.0,0.0,0.0,0.0,46.0,1.0,4.0,20.0
