Season,League,Team,Player,Nation,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,xG,npxG,xAG,npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches Played
2022-2023,EPL,Manchester City,Ederson,BRA,GK,28.0,35.0,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,35.0
2022-2023,EPL,Manchester City,Rodri,ESP,MF,26.0,34.0,2911.0,32.3,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,76.0,260.0,37.0,0.06,0.19,0.25,0.06,0.25,4.6,4.6,4.1,8.7,0.14,0.13,0.27,0.14,0.27,36.0
2022-2023,EPL,Manchester City,Erling Haaland,NOR,FW,22.0,33.0,2769.0,30.8,36.0,8.0,44.0,29.0,7.0,7.0,5.0,0.0,35.0,58.0,151.0,1.17,0.26,1.43,0.94,1.2,28.4,23.1,5.3,28.4,0.92,0.17,1.1,0.75,0.92,35.0
2022-2023,EPL,Manchester City,Kevin De Bruyne,BEL,MF,31.0,28.0,2417.0,26.9,7.0,16.0,23.0,7.0,0.0,0.0,1.0,0.0,100.0,246.0,245.0,0.26,0.6,0.86,0.26,0.86,5.6,5.6,13.7,19.3,0.21,0.51,0.72,0.21,0.72,32.0
2022-2023,EPL,Manchester City,İlkay Gündoğan,GER,MF,31.0,27.0,2353.0,26.1,8.0,4.0,12.0,8.0,0.0,1.0,0.0,0.0,53.0,170.0,124.0,0.31,0.15,0.46,0.31,0.46,7.5,6.7,3.3,10.0,0.29,0.13,0.41,0.26,0.38,31.0
2022-2023,EPL,Manchester City,Manuel Akanji,SUI,DF,27.0,24.0,2287.0,25.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,116.0,17.0,0.0,0.04,0.04,0.0,0.04,1.3,1.3,0.4,1.7,0.05,0.02,0.07,0.05,0.07,29.0
2022-2023,EPL,Manchester City,Bernardo Silva,POR,"MF,FW",27.0,24.0,2205.0,24.5,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,90.0,130.0,188.0,0.16,0.2,0.37,0.16,0.37,2.2,2.2,3.3,5.4,0.09,0.13,0.22,0.09,0.22,34.0
2022-2023,EPL,Manchester City,Jack Grealish,ENG,FW,26.0,23.0,2055.0,22.8,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,143.0,100.0,310.0,0.22,0.31,0.53,0.22,0.53,4.6,4.6,7.0,11.7,0.2,0.31,0.51,0.2,0.51,28.0
2022-2023,EPL,Manchester City,Rúben Dias,POR,DF,25.0,22.0,1998.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.6,1.9,0.06,0.03,0.09,0.06,0.09,26.0
2022-2023,EPL,Manchester City,Kyle Walker,ENG,DF,32.0,22.0,1958.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,162.0,75.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.7,0.02,0.01,0.03,0.02,0.03,27.0
