unique_id,Season,League,Team,Player,Nation,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,xG,npxG,xAG,npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches Played,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Tackles_Att,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Interceptions,Clearances,Errors,Dribblers_Tkl_Succ,Dribblers_Tkl_Att,Dribblers_Tkl_Lost,Blocks_Total,Blocks_Shots,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,SCA,SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA,GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Assists,Key Passes,Passes_to_1/3,Passes_to_Penalt_Area,Crosses_into_Penalty_Area,Progressive Passes,Playing Time_Minutes,Playing Time_Mn/MP,Starts,Mn/Start,Compl,Subs,unSub,PPM,onG,onGA,On-Off,Touches_Number,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Number,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Succ,Receiving_PrgR,Goals,Shots,SoT,SoT%,Shots/90,Goals/Shot,Goals/SoT,Global Pos
Ederson_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Ederson,BRA,GK,28.0,35.0,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,35.0,32.0,3.0,1.0,4.0,1.0,26.2,0.3,-4.8,-0.14,117.0,263.0,44.5,1104.0,147.0,19.6,28.0,152.0,30.9,32.3,286.0,19.0,6.6,33.0,0.94,15.7,3.0,3.0,0.0,0.0,1.0,10.0,2.0,1.0,2.0,1.0,0.0,0.0,32.0,0.91,77.0,46.0,62.3,26.0,4.0,5.0,11.0,31.4,3.0,3.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,35.0,8.0,1.0,1079.0,1257.0,85.8,26248.0,17275.0,237.0,239.0,99.2,563.0,572.0,98.4,278.0,442.0,62.9,1.0,1.0,13.0,0.0,0.0,0.0,3150.0,90.0,35.0,90.0,35.0,0.0,3.0,2.34,89.0,32.0,0.3,1302.0,1049.0,1295.0,9.0,0.0,0.0,0.0,0.0,0.0,,869.0,4059.0,2429.0,0.0,0.0,0.0,0.0,0.0,833.0,0.0,0.0,0.0,0.0,,0.0,,,GK
Rodri_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Rodri,ESP,MF,26.0,34.0,2911.0,32.3,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,76.0,260.0,37.0,0.06,0.19,0.25,0.06,0.25,4.6,4.6,4.1,8.7,0.14,0.13,0.27,0.14,0.27,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,28.0,28.0,11.0,33.0,43.0,1.0,26.0,52.0,26.0,40.0,14.0,,,,,,,,,,,,,,,,92.0,2.84,80.0,0.0,4.0,6.0,1.0,1.0,10.0,0.31,10.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,20.0,3.0,6.0,0.0,0.0,0.0,301.0,72.0,32.0,2723.0,2987.0,91.2,49949.0,11936.0,1103.0,1187.0,92.9,1278.0,1369.0,93.4,300.0,354.0,84.7,6.0,32.0,265.0,33.0,3.0,260.0,2911.0,81.0,34.0,85.0,23.0,2.0,1.0,2.39,83.0,26.0,1.06,3272.0,119.0,706.0,1993.0,592.0,62.0,37.0,25.0,8.0,21.6,2004.0,10293.0,5622.0,76.0,72.0,3.0,21.0,19.0,2511.0,37.0,2.0,50.0,14.0,28.0,1.55,0.04,0.14,MF
Erling Haaland_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Erling Haaland,NOR,FW,22.0,33.0,2769.0,30.8,36.0,8.0,44.0,29.0,7.0,7.0,5.0,0.0,35.0,58.0,151.0,1.17,0.26,1.43,0.94,1.2,28.4,23.1,5.3,28.4,0.92,0.17,1.1,0.75,0.92,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0,1.0,3.0,14.0,0.0,1.0,5.0,4.0,12.0,4.0,,,,,,,,,,,,,,,,72.0,2.34,48.0,0.0,5.0,10.0,8.0,1.0,17.0,0.55,14.0,0.0,0.0,1.0,2.0,0.0,0.0,31.0,24.0,8.0,12.0,1.0,0.0,0.0,37.0,50.0,50.0,360.0,500.0,72.0,4403.0,947.0,218.0,276.0,79.0,100.0,132.0,75.8,7.0,9.0,77.8,8.0,29.0,14.0,23.0,0.0,58.0,2769.0,79.0,33.0,83.0,21.0,2.0,1.0,2.37,84.0,26.0,1.47,763.0,18.0,39.0,290.0,435.0,217.0,32.0,11.0,18.0,56.3,405.0,2020.0,761.0,35.0,10.0,25.0,51.0,26.0,583.0,151.0,36.0,116.0,53.0,45.7,3.77,0.25,0.55,FW
Kevin De Bruyne_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Kevin De Bruyne,BEL,MF,31.0,28.0,2417.0,26.9,7.0,16.0,23.0,7.0,0.0,0.0,1.0,0.0,100.0,246.0,245.0,0.26,0.6,0.86,0.26,0.86,5.6,5.6,13.7,19.3,0.21,0.51,0.72,0.21,0.72,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,3.0,12.0,13.0,9.0,10.0,0.0,14.0,39.0,25.0,27.0,2.0,,,,,,,,,,,,,,,,176.0,6.55,120.0,33.0,8.0,7.0,5.0,3.0,31.0,1.15,24.0,3.0,1.0,1.0,2.0,0.0,0.0,20.0,29.0,5.0,226.0,2.0,0.0,0.0,97.0,13.0,13.0,1192.0,1626.0,73.3,22165.0,6516.0,538.0,633.0,85.0,477.0,629.0,75.8,160.0,275.0,58.2,16.0,96.0,124.0,96.0,21.0,246.0,2417.0,76.0,28.0,84.0,16.0,4.0,3.0,2.31,69.0,23.0,0.37,1860.0,13.0,100.0,743.0,1041.0,100.0,61.0,32.0,19.0,31.1,1129.0,5721.0,3415.0,100.0,81.0,16.0,42.0,29.0,1445.0,245.0,7.0,65.0,21.0,32.3,2.42,0.11,0.33,MF
İlkay Gündoğan_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,İlkay Gündoğan,GER,MF,31.0,27.0,2353.0,26.1,8.0,4.0,12.0,8.0,0.0,1.0,0.0,0.0,53.0,170.0,124.0,0.31,0.15,0.46,0.31,0.46,7.5,6.7,3.3,10.0,0.29,0.13,0.41,0.26,0.38,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,7.0,13.0,10.0,20.0,13.0,0.0,12.0,33.0,21.0,18.0,3.0,,,,,,,,,,,,,,,,90.0,3.44,71.0,7.0,2.0,4.0,4.0,2.0,17.0,0.65,13.0,1.0,0.0,1.0,2.0,0.0,0.0,23.0,25.0,6.0,30.0,2.0,0.0,0.0,155.0,19.0,12.0,1374.0,1578.0,87.1,21396.0,4941.0,746.0,819.0,91.1,492.0,543.0,90.6,99.0,130.0,76.2,4.0,37.0,143.0,35.0,1.0,170.0,2353.0,76.0,27.0,85.0,17.0,4.0,7.0,2.39,71.0,20.0,1.11,1806.0,31.0,243.0,975.0,596.0,88.0,42.0,16.0,18.0,42.9,1072.0,5457.0,2628.0,53.0,44.0,7.0,28.0,27.0,1425.0,124.0,8.0,53.0,20.0,37.7,2.03,0.15,0.4,MF
Manuel Akanji_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Manuel Akanji,SUI,DF,27.0,24.0,2287.0,25.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,116.0,17.0,0.0,0.04,0.04,0.0,0.04,1.3,1.3,0.4,1.7,0.05,0.02,0.07,0.05,0.07,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,15.0,18.0,3.0,16.0,33.0,0.0,23.0,36.0,13.0,27.0,9.0,,,,,,,,,,,,,,,,23.0,0.91,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,6.0,0.0,0.0,0.0,136.0,23.0,34.0,1912.0,2056.0,93.0,32634.0,10258.0,867.0,902.0,96.1,903.0,945.0,95.6,117.0,166.0,70.5,1.0,7.0,140.0,3.0,1.0,116.0,2287.0,79.0,24.0,88.0,22.0,5.0,1.0,2.52,63.0,23.0,-0.09,2231.0,121.0,815.0,1248.0,176.0,34.0,12.0,6.0,3.0,25.0,1544.0,8443.0,5039.0,24.0,40.0,1.0,12.0,3.0,1734.0,17.0,0.0,15.0,2.0,13.3,0.59,0.0,0.0,DF
Bernardo Silva_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Bernardo Silva,POR,"MF,FW",27.0,24.0,2205.0,24.5,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,90.0,130.0,188.0,0.16,0.2,0.37,0.16,0.37,2.2,2.2,3.3,5.4,0.09,0.13,0.22,0.09,0.22,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,11.0,25.0,8.0,16.0,6.0,0.0,18.0,44.0,26.0,23.0,6.0,,,,,,,,,,,,,,,,75.0,3.06,65.0,1.0,4.0,1.0,3.0,1.0,12.0,0.49,11.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,15.0,2.0,75.0,1.0,0.0,0.0,122.0,4.0,13.0,1317.0,1543.0,85.4,20840.0,3604.0,717.0,771.0,93.0,462.0,529.0,87.3,92.0,149.0,61.7,5.0,31.0,76.0,35.0,11.0,130.0,2205.0,65.0,24.0,85.0,16.0,10.0,4.0,2.35,61.0,24.0,-0.27,1772.0,31.0,281.0,797.0,707.0,92.0,64.0,28.0,29.0,45.3,1115.0,7092.0,3523.0,90.0,73.0,29.0,30.0,31.0,1324.0,188.0,4.0,25.0,9.0,36.0,1.02,0.16,0.44,MF
Jack Grealish_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Jack Grealish,ENG,FW,26.0,23.0,2055.0,22.8,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,143.0,100.0,310.0,0.22,0.31,0.53,0.22,0.53,4.6,4.6,7.0,11.7,0.2,0.31,0.51,0.2,0.51,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,10.0,12.0,3.0,7.0,9.0,0.0,13.0,22.0,9.0,17.0,3.0,,,,,,,,,,,,,,,,104.0,4.55,71.0,7.0,6.0,6.0,13.0,1.0,20.0,0.88,14.0,1.0,0.0,1.0,3.0,1.0,0.0,27.0,78.0,3.0,53.0,1.0,0.0,0.0,110.0,14.0,17.0,902.0,1072.0,84.1,13270.0,2584.0,539.0,588.0,91.7,295.0,337.0,87.5,41.0,66.0,62.1,7.0,50.0,28.0,48.0,2.0,100.0,2055.0,73.0,23.0,83.0,11.0,5.0,5.0,2.64,63.0,16.0,1.14,1308.0,20.0,141.0,421.0,772.0,136.0,110.0,45.0,28.0,25.5,957.0,8506.0,3982.0,143.0,83.0,63.0,36.0,29.0,1065.0,310.0,5.0,41.0,15.0,36.6,1.8,0.12,0.33,FW
Rúben Dias_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Rúben Dias,POR,DF,25.0,22.0,1998.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.6,1.9,0.06,0.03,0.09,0.06,0.09,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,10.0,10.0,1.0,18.0,56.0,1.0,11.0,18.0,7.0,21.0,13.0,,,,,,,,,,,,,,,,15.0,0.68,11.0,1.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0,0.0,0.0,0.0,99.0,44.0,28.0,1928.0,2080.0,92.7,35553.0,12572.0,696.0,726.0,95.9,1074.0,1122.0,95.7,143.0,203.0,70.4,0.0,3.0,135.0,0.0,0.0,98.0,1998.0,77.0,22.0,87.0,19.0,4.0,6.0,2.65,65.0,16.0,1.45,2237.0,176.0,881.0,1280.0,83.0,22.0,10.0,8.0,1.0,10.0,1497.0,8194.0,5025.0,14.0,22.0,1.0,1.0,4.0,1791.0,2.0,0.0,10.0,2.0,20.0,0.45,0.0,0.0,DF
Kyle Walker_2022-2023_EPL_Manchester City,2022-2023,EPL,Manchester City,Kyle Walker,ENG,DF,32.0,22.0,1958.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,162.0,75.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.7,0.02,0.01,0.03,0.02,0.03,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.0,5.0,0.0,18.0,22.0,0.0,4.0,24.0,20.0,12.0,2.0,,,,,,,,,,,,,,,,25.0,1.15,22.0,2.0,0.0,0.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,28.0,0.0,0.0,0.0,124.0,23.0,11.0,1661.0,1892.0,87.8,29177.0,8283.0,744.0,795.0,93.6,753.0,826.0,91.2,144.0,216.0,66.7,0.0,6.0,189.0,10.0,4.0,162.0,1958.0,73.0,22.0,85.0,18.0,5.0,5.0,2.37,54.0,20.0,-0.1,1996.0,57.0,438.0,1198.0,370.0,15.0,19.0,13.0,4.0,21.1,1189.0,5455.0,2900.0,50.0,40.0,2.0,14.0,6.0,1542.0,75.0,0.0,5.0,1.0,20.0,0.23,0.0,0.0,DF
