Season,League,Team,Status,Nation,Pos,Global Pos,Age,Matches Played,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Tackles_Att,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Interceptions,Clearances,Errors,Dribblers_Tkl_Succ,Dribblers_Tkl_Att,Dribblers_Tkl_Lost,Blocks_Total,Blocks_Shots,Touches_Number,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Number,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Succ,Receiving_PrgR,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Assists,Key Passes,Passes_to_1/3,Passes_to_Penalt_Area,Crosses_into_Penalty_Area,Progressive Passes,SCA,SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA,GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Goals,Shots,SoT,SoT%,Shots/90,Goals/Shot,Goals/SoT,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Playing Time_Minutes,Playing Time_Mn/MP,Starts,Mn/Start,Compl,Subs,unSub,PPM,onG,onGA,On-Off
2022-2023,EPL,Manchester City,Squad Total,,,,27.2,38.0,418.0,3420.0,38.0,471.0,185.0,198.0,88.0,223.0,402.0,8.0,212.0,455.0,243.0,339.0,95.0,29895.0,2170.0,7410.0,14372.0,8301.0,1277.0,702.0,334.0,239.0,34.0,19120.0,104039.0,56163.0,987.0,753.0,279.0,406.0,298.0,22992.0,2054.0,23263.0,26642.0,87.3,396454.0,114920.0,11020.0,11888.0,92.7,9848.0,10836.0,90.9,1932.0,2849.0,67.8,69.0,464.0,1770.0,445.0,75.0,2073.0,1099.0,28.92,826.0,81.0,53.0,76.0,49.0,14.0,168.0,4.42,130.0,7.0,8.0,9.0,12.0,2.0,92.0,590.0,205.0,34.7,15.53,0.14,0.4,33.0,3.0,1.0,4.0,1.0,30.3,0.3,-1.7,-0.05,128.0,287.0,44.6,1259.0,163.0,19.0,,164.0,29.3,31.4,312.0,20.0,6.4,40.0,1.05,,33.0,0.87,92.0,60.0,67.4,28.0,5.0,5.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0,0.0,347.0,384.0,51.0,742.0,9.0,3.0,1.0,1866.0,438.0,364.0,3420.0,90.0,418.0,84.0,294.0,123.0,219.0,2.34,94.0,33.0,
2022-2023,EPL,Manchester City,Opponent Total,,,,26.6,38.0,418.0,3420.0,38.0,537.0,305.0,183.0,49.0,327.0,818.0,14.0,239.0,573.0,334.0,457.0,163.0,18167.0,3258.0,8426.0,6597.0,3319.0,561.0,524.0,243.0,212.0,40.5,9792.0,49406.0,23535.0,434.0,310.0,125.0,442.0,259.0,11200.0,853.0,11294.0,14441.0,78.2,202141.0,74164.0,5050.0,5740.0,88.0,4772.0,5482.0,87.0,1161.0,2406.0,48.3,21.0,214.0,651.0,196.0,53.0,860.0,494.0,13.0,348.0,42.0,23.0,40.0,24.0,17.0,51.0,1.34,36.0,3.0,2.0,3.0,5.0,2.0,32.0,291.0,89.0,30.6,7.66,0.1,0.33,94.0,9.0,2.0,10.0,2.0,74.8,0.31,-17.2,-0.45,223.0,652.0,34.2,1203.0,174.0,40.3,35.3,303.0,55.1,42.9,552.0,32.0,5.8,23.0,0.61,13.0,94.0,2.47,214.0,122.0,60.3,5.0,5.0,28.0,3.0,7.9,10.0,9.0,0.0,1.0,0.0,1.0,402.0,332.0,72.0,395.0,3.0,10.0,2.0,1647.0,364.0,438.0,3420.0,90.0,418.0,84.0,252.0,165.0,175.0,0.53,33.0,94.0,
2022-2023,EPL,Arsenal,Squad Total,,,,24.7,38.0,418.0,3420.0,38.0,568.0,238.0,212.0,118.0,237.0,599.0,22.0,249.0,506.0,257.0,362.0,86.0,25909.0,1994.0,6632.0,11452.0,8015.0,1296.0,751.0,351.0,290.0,38.6,15923.0,84011.0,44201.0,824.0,583.0,281.0,526.0,378.0,18101.0,2024.0,18281.0,21969.0,83.2,310206.0,100635.0,8542.0,9478.0,90.1,7825.0,8821.0,88.7,1454.0,2548.0,57.1,64.0,443.0,1637.0,459.0,62.0,2049.0,1045.0,27.5,776.0,78.0,57.0,73.0,43.0,18.0,150.0,3.95,121.0,6.0,5.0,13.0,3.0,2.0,84.0,589.0,194.0,32.9,15.5,0.14,0.42,43.0,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109.0,429.0,25.4,956.0,174.0,35.4,,153.0,59.5,49.2,381.0,22.0,5.8,43.0,1.13,,43.0,1.13,136.0,94.0,70.6,26.0,6.0,6.0,14.0,36.8,5.0,3.0,0.0,2.0,0.0,0.0,373.0,435.0,56.0,674.0,3.0,5.0,1.0,1984.0,486.0,559.0,3420.0,90.0,418.0,85.0,270.0,150.0,192.0,2.21,88.0,43.0,
2022-2023,EPL,Arsenal,Opponent Total,,,,26.7,38.0,418.0,3420.0,38.0,668.0,402.0,202.0,64.0,360.0,841.0,18.0,290.0,641.0,351.0,516.0,186.0,19203.0,2933.0,7798.0,7683.0,3935.0,673.0,584.0,257.0,249.0,42.6,10261.0,53986.0,26086.0,510.0,354.0,147.0,476.0,319.0,11310.0,901.0,11424.0,15090.0,75.7,202608.0,76723.0,5278.0,6079.0,86.8,4656.0,5577.0,83.5,1174.0,2519.0,46.6,27.0,259.0,778.0,201.0,45.0,907.0,569.0,14.97,398.0,64.0,31.0,33.0,32.0,11.0,66.0,1.74,49.0,5.0,2.0,4.0,5.0,1.0,42.0,337.0,133.0,39.5,8.87,0.12,0.29,88.0,3.0,0.0,13.0,4.0,66.8,0.33,-17.2,-0.45,215.0,604.0,35.6,989.0,134.0,41.0,35.2,310.0,64.2,46.9,510.0,38.0,7.5,37.0,0.97,13.0,88.0,2.32,197.0,113.0,56.9,6.0,6.0,26.0,4.0,10.5,4.0,3.0,0.0,1.0,0.0,0.0,456.0,354.0,83.0,510.0,4.0,4.0,4.0,1821.0,559.0,486.0,3420.0,90.0,418.0,85.0,275.0,142.0,199.0,0.63,43.0,88.0,
2022-2023,EPL,Manchester Utd,Squad Total,,,,26.9,38.0,418.0,3420.0,38.0,658.0,343.0,231.0,84.0,352.0,771.0,10.0,301.0,598.0,297.0,496.0,146.0,24848.0,2639.0,8093.0,10389.0,6570.0,1036.0,730.0,317.0,338.0,46.3,14245.0,70351.0,37126.0,711.0,515.0,239.0,497.0,293.0,16447.0,1578.0,16603.0,20525.0,80.9,276625.0,97026.0,8273.0,9294.0,89.0,6359.0,7306.0,87.0,1438.0,2651.0,54.2,42.0,478.0,1268.0,398.0,57.0,1595.0,1051.0,27.66,840.0,58.0,46.0,63.0,35.0,9.0,99.0,2.61,79.0,3.0,8.0,5.0,4.0,0.0,56.0,590.0,206.0,34.9,15.53,0.09,0.26,43.0,2.0,2.0,6.0,1.0,41.3,0.27,-0.7,-0.02,141.0,449.0,31.4,1032.0,128.0,32.6,,179.0,63.1,47.1,526.0,15.0,2.9,32.0,0.84,,43.0,1.13,142.0,99.0,71.1,23.0,6.0,9.0,17.0,44.7,3.0,2.0,1.0,0.0,33.3,0.0,424.0,297.0,79.0,517.0,2.0,3.0,1.0,2190.0,465.0,434.0,3420.0,90.0,418.0,83.0,269.0,149.0,192.0,1.97,58.0,43.0,
2022-2023,EPL,Manchester Utd,Opponent Total,,,,26.4,38.0,418.0,3420.0,38.0,631.0,312.0,226.0,93.0,415.0,616.0,14.0,338.0,655.0,317.0,554.0,165.0,21994.0,2733.0,7668.0,9000.0,5563.0,975.0,718.0,297.0,301.0,41.9,11694.0,65364.0,34500.0,697.0,492.0,206.0,572.0,357.0,13634.0,1343.0,13767.0,17675.0,77.9,240301.0,90072.0,6443.0,7404.0,87.0,5597.0,6630.0,84.4,1365.0,2622.0,52.1,28.0,357.0,952.0,301.0,78.0,1355.0,824.0,21.68,568.0,85.0,42.0,69.0,44.0,16.0,68.0,1.79,50.0,4.0,0.0,6.0,7.0,1.0,42.0,478.0,139.0,29.1,12.58,0.08,0.29,58.0,3.0,0.0,3.0,2.0,63.8,0.3,7.8,0.21,215.0,556.0,38.7,1215.0,189.0,35.1,32.0,274.0,47.4,38.5,406.0,19.0,4.7,64.0,1.68,18.2,58.0,1.53,209.0,153.0,73.7,9.0,6.0,23.0,7.0,18.4,3.0,3.0,0.0,0.0,0.0,0.0,310.0,413.0,43.0,670.0,2.0,3.0,2.0,2119.0,434.0,465.0,3420.0,90.0,418.0,83.0,265.0,153.0,189.0,0.87,43.0,58.0,
2022-2023,EPL,Newcastle Utd,Squad Total,,,,27.3,38.0,418.0,3420.0,38.0,607.0,268.0,254.0,85.0,333.0,680.0,10.0,307.0,642.0,335.0,448.0,116.0,22106.0,2088.0,6757.0,9053.0,6516.0,1161.0,783.0,349.0,322.0,41.1,12021.0,64166.0,32968.0,694.0,493.0,227.0,576.0,363.0,13803.0,1599.0,13925.0,17837.0,78.1,246297.0,90893.0,6433.0,7370.0,87.3,5580.0,6605.0,84.5,1523.0,2774.0,54.9,42.0,435.0,1083.0,403.0,64.0,1618.0,1008.0,26.53,690.0,110.0,62.0,77.0,57.0,12.0,106.0,2.79,64.0,6.0,15.0,10.0,6.0,5.0,64.0,565.0,184.0,32.6,14.87,0.1,0.32,33.0,2.0,0.0,8.0,2.0,33.2,0.24,2.2,0.06,126.0,378.0,33.3,722.0,246.0,31.9,,222.0,66.7,49.6,441.0,35.0,7.9,74.0,1.95,,33.0,0.87,127.0,94.0,75.6,19.0,14.0,5.0,14.0,36.8,5.0,2.0,2.0,1.0,50.0,0.0,406.0,399.0,71.0,740.0,2.0,5.0,2.0,2065.0,553.0,427.0,3420.0,90.0,418.0,84.0,263.0,155.0,185.0,1.87,68.0,33.0,
2022-2023,EPL,Newcastle Utd,Opponent Total,,,,26.8,38.0,418.0,3420.0,38.0,685.0,356.0,260.0,69.0,341.0,854.0,12.0,322.0,671.0,349.0,488.0,167.0,20772.0,2819.0,7684.0,8651.0,4660.0,722.0,733.0,335.0,307.0,41.9,10893.0,57872.0,29370.0,600.0,367.0,167.0,525.0,300.0,12338.0,1188.0,12444.0,16389.0,75.9,219793.0,81214.0,5805.0,6626.0,87.6,5082.0,6095.0,83.4,1271.0,2745.0,46.3,23.0,301.0,961.0,230.0,56.0,1201.0,678.0,17.84,492.0,51.0,46.0,43.0,31.0,15.0,53.0,1.39,38.0,4.0,4.0,6.0,1.0,0.0,31.0,382.0,123.0,32.2,10.05,0.08,0.24,68.0,6.0,1.0,6.0,4.0,66.5,0.32,2.5,0.07,222.0,736.0,30.2,1082.0,195.0,48.1,38.2,298.0,72.5,50.6,580.0,55.0,9.5,51.0,1.34,14.2,68.0,1.79,190.0,126.0,67.4,5.0,14.0,19.0,11.0,28.9,6.0,6.0,0.0,0.0,0.0,0.0,419.0,391.0,56.0,564.0,4.0,6.0,4.0,1956.0,427.0,553.0,3420.0,90.0,418.0,84.0,270.0,146.0,196.0,0.76,33.0,68.0,
2022-2023,EPL,Liverpool,Squad Total,,,,27.4,38.0,418.0,3420.0,38.0,590.0,228.0,250.0,112.0,333.0,568.0,19.0,281.0,648.0,367.0,350.0,74.0,28399.0,2310.0,8119.0,13329.0,7149.0,1252.0,691.0,320.0,282.0,40.8,17146.0,82458.0,41527.0,719.0,569.0,234.0,584.0,413.0,19921.0,1974.0,20043.0,24361.0,82.3,352929.0,120466.0,9023.0,10114.0,89.2,8561.0,9758.0,87.7,1962.0,3283.0,59.8,58.0,458.0,1615.0,452.0,85.0,1992.0,1046.0,27.53,778.0,85.0,55.0,75.0,33.0,20.0,129.0,3.39,97.0,9.0,7.0,8.0,7.0,1.0,71.0,601.0,203.0,33.8,15.82,0.11,0.34,47.0,2.0,0.0,0.0,2.0,54.1,0.33,9.1,0.24,118.0,285.0,41.4,1278.0,217.0,18.2,,195.0,26.7,31.2,400.0,23.0,5.8,89.0,2.34,,47.0,1.24,157.0,111.0,71.3,19.0,10.0,9.0,14.0,36.8,4.0,2.0,1.0,1.0,33.3,0.0,405.0,321.0,84.0,799.0,3.0,4.0,2.0,2211.0,482.0,455.0,3420.0,90.0,418.0,82.0,253.0,164.0,178.0,1.76,75.0,47.0,
2022-2023,EPL,Liverpool,Opponent Total,,,,26.6,38.0,418.0,3420.0,38.0,694.0,368.0,254.0,72.0,410.0,995.0,22.0,282.0,602.0,320.0,501.0,164.0,20607.0,3079.0,8404.0,8219.0,4189.0,677.0,751.0,367.0,281.0,37.4,10557.0,53483.0,26434.0,505.0,332.0,166.0,586.0,309.0,11858.0,1090.0,11949.0,15970.0,74.8,211445.0,82709.0,5604.0,6558.0,85.5,4725.0,5743.0,82.3,1275.0,2707.0,47.1,32.0,283.0,908.0,232.0,58.0,1101.0,655.0,17.24,481.0,58.0,45.0,30.0,32.0,9.0,78.0,2.05,52.0,3.0,10.0,5.0,4.0,4.0,45.0,366.0,154.0,42.1,9.63,0.12,0.28,75.0,2.0,1.0,11.0,4.0,66.7,0.32,-4.3,-0.11,213.0,710.0,30.0,1011.0,199.0,48.9,38.6,312.0,69.2,49.8,651.0,40.0,6.1,48.0,1.26,14.7,75.0,1.97,205.0,134.0,64.4,9.0,10.0,19.0,8.0,21.1,4.0,2.0,0.0,2.0,0.0,0.0,343.0,383.0,88.0,515.0,4.0,4.0,4.0,2083.0,455.0,482.0,3420.0,90.0,418.0,82.0,275.0,144.0,197.0,0.97,47.0,75.0,
