player,player_id,country,team,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,position_level_0,position_level_2,position_level_1
Christophe Kerbrat,2936.0,France,Guingamp,30.0,2613.0,1.0,1.0,['Right Center Back'],"['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",29.03333333333333,Defender,Right Center Back,Regular Defender
Lucas Deaux,2943.0,France,Nantes,16.0,1181.0,3.0,3.0,"['Right Defensive Midfield', 'Right Wing', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Right Center Back']","['Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Defensive Midfield', 'Left Center Back']",13.122222222222222,Midfielder,Right Defensive Midfield,Defensive Midfielder
Benjamin Corgnet,2944.0,France,Saint-Étienne,9.0,467.0,4.0,4.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Right Wing', 'Center Forward', 'Left Wing']","['Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Forward']",5.188888888888889,Midfielder,Center Attacking Midfield,Offensive Midfielder
Frédéric Guilbert,2946.0,France,Bordeaux,30.0,2525.0,2.0,2.0,"['Right Back', 'Right Center Back']","['Right Center Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",28.05555555555556,Defender,Right Back,Offensive Defender
Anthony Lopes,2947.0,Portugal,Lyon,37.0,3330.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",37.0,Goalkeeper,Goalkeeper,Goalkeeper
Nabil Fekir,2948.0,France,Lyon,7.0,455.0,2.0,2.0,"['Center Attacking Midfield', 'Right Wing', 'Right Back', 'Right Center Forward', 'Left Center Forward', 'Left Wing']","['Right Wing', 'Left Wing', 'Left Wing', 'Right Center Forward', 'Right Back', 'Right Wing', 'Right Wing', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward']",5.055555555555555,Forward,Left Center Forward,Striker
Jonas Martin,2950.0,France,Montpellier,39.0,3169.0,4.0,4.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Wing']","['Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Wing', 'Left Wing', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield']",35.21111111111111,Midfielder,Left Defensive Midfield,Defensive Midfielder
Abdou Kader Mangane,2953.0,Senegal,Gazélec Ajaccio,28.0,2434.0,1.0,1.0,"['Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Center Defensive Midfield', 'Center Back', 'Right Center Back']","['Left Center Midfield', 'Center Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Center Defensive Midfield', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Center Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Back', 'Right Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Back', 'Center Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back']",27.044444444444444,Defender,Right Center Back,Regular Defender
Ronny Rodelin,2955.0,France,Caen,47.0,3099.0,13.0,13.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Left Midfield', 'Right Wing', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Midfield', 'Right Wing', 'Center Forward', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Forward', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Center Forward', 'Right Wing', 'Left Wing', 'Left Center Forward', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Center Forward', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Center Forward', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Center Attacking Midfield', 'Center Forward', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Left Center Midfield']",34.43333333333333,Forward,Right Wing,Winger
Bertrand Isidore Traoré,2956.0,Burkina Faso,Chelsea,8.0,377.0,4.0,4.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Right Wing', 'Center Forward']","['Center Forward', 'Right Center Midfield', 'Left Wing Back', 'Center Forward', 'Center Forward', 'Right Defensive Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Center Forward', 'Right Wing', 'Right Wing']",4.188888888888889,Forward,Center Forward,Striker
