,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
0,Aaron Hunt,0.718,0.68,0.563,0.469,0.909,1.0,0.9,0.404,0.404,0.5,0.814,0.765,0.571,0.613,0.613,0.1,0.006,19.707,4.0,338,455,77,19,382,109,44,22,90,284,174,17145.29694144,312,254,251,328,168,96,35,2,40,30,2,22,41,9,15,2,16,22,6,19,4,6,3,4,350,197,149,307,279,47,47,27,10,37
1,Adam Hloušek,0.762,0.526,0.68,0.526,1.0,1.0,,0.0,0.0,,0.884,0.842,0.639,0.778,0.5,0.0,0.0,27.08,,9,97,100,1,48,1,0,0,0,9,7,5578.423573,43,38,64,76,83,53,0,0,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,150,102,37,18,18,54,54,30,1,0
2,Adelino André Vieira Freitas,0.749,0.696,0.667,0.565,0.919,1.0,0.868,0.336,0.336,0.333,0.857,0.817,0.57,0.625,0.673,0.045,0.007,21.774,inf,426,683,195,21,563,143,48,9,107,381,238,28393.737633,468,401,394,482,302,172,31,5,82,72,6,11,27,31,30,5,9,17,2,7,22,20,3,6,696,464,151,394,362,95,95,53,15,36
3,Admir Mehmedi,0.752,0.662,0.623,0.541,0.889,1.0,0.754,0.519,0.519,0.25,0.868,0.766,0.456,0.722,0.619,0.113,0.021,15.802,1.667,282,237,45,27,302,54,28,11,40,252,182,8912.525750249999,287,249,128,167,57,26,27,5,15,25,2,5,21,14,14,2,3,7,2,10,9,11,3,2,239,149,83,216,192,22,22,11,2,32
4,Adnan Januzaj,0.737,0.818,0.727,1.0,0.833,1.0,0.778,0.5,0.5,1.0,0.778,0.929,0.583,0.7,0.875,0.227,0.091,19.442,1.5,43,13,1,3,44,16,8,0,10,40,28,1108.1924286,27,21,13,14,12,7,5,2,5,4,2,2,6,4,3,1,0,0,1,5,2,1,2,2,22,16,11,18,15,3,3,2,0,7
5,Albian Afrim Ajeti,0.75,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,,0.8,1.0,,0.75,0.0,0.0,0.0,12.484,,4,3,1,0,4,1,1,0,1,4,3,99.8690765,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,4,0,0,0,0,0
6,Albin Ekdal,0.778,0.643,0.667,0.528,0.969,1.0,0.889,0.214,0.214,0.25,0.813,0.833,0.636,0.655,0.533,0.014,0.0,18.686,4.0,61,450,80,1,143,14,3,1,5,58,38,11043.437532900001,230,187,214,257,77,49,5,0,7,1,0,4,12,1,0,0,3,7,1,4,1,0,0,0,351,234,72,159,154,44,44,31,6,5
7,Alejandro Gálvez Jimena,0.747,0.672,0.669,0.604,0.972,1.0,1.0,0.143,0.143,,0.825,0.807,0.645,0.625,0.833,0.0,0.0,27.558,inf,18,279,216,0,108,7,1,0,2,16,10,14137.2850187,120,99,159,197,186,120,0,0,46,2,0,1,4,0,0,0,1,4,0,0,0,0,0,0,372,249,65,71,69,97,97,42,3,0
8,Aleksandar Ignjovski,0.667,0.505,0.604,0.39,0.916,1.0,0.889,0.277,0.277,0.286,0.75,0.732,0.412,0.551,0.5,0.019,0.003,18.915,inf,144,303,121,7,202,47,13,11,35,138,76,10743.66338343,228,171,167,228,85,35,7,1,11,34,2,5,9,27,21,2,4,4,0,2,18,15,5,5,376,227,76,83,76,46,46,17,5,8
9,Alessandro Schöpf,0.727,0.661,0.699,0.531,0.821,1.0,0.812,0.588,0.588,0.333,0.833,0.66,0.667,0.69,0.667,0.084,0.012,15.708,inf,77,85,14,9,92,17,10,3,18,71,49,2764.6194276,90,75,35,53,18,12,7,1,4,9,1,5,8,5,6,1,3,3,0,3,2,2,3,2,83,58,24,56,46,6,6,4,0,8
