player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Aaron Hunt,867,15,121,420,326,27,37,25,12,0,3,0,350,20,4,1,2795.5387339000463,203,2001.7683038057744,4,0,27,0,2,14,11,1,91,86,0,867,15,121,420,326,27,37,25,12,0,3,0,350,20,4,1,2795.5387339000463,203,2001.7683038057744,4,0,27,0,2,14,11,1,91,86,0,0.01730103806228374,0.1395617070357555,0.4844290657439446,0.3760092272202999,0.031141868512110725,0.945054945054945,0.6756756756756757,7.987253525428704,0.05714285714285714,0.011428571428571429,0.002857142857142857,9.860927604954554,0.07714285714285714
Adam Hloušek,87,15,56,27,4,1,1,1,0,0,0,0,12,0,0,0,123.31680720937636,5,71.1790613519268,0,0,1,0,1,0,0,0,1,1,0,87,15,56,27,4,1,1,1,0,0,0,0,12,0,0,0,123.31680720937636,5,71.1790613519268,0,0,1,0,1,0,0,0,1,1,0,0.1724137931034483,0.6436781609195402,0.3103448275862069,0.04597701149425287,0.011494252873563218,1.0,1.0,10.276400600781363,0.0,0.0,0.0,14.235812270385361,0.08333333333333333
Adelino André Vieira Freitas,988,36,207,518,263,26,37,24,13,3,3,1,394,26,4,0,2320.480150813955,211,1541.331168410564,8,0,27,0,6,10,11,3,100,97,0,988,36,207,518,263,26,37,24,13,3,3,1,394,26,4,0,2320.480150813955,211,1541.331168410564,8,0,27,0,6,10,11,3,100,97,0,0.03643724696356275,0.20951417004048584,0.5242914979757085,0.26619433198380565,0.02631578947368421,0.97,0.6486486486486487,5.889543529984657,0.06598984771573604,0.01015228426395939,0.0,7.3048870540785025,0.06852791878172589
Admir Mehmedi,802,12,85,346,371,49,44,32,12,2,6,0,330,19,9,2,2205.3610395774144,195,1643.9202177294571,14,1,41,0,4,14,23,4,95,91,0,802,12,85,346,371,49,44,32,12,2,6,0,330,19,9,2,2205.3610395774144,195,1643.9202177294571,14,1,41,0,4,14,23,4,95,91,0,0.014962593516209476,0.1059850374064838,0.4314214463840399,0.4625935162094763,0.06109725685785536,0.9578947368421052,0.7272727272727273,6.68291224114368,0.05757575757575758,0.02727272727272727,0.006060606060606061,8.430360090920294,0.12424242424242424
Adnan Januzaj,111,0,4,25,82,12,7,5,2,0,0,0,47,2,3,0,450.56253472182146,34,379.10849573329176,3,0,9,0,0,3,6,3,13,12,0,111,0,4,25,82,12,7,5,2,0,0,0,47,2,3,0,450.56253472182146,34,379.10849573329176,3,0,9,0,0,3,6,3,13,12,0,0.0,0.036036036036036036,0.22522522522522523,0.7387387387387387,0.10810810810810811,0.9230769230769231,0.7142857142857143,9.586436908974925,0.0425531914893617,0.06382978723404255,0.0,11.150249874508582,0.19148936170212766
Albian Afrim Ajeti,11,0,5,1,5,1,0,0,0,0,0,0,4,0,0,0,18.29156245198841,2,13.90083764257367,1,1,1,0,1,0,0,0,0,0,0,11,0,5,1,5,1,0,0,0,0,0,0,4,0,0,0,18.29156245198841,2,13.90083764257367,1,1,1,0,1,0,0,0,0,0,0,0.0,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.09090909090909091,,,4.572890612997102,0.0,0.0,0.0,6.950418821286835,0.25
Albin Ekdal,489,31,142,287,60,6,9,4,5,0,2,0,172,8,0,0,1257.9316909845102,104,1016.9221043299035,1,0,9,0,3,3,3,0,38,37,0,489,31,142,287,60,6,9,4,5,0,2,0,172,8,0,0,1257.9316909845102,104,1016.9221043299035,1,0,9,0,3,3,3,0,38,37,0,0.06339468302658487,0.2903885480572597,0.5869120654396728,0.12269938650306748,0.012269938650306749,0.9736842105263158,0.4444444444444444,7.3135563429331985,0.046511627906976744,0.0,0.0,9.778097157018303,0.05232558139534884
Alejandro Gálvez Jimena,261,46,132,110,19,5,3,2,1,0,0,0,54,0,0,0,343.6552460258338,29,196.03632335490215,0,0,4,0,0,4,0,0,9,9,0,261,46,132,110,19,5,3,2,1,0,0,0,54,0,0,0,343.6552460258338,29,196.03632335490215,0,0,4,0,0,4,0,0,9,9,0,0.17624521072796934,0.5057471264367817,0.421455938697318,0.07279693486590039,0.019157088122605363,1.0,0.6666666666666666,6.36398603751544,0.0,0.0,0.0,6.7598732191345565,0.07407407407407407
Aleksandar Ignjovski,521,22,153,228,140,12,34,15,19,3,7,0,180,10,4,0,1326.9431899404026,116,1012.4681244341796,7,0,19,0,2,4,13,0,39,39,0,521,22,153,228,140,12,34,15,19,3,7,0,180,10,4,0,1326.9431899404026,116,1012.4681244341796,7,0,19,0,2,4,13,0,39,39,0,0.04222648752399232,0.29366602687140114,0.43761996161228406,0.2687140115163148,0.023032629558541268,1.0,0.4411764705882353,7.371906610780014,0.05555555555555555,0.022222222222222223,0.0,8.728173486501548,0.10555555555555556
Alessandro Schöpf,338,4,41,154,143,16,24,8,16,2,2,0,130,9,2,0,840.5230439203732,78,587.4119520643006,4,0,24,0,2,4,18,2,35,34,0,338,4,41,154,143,16,24,8,16,2,2,0,130,9,2,0,840.5230439203732,78,587.4119520643006,4,0,24,0,2,4,18,2,35,34,0,0.011834319526627219,0.12130177514792899,0.4556213017751479,0.4230769230769231,0.047337278106508875,0.9714285714285714,0.3333333333333333,6.465561876310563,0.06923076923076923,0.015384615384615385,0.0,7.530922462362828,0.18461538461538463
