player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Aaron Hunt,108.0,103.0,0,0,5,359.0,65.0,190.0,104.0,107.0,8.0,53.0,46.0,1.0,42.0,0,1,1,42.0,1,9.0,3.0,0.0,28.0,19.0,7.0,16.0,5.0,32.0,5.0,17.0,10.0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9537037037037037,0.181058495821727,0.5292479108635098,0.28969359331476324,0.07476635514018691,0.4953271028037383,0.42990654205607476,0.6785714285714286,0.25,0.5714285714285714,0.17857142857142858,0.15625,0.53125,0.3125,1.2,1.144,0.0,0.0,0.056,3.989,0.722,2.111,1.156,1.189,0.089,0.589,0.511,0.011,0.467,0.0,0.011,0.011,0.467,0.011,0.1,0.033,0.0,0.311,0.211,0.078,0.178,0.056,0.356,0.056,0.189,0.111,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.022,0.0
Adam Hloušek,8.0,8.0,0,0,0,52.0,32.0,18.0,2.0,15.0,4.0,8.0,3.0,1.0,11.0,1,0,0,11.0,0,30.0,17.0,0.0,6.0,4.0,4.0,2.0,0.0,7.0,1.0,6.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.26666666666666666,0.5333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.14285714285714285,0.8571428571428571,0.0,0.089,0.089,0.0,0.0,0.0,0.578,0.356,0.2,0.022,0.167,0.044,0.089,0.033,0.011,0.122,0.011,0.0,0.0,0.122,0.0,0.333,0.189,0.0,0.067,0.044,0.044,0.022,0.0,0.078,0.011,0.067,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Adelino André Vieira Freitas,133.0,130.0,0,0,3,296.0,106.0,149.0,41.0,95.0,14.0,57.0,24.0,2.0,53.0,0,2,2,53.0,0,29.0,18.0,0.0,52.0,27.0,21.0,27.0,4.0,16.0,4.0,9.0,3.0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9774436090225563,0.3581081081081081,0.5033783783783784,0.13851351351351351,0.14736842105263157,0.6,0.25263157894736843,0.5192307692307693,0.40384615384615385,0.5192307692307693,0.07692307692307693,0.25,0.5625,0.1875,1.478,1.444,0.0,0.0,0.033,3.289,1.178,1.656,0.456,1.056,0.156,0.633,0.267,0.022,0.589,0.0,0.022,0.022,0.589,0.0,0.322,0.2,0.0,0.578,0.3,0.233,0.3,0.044,0.178,0.044,0.1,0.033,0.0,0.011,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0
Admir Mehmedi,76.0,73.0,1,1,3,315.0,51.0,159.0,105.0,100.0,4.0,51.0,45.0,1.0,34.0,1,1,1,34.0,0,8.0,5.0,0.0,24.0,13.0,6.0,13.0,5.0,32.0,3.0,19.0,10.0,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9605263157894737,0.1619047619047619,0.5047619047619047,0.3333333333333333,0.04,0.51,0.45,0.5416666666666666,0.25,0.5416666666666666,0.20833333333333334,0.09375,0.59375,0.3125,0.844,0.811,0.011,0.011,0.033,3.5,0.567,1.767,1.167,1.111,0.044,0.567,0.5,0.011,0.378,0.011,0.011,0.011,0.378,0.0,0.089,0.056,0.0,0.267,0.144,0.067,0.144,0.056,0.356,0.033,0.211,0.111,0.011,0.0,0.0,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.022,0.0
Adnan Januzaj,6.0,6.0,0,0,0,37.0,3.0,16.0,18.0,14.0,1.0,6.0,7.0,0.0,3.0,1,0,0,3.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,4.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08108108108108109,0.43243243243243246,0.4864864864864865,0.07142857142857142,0.42857142857142855,0.5,1.0,0.0,1.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.067,0.067,0.0,0.0,0.0,0.411,0.033,0.178,0.2,0.156,0.011,0.067,0.078,0.0,0.033,0.011,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.011,0.0,0.078,0.011,0.022,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmet Metin Arslan,0.0,0.0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albian Afrim Ajeti,2.0,2.0,0,0,0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.022,0.022,0.0,0.0,0.0,0.022,0.0,0.022,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.0,0.0,0.022,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albin Ekdal,69.0,58.0,0,0,11,230.0,83.0,122.0,25.0,73.0,9.0,50.0,14.0,0.0,24.0,1,1,1,24.0,0,32.0,20.0,0.0,23.0,14.0,11.0,11.0,1.0,31.0,5.0,21.0,5.0,1,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8405797101449275,0.36086956521739133,0.5304347826086957,0.10869565217391304,0.1232876712328767,0.684931506849315,0.1917808219178082,0.6086956521739131,0.4782608695652174,0.4782608695652174,0.043478260869565216,0.16129032258064516,0.6774193548387096,0.16129032258064516,0.767,0.644,0.0,0.0,0.122,2.556,0.922,1.356,0.278,0.811,0.1,0.556,0.156,0.0,0.267,0.011,0.011,0.011,0.267,0.0,0.356,0.222,0.0,0.256,0.156,0.122,0.122,0.011,0.344,0.056,0.233,0.056,0.011,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0
Alejandro Gálvez Jimena,57.0,52.0,0,0,5,225.0,134.0,85.0,6.0,67.0,12.0,49.0,6.0,5.0,20.0,0,0,0,20.0,0,61.0,28.0,0.0,30.0,13.0,22.0,8.0,0.0,25.0,9.0,14.0,2.0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9122807017543859,0.5955555555555555,0.37777777777777777,0.02666666666666667,0.1791044776119403,0.7313432835820896,0.08955223880597014,0.43333333333333335,0.7333333333333333,0.26666666666666666,0.0,0.36,0.56,0.08,0.633,0.578,0.0,0.0,0.056,2.5,1.489,0.944,0.067,0.744,0.133,0.544,0.067,0.056,0.222,0.0,0.0,0.0,0.222,0.0,0.678,0.311,0.0,0.333,0.144,0.244,0.089,0.0,0.278,0.1,0.156,0.022,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0
Aleksandar Ignjovski,82.0,76.0,0,0,6,322.0,152.0,134.0,36.0,92.0,11.0,54.0,27.0,3.0,31.0,0,0,0,31.0,1,39.0,26.0,0.0,45.0,22.0,23.0,19.0,3.0,20.0,3.0,13.0,4.0,0,0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.926829268292683,0.4720496894409938,0.4161490683229814,0.11180124223602485,0.11956521739130435,0.5869565217391305,0.29347826086956524,0.4888888888888889,0.5111111111111111,0.4222222222222222,0.06666666666666667,0.15,0.65,0.2,0.911,0.844,0.0,0.0,0.067,3.578,1.689,1.489,0.4,1.022,0.122,0.6,0.3,0.033,0.344,0.0,0.0,0.0,0.344,0.011,0.433,0.289,0.0,0.5,0.244,0.256,0.211,0.033,0.222,0.033,0.144,0.044,0.0,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.033,0.0
