player,passes_total,passes_completed,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_into_edge_of_the_box_completed,passes_cuts_last_line_of_defence,passes_cuts_last_line_of_defence_completed,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_total,passes_medium_completed,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_edge_of_the_box,passes_horizontal_into_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_high_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_horizontal_completed,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes,up_passes_total,up_passes_completed,up_passes_from_attacking_third,up_passes_from_middle_third,up_passes_from_defending_third,up_passes_from_the_box,up_passes_into_attacking_third,up_passes_into_box,up_passes_into_box_completed,up_passes_into_goal_area,up_passes_into_edge_of_the_box,up_passes_into_edge_of_the_box_completed,up_passes_cuts_last_line_of_defence,up_passes_cuts_last_line_of_defence_completed,up_passes_within_attacking_third,up_passes_within_attacking_third_completed,up_passes_total_distance,up_passes_short_total,up_passes_short_completed,up_passes_medium_total,up_passes_medium_completed,up_passes_long_total,up_passes_long_completed,up_passes_shot_assist,up_passes_goal_assist,up_passes_switch,up_passes_cross,up_passes_cut_back,up_passes_vertical_into_edge_of_the_box,up_passes_vertical_into_the_box,up_passes_horizontal_into_edge_of_the_box,up_passes_horizontal_into_the_box,up_passes_cut_back_into_edge_of_the_box,up_passes_high_vertical_into_edge_of_the_box,up_passes_high_vertical_into_the_box,up_passes_low_vertical_into_edge_of_the_box,up_passes_low_vertical_into_the_box,up_passes_high_horizontal_into_edge_of_the_box,up_passes_high_horizontal_into_the_box,up_passes_low_horizontal_into_edge_of_the_box,up_passes_low_horizontal_into_the_box,up_passes_progressive,up_passes_progressive_completed,up_passes_horizontal,up_passes_horizontal_completed,up_passes_backward,up_passes_backward_completed,up_passes_long_vertical,up_passes_long_vertical_from_defending_third,up_passes_long_vertical_from_mid_third,up_passes_long_vertical_from_mid_third_into_the_box,up_key_passes,pass_accuracy_%,up_pass_accuracy_%,pass_accuracy_progressive_%,up_pass_accuracy_progressive_%,pass_accuracy_backward_%,pass_horizontal_backward_%,up_pass_accuracy_backward_%,pass_accuracy_into_box_%,pass_accuracy_into_edge_of_the_box_%,up_pass_accuracy_into_box_%,pass_accuaracy_short_%,pass_accuaracy_medium_%,pass_accuaracy_long_%,pass_accuracy_within_attacking_third_%,up_pass_accuracy_within_attacking_third_%,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance_%,pass_accuracy_cuts_last_line_of_defence_%,passes_total_per_match,passes_completed_per_match,passes_from_attacking_third_per_match,passes_from_middle_third_per_match,passes_from_defending_third_per_match,passes_from_the_box_per_match,passes_into_attacking_third_per_match,passes_into_box_per_match,passes_into_box_completed_per_match,passes_into_goal_area_per_match,passes_into_edge_of_the_box_per_match,passes_into_edge_of_the_box_completed_per_match,passes_cuts_last_line_of_defence_per_match,passes_cuts_last_line_of_defence_completed_per_match,passes_within_attacking_third_per_match,passes_within_attacking_third_completed_per_match,passes_total_distance_per_match,passes_short_total_per_match,passes_short_completed_per_match,passes_medium_total_per_match,passes_medium_completed_per_match,passes_long_total_per_match,passes_long_completed_per_match,passes_shot_assist_per_match,passes_goal_assist_per_match,passes_switch_per_match,passes_cross_per_match,passes_cut_back_per_match,passes_vertical_into_edge_of_the_box_per_match,passes_vertical_into_the_box_per_match,passes_horizontal_into_edge_of_the_box_per_match,passes_horizontal_into_the_box_per_match,passes_cut_back_into_edge_of_the_box_per_match,passes_high_vertical_into_edge_of_the_box_per_match,passes_high_vertical_into_the_box_per_match,passes_low_vertical_into_edge_of_the_box_per_match,passes_low_vertical_into_the_box_per_match,passes_high_horizontal_into_edge_of_the_box_per_match,passes_high_horizontal_into_the_box_per_match,passes_low_horizontal_into_edge_of_the_box_per_match,passes_low_horizontal_into_the_box_per_match,passes_progressive_per_match,passes_progressive_completed_per_match,passes_horizontal_per_match,passes_horizontal_completed_per_match,passes_backward_per_match,passes_backward_completed_per_match,passes_long_vertical_per_match,passes_long_vertical_from_defending_third_per_match,passes_long_vertical_from_mid_third_per_match,passes_long_vertical_from_mid_third_into_the_box_per_match,key_passes_per_match,up_passes_total_per_match,up_passes_completed_per_match,up_passes_from_attacking_third_per_match,up_passes_from_middle_third_per_match,up_passes_from_defending_third_per_match,up_passes_from_the_box_per_match,up_passes_into_attacking_third_per_match,up_passes_into_box_per_match,up_passes_into_box_completed_per_match,up_passes_into_goal_area_per_match,up_passes_into_edge_of_the_box_per_match,up_passes_into_edge_of_the_box_completed_per_match,up_passes_cuts_last_line_of_defence_per_match,up_passes_cuts_last_line_of_defence_completed_per_match,up_passes_within_attacking_third_per_match,up_passes_within_attacking_third_completed_per_match,up_passes_total_distance_per_match,up_passes_short_total_per_match,up_passes_short_completed_per_match,up_passes_medium_total_per_match,up_passes_medium_completed_per_match,up_passes_long_total_per_match,up_passes_long_completed_per_match,up_passes_shot_assist_per_match,up_passes_goal_assist_per_match,up_passes_switch_per_match,up_passes_cross_per_match,up_passes_cut_back_per_match,up_passes_vertical_into_edge_of_the_box_per_match,up_passes_vertical_into_the_box_per_match,up_passes_horizontal_into_edge_of_the_box_per_match,up_passes_horizontal_into_the_box_per_match,up_passes_cut_back_into_edge_of_the_box_per_match,up_passes_high_vertical_into_edge_of_the_box_per_match,up_passes_high_vertical_into_the_box_per_match,up_passes_low_vertical_into_edge_of_the_box_per_match,up_passes_low_vertical_into_the_box_per_match,up_passes_high_horizontal_into_edge_of_the_box_per_match,up_passes_high_horizontal_into_the_box_per_match,up_passes_low_horizontal_into_edge_of_the_box_per_match,up_passes_low_horizontal_into_the_box_per_match,up_passes_progressive_per_match,up_passes_progressive_completed_per_match,up_passes_horizontal_per_match,up_passes_horizontal_completed_per_match,up_passes_backward_per_match,up_passes_backward_completed_per_match,up_passes_long_vertical_per_match,up_passes_long_vertical_from_defending_third_per_match,up_passes_long_vertical_from_mid_third_per_match,up_passes_long_vertical_from_mid_third_into_the_box_per_match,up_key_passes_per_match
Aaron Hunt,870.0,625.0,338.0,455.0,77.0,19.0,382.0,109.0,44.0,22.0,90.0,31.0,4.0,1.0,284.0,174.0,17145.297,312.0,254.0,328.0,251.0,168.0,96.0,35,2,40,30,2,22.0,41.0,15.0,9.0,2,16.0,22.0,6.0,19.0,6.0,4.0,4.0,3.0,350.0,197.0,149.0,149.0,307.0,279.0,47.0,47.0,27.0,10.0,37,194.0,132.0,77.0,93.0,24.0,6.0,84.0,8.0,4.0,1.0,6.0,3.0,2.0,0.0,62.0,38.0,3285.119,78.0,58.0,70.0,54.0,23.0,14.0,6,0,9,2,0,2.0,6.0,3.0,1.0,0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,81.0,38.0,31.0,31.0,70.0,63.0,7.0,7.0,6.0,2.0,6,0.7183908045977011,0.6804123711340206,0.5628571428571428,0.4691358024691358,0.9087947882736156,1.0,0.9,0.4036697247706422,0.34444444444444444,0.5,0.8141025641025641,0.7652439024390244,0.5714285714285714,0.6126760563380281,0.6129032258064516,0.1,0.005714285714285714,19.707237787356323,4.0,9.667,6.944,3.756,5.056,0.856,0.211,4.244,1.211,0.489,0.244,1.0,0.344,0.044,0.011,3.156,1.933,190.503,3.467,2.822,3.644,2.789,1.867,1.067,0.389,0.022,0.444,0.333,0.022,0.244,0.456,0.167,0.1,0.022,0.178,0.244,0.067,0.211,0.067,0.044,0.044,0.033,3.889,2.189,1.656,1.656,3.411,3.1,0.522,0.522,0.3,0.111,0.411,2.156,1.467,0.856,1.033,0.267,0.067,0.933,0.089,0.044,0.011,0.067,0.033,0.022,0.0,0.689,0.422,36.501,0.867,0.644,0.778,0.6,0.256,0.156,0.067,0.0,0.1,0.022,0.0,0.022,0.067,0.033,0.011,0.0,0.011,0.011,0.011,0.056,0.0,0.0,0.011,0.0,0.9,0.422,0.344,0.344,0.778,0.7,0.078,0.078,0.067,0.022,0.067
Adam Hloušek,206.0,157.0,9.0,95.0,102.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,5578.4233,43.0,38.0,76.0,64.0,83.0,53.0,0,0,8,1,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,102.0,37.0,37.0,18.0,18.0,54.0,54.0,29.0,1.0,0,19.0,10.0,2.0,8.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,483.44287,5.0,2.0,4.0,3.0,8.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,0,0.7621359223300971,0.5263157894736842,0.68,0.5263157894736842,1.0,1.0,0.0,0.0,0.0,0.0,0.8837209302325582,0.8421052631578947,0.6385542168674698,0.7777777777777778,0.5,0.0,0.0,27.079724950697816,0.0,2.289,1.744,0.1,1.056,1.133,0.011,0.533,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.078,61.982,0.478,0.422,0.844,0.711,0.922,0.589,0.0,0.0,0.089,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.667,1.133,0.411,0.411,0.2,0.2,0.6,0.6,0.322,0.011,0.0,0.211,0.111,0.022,0.089,0.1,0.011,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,5.372,0.056,0.022,0.044,0.033,0.089,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.111,0.0,0.0,0.0,0.0,0.089,0.089,0.022,0.0,0.0
Adelino André Vieira Freitas,1304.0,977.0,426.0,683.0,195.0,21.0,563.0,143.0,48.0,9.0,107.0,34.0,3.0,0.0,381.0,238.0,28393.738,468.0,401.0,482.0,394.0,302.0,172.0,31,5,82,72,6,11.0,27.0,30.0,31.0,5,9.0,17.0,2.0,7.0,20.0,22.0,6.0,3.0,696.0,464.0,151.0,151.0,394.0,362.0,95.0,95.0,53.0,15.0,36,224.0,156.0,63.0,124.0,37.0,6.0,73.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,55.0,37.0,3607.191,97.0,77.0,78.0,58.0,23.0,15.0,2,0,5,3,1,0.0,2.0,2.0,1.0,1,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,108.0,61.0,29.0,29.0,76.0,66.0,10.0,10.0,5.0,0.0,2,0.7492331288343558,0.6964285714285714,0.6666666666666666,0.5648148148148148,0.9187817258883249,1.0,0.868421052631579,0.3356643356643357,0.3177570093457944,0.3333333333333333,0.8568376068376068,0.8174273858921162,0.5695364238410596,0.6246719160104987,0.6727272727272727,0.04454022988505747,0.007183908045977011,21.77433917273773,0.0,14.489,10.856,4.733,7.589,2.167,0.233,6.256,1.589,0.533,0.1,1.189,0.378,0.033,0.0,4.233,2.644,315.486,5.2,4.456,5.356,4.378,3.356,1.911,0.344,0.056,0.911,0.8,0.067,0.122,0.3,0.333,0.344,0.056,0.1,0.189,0.022,0.078,0.222,0.244,0.067,0.033,7.733,5.156,1.678,1.678,4.378,4.022,1.056,1.056,0.589,0.167,0.4,2.489,1.733,0.7,1.378,0.411,0.067,0.811,0.033,0.011,0.0,0.044,0.011,0.0,0.0,0.611,0.411,40.08,1.078,0.856,0.867,0.644,0.256,0.167,0.022,0.0,0.056,0.033,0.011,0.0,0.022,0.022,0.011,0.011,0.0,0.0,0.0,0.011,0.022,0.011,0.0,0.0,1.2,0.678,0.322,0.322,0.844,0.733,0.111,0.111,0.056,0.0,0.022
Admir Mehmedi,564.0,424.0,282.0,234.0,48.0,27.0,302.0,54.0,28.0,11.0,40.0,18.0,5.0,3.0,252.0,182.0,8912.525,287.0,249.0,167.0,128.0,57.0,26.0,27,5,15,25,2,5.0,21.0,14.0,14.0,2,3.0,7.0,2.0,10.0,11.0,9.0,2.0,3.0,239.0,149.0,83.0,83.0,216.0,192.0,22.0,22.0,11.0,2.0,32,154.0,102.0,69.0,71.0,14.0,12.0,73.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,63.0,39.0,1974.407,82.0,66.0,41.0,29.0,7.0,2.0,2,0,0,5,0,0.0,2.0,4.0,2.0,0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,61.0,33.0,17.0,17.0,69.0,52.0,3.0,3.0,1.0,0.0,2,0.75177304964539,0.6623376623376623,0.6234309623430963,0.5409836065573771,0.8888888888888888,1.0,0.7536231884057971,0.5185185185185185,0.45,0.25,0.867595818815331,0.7664670658682635,0.45614035087719296,0.7222222222222222,0.6190476190476191,0.11297071129707113,0.02092050209205021,15.80234998337766,1.6666666666666667,6.267,4.711,3.133,2.6,0.533,0.3,3.356,0.6,0.311,0.122,0.444,0.2,0.056,0.033,2.8,2.022,99.028,3.189,2.767,1.856,1.422,0.633,0.289,0.3,0.056,0.167,0.278,0.022,0.056,0.233,0.156,0.156,0.022,0.033,0.078,0.022,0.111,0.122,0.1,0.022,0.033,2.656,1.656,0.922,0.922,2.4,2.133,0.244,0.244,0.122,0.022,0.356,1.711,1.133,0.767,0.789,0.156,0.133,0.811,0.044,0.011,0.022,0.044,0.011,0.011,0.011,0.7,0.433,21.938,0.911,0.733,0.456,0.322,0.078,0.022,0.022,0.0,0.0,0.056,0.0,0.0,0.022,0.044,0.022,0.0,0.0,0.011,0.0,0.0,0.022,0.022,0.022,0.0,0.678,0.367,0.189,0.189,0.767,0.578,0.033,0.033,0.011,0.0,0.022
Adnan Januzaj,57.0,42.0,43.0,13.0,1.0,3.0,44.0,16.0,8.0,0.0,10.0,4.0,3.0,2.0,40.0,28.0,1108.1924,27.0,21.0,14.0,13.0,12.0,7.0,5,2,5,4,2,2.0,6.0,3.0,4.0,1,0.0,0.0,1.0,5.0,1.0,2.0,2.0,2.0,22.0,16.0,11.0,11.0,18.0,15.0,3.0,3.0,2.0,0.0,7,22.0,18.0,18.0,3.0,1.0,2.0,17.0,5.0,5.0,0.0,3.0,3.0,2.0,2.0,16.0,14.0,290.47162,12.0,10.0,7.0,7.0,0.0,0.0,4,2,0,0,1,2.0,4.0,1.0,0.0,0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,7.0,4.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,6,0.7368421052631579,0.8181818181818182,0.7272727272727273,1.0,0.8333333333333334,1.0,0.7777777777777778,0.5,0.4,1.0,0.7777777777777778,0.9285714285714286,0.5833333333333334,0.7,0.875,0.22727272727272727,0.09090909090909091,19.441971628289473,1.5,0.633,0.467,0.478,0.144,0.011,0.033,0.489,0.178,0.089,0.0,0.111,0.044,0.033,0.022,0.444,0.311,12.313,0.3,0.233,0.156,0.144,0.133,0.078,0.056,0.022,0.056,0.044,0.022,0.022,0.067,0.033,0.044,0.011,0.0,0.0,0.011,0.056,0.011,0.022,0.022,0.022,0.244,0.178,0.122,0.122,0.2,0.167,0.033,0.033,0.022,0.0,0.078,0.244,0.2,0.2,0.033,0.011,0.022,0.189,0.056,0.056,0.0,0.033,0.033,0.022,0.022,0.178,0.156,3.227,0.133,0.111,0.078,0.078,0.0,0.0,0.044,0.022,0.0,0.0,0.011,0.022,0.044,0.011,0.0,0.0,0.0,0.0,0.011,0.033,0.0,0.0,0.011,0.0,0.078,0.078,0.044,0.044,0.1,0.078,0.0,0.0,0.0,0.0,0.067
Ahmet Metin Arslan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albian Afrim Ajeti,8.0,6.0,4.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,99.86908,5.0,4.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.327454,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.75,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,1.0,0.0,0.75,0.0,0.0,0.0,12.483634948730469,0.0,0.089,0.067,0.044,0.033,0.011,0.0,0.044,0.011,0.011,0.0,0.011,0.011,0.0,0.0,0.044,0.033,1.11,0.056,0.044,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.011,0.011,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.181,0.022,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0
Albin Ekdal,591.0,460.0,61.0,450.0,80.0,1.0,143.0,14.0,3.0,1.0,5.0,0.0,4.0,1.0,58.0,38.0,11043.4375,230.0,187.0,257.0,214.0,77.0,49.0,5,0,7,1,0,4.0,12.0,0.0,1.0,0,3.0,7.0,1.0,4.0,0.0,1.0,0.0,0.0,351.0,234.0,72.0,72.0,159.0,154.0,44.0,44.0,31.0,6.0,5,115.0,74.0,16.0,75.0,24.0,1.0,29.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,15.0,8.0,1792.9329,54.0,35.0,42.0,33.0,9.0,4.0,0,0,1,0,0,2.0,4.0,0.0,0.0,0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,38.0,12.0,12.0,27.0,24.0,6.0,6.0,4.0,1.0,0,0.7783417935702199,0.6434782608695652,0.6666666666666666,0.5277777777777778,0.9685534591194969,1.0,0.8888888888888888,0.21428571428571427,0.0,0.25,0.8130434782608695,0.8326848249027238,0.6363636363636364,0.6551724137931034,0.5333333333333333,0.014245014245014245,0.0,18.686019458544838,4.0,6.567,5.111,0.678,5.0,0.889,0.011,1.589,0.156,0.033,0.011,0.056,0.0,0.044,0.011,0.644,0.422,122.705,2.556,2.078,2.856,2.378,0.856,0.544,0.056,0.0,0.078,0.011,0.0,0.044,0.133,0.0,0.011,0.0,0.033,0.078,0.011,0.044,0.0,0.011,0.0,0.0,3.9,2.6,0.8,0.8,1.767,1.711,0.489,0.489,0.344,0.067,0.056,1.278,0.822,0.178,0.833,0.267,0.011,0.322,0.044,0.011,0.0,0.022,0.0,0.011,0.0,0.167,0.089,19.921,0.6,0.389,0.467,0.367,0.1,0.044,0.0,0.0,0.011,0.0,0.0,0.022,0.044,0.0,0.0,0.0,0.022,0.033,0.0,0.011,0.0,0.0,0.0,0.0,0.8,0.422,0.133,0.133,0.3,0.267,0.067,0.067,0.044,0.011,0.0
Alejandro Gálvez Jimena,513.0,383.0,18.0,277.0,218.0,0.0,108.0,7.0,1.0,0.0,2.0,0.0,1.0,0.0,16.0,10.0,14137.285,120.0,99.0,197.0,159.0,186.0,120.0,0,0,46,2,0,1.0,4.0,0.0,0.0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,249.0,65.0,65.0,71.0,69.0,97.0,97.0,40.0,3.0,0,61.0,41.0,6.0,34.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1090.357,23.0,17.0,23.0,15.0,11.0,8.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,4.0,4.0,8.0,8.0,8.0,8.0,4.0,0.0,0,0.746588693957115,0.6721311475409836,0.6693548387096774,0.6041666666666666,0.971830985915493,1.0,1.0,0.14285714285714285,0.0,0.0,0.825,0.8071065989847716,0.6451612903225806,0.625,0.8333333333333334,0.0,0.0,27.5580607334308,0.0,5.7,4.256,0.2,3.078,2.422,0.0,1.2,0.078,0.011,0.0,0.022,0.0,0.011,0.0,0.178,0.111,157.081,1.333,1.1,2.189,1.767,2.067,1.333,0.0,0.0,0.511,0.022,0.0,0.011,0.044,0.0,0.0,0.0,0.011,0.044,0.0,0.0,0.0,0.0,0.0,0.0,4.133,2.767,0.722,0.722,0.789,0.767,1.078,1.078,0.444,0.033,0.0,0.678,0.456,0.067,0.378,0.233,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.056,12.115,0.256,0.189,0.256,0.167,0.122,0.089,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.322,0.044,0.044,0.089,0.089,0.089,0.089,0.044,0.0,0.0
Aleksandar Ignjovski,568.0,379.0,144.0,303.0,121.0,7.0,202.0,47.0,13.0,11.0,35.0,9.0,3.0,0.0,138.0,76.0,10743.664,228.0,171.0,228.0,167.0,85.0,35.0,7,1,11,34,2,5.0,9.0,21.0,27.0,2,4.0,4.0,0.0,2.0,15.0,18.0,5.0,5.0,376.0,227.0,76.0,76.0,83.0,76.0,46.0,46.0,17.0,5.0,8,91.0,46.0,24.0,42.0,25.0,1.0,32.0,7.0,2.0,2.0,3.0,1.0,1.0,0.0,22.0,11.0,1666.9409,35.0,21.0,27.0,17.0,17.0,6.0,0,1,2,2,0,1.0,2.0,2.0,4.0,0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,59.0,23.0,7.0,7.0,18.0,16.0,10.0,10.0,3.0,1.0,1,0.6672535211267606,0.5054945054945055,0.6037234042553191,0.3898305084745763,0.9156626506024096,1.0,0.8888888888888888,0.2765957446808511,0.2571428571428571,0.2857142857142857,0.75,0.7324561403508771,0.4117647058823529,0.5507246376811594,0.5,0.018617021276595744,0.0026595744680851063,18.914901518485916,0.0,6.311,4.211,1.6,3.367,1.344,0.078,2.244,0.522,0.144,0.122,0.389,0.1,0.033,0.0,1.533,0.844,119.374,2.533,1.9,2.533,1.856,0.944,0.389,0.078,0.011,0.122,0.378,0.022,0.056,0.1,0.233,0.3,0.022,0.044,0.044,0.0,0.022,0.167,0.2,0.056,0.056,4.178,2.522,0.844,0.844,0.922,0.844,0.511,0.511,0.189,0.056,0.089,1.011,0.511,0.267,0.467,0.278,0.011,0.356,0.078,0.022,0.022,0.033,0.011,0.011,0.0,0.244,0.122,18.522,0.389,0.233,0.3,0.189,0.189,0.067,0.0,0.011,0.022,0.022,0.0,0.011,0.022,0.022,0.044,0.0,0.011,0.011,0.0,0.0,0.022,0.033,0.0,0.011,0.656,0.256,0.078,0.078,0.2,0.178,0.111,0.111,0.033,0.011,0.011
