player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
Aaron Hunt,3009.0,30.0,308.0,1579.0,1122.0,108.0,37.0,25.0,12.0,0,3,0,684.0,37.0,10.0,1.0,4417.335505018136,364.0,3239.318444036448,33.0,0,27.0,0.0,2.0,14.0,11.0,1.0,1041.0,722.0,0.0,1.0,867.0,15.0,121.0,420.0,326.0,27.0,37.0,25.0,12.0,0,3,0,350.0,20.0,4.0,1.0,2795.5387339000463,203.0,2001.7683038057744,4.0,0,27.0,0.0,2.0,14.0,11.0,1.0,91.0,86.0,0.0,0.0,0.009970089730807577,0.1023595879029578,0.5247590561648389,0.3728813559322034,0.03589232303090728,0.6935638808837656,0.6756756756756757,6.458092843593766,0.054093567251461985,0.014619883040935672,0.0014619883040935672,8.899226494605626,0.039473684210526314,33.433,0.333,3.422,17.544,12.467,1.2,0.411,0.278,0.133,0.0,0.033,0.0,7.6,0.411,0.111,0.011,49.082,4.044,35.992,0.367,0.0,0.3,0.0,0.022,0.156,0.122,0.011,11.567,8.022,0.0,0.011,9.633,0.167,1.344,4.667,3.622,0.3,0.411,0.278,0.133,0.0,0.033,0.0,3.889,0.222,0.044,0.011,31.062,2.256,22.242,0.044,0.0,0.3,0.0,0.022,0.156,0.122,0.011,1.011,0.956,0.0,0.0,0.099
Adam Hloušek,559.0,24.0,308.0,218.0,33.0,7.0,1.0,1.0,0.0,0,0,0,124.0,1.0,0.0,0.0,814.4126460998243,86.0,663.8247903804086,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,151.0,145.0,0.0,1.0,87.0,15.0,56.0,27.0,4.0,1.0,1.0,1.0,0.0,0,0,0,12.0,0.0,0.0,0.0,123.31680720937636,5.0,71.1790613519268,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.04293381037567084,0.5509838998211091,0.38998211091234347,0.059033989266547404,0.012522361359570662,0.9602649006622517,1.0,6.5678439201598735,0.008064516129032258,0.0,0.0,7.7188929114001,0.008064516129032258,6.211,0.267,3.422,2.422,0.367,0.078,0.011,0.011,0.0,0.0,0.0,0.0,1.378,0.011,0.0,0.0,9.049,0.956,7.376,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,1.678,1.611,0.0,0.011,0.967,0.167,0.622,0.3,0.044,0.011,0.011,0.011,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.0,1.37,0.056,0.791,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.086
Adelino André Vieira Freitas,4067.0,71.0,675.0,2142.0,1250.0,95.0,37.0,24.0,13.0,3,3,1,1063.0,52.0,8.0,0.0,5659.192724695555,637.0,4323.9542347305505,26.0,0,27.0,0.0,6.0,10.0,11.0,3.0,1191.0,1009.0,0.0,0.0,988.0,36.0,207.0,518.0,263.0,26.0,37.0,24.0,13.0,3,3,1,394.0,26.0,4.0,0.0,2320.480150813955,211.0,1541.331168410564,8.0,0,27.0,0.0,6.0,10.0,11.0,3.0,100.0,97.0,0.0,0.0,0.017457585443816082,0.16597000245881485,0.5266781411359724,0.3073518564052127,0.023358741086796163,0.8471872376154492,0.6486486486486487,5.323793720315668,0.04891815616180621,0.007525870178739417,0.0,6.787997228776375,0.02539981185324553,45.189,0.789,7.5,23.8,13.889,1.056,0.411,0.267,0.144,0.033,0.033,0.011,11.811,0.578,0.089,0.0,62.88,7.078,48.044,0.289,0.0,0.3,0.0,0.067,0.111,0.122,0.033,13.233,11.211,0.0,0.0,10.978,0.4,2.3,5.756,2.922,0.289,0.411,0.267,0.144,0.033,0.033,0.011,4.378,0.289,0.044,0.0,25.783,2.344,17.126,0.089,0.0,0.3,0.0,0.067,0.111,0.122,0.033,1.111,1.078,0.0,0.0,0.075
Admir Mehmedi,2264.0,26.0,202.0,955.0,1107.0,154.0,44.0,32.0,12.0,2,6,0,553.0,34.0,13.0,4.0,3380.2945501716767,326.0,2604.9416746857028,36.0,1,41.0,0.0,4.0,14.0,23.0,4.0,785.0,538.0,0.0,1.0,802.0,12.0,85.0,346.0,371.0,49.0,44.0,32.0,12.0,2,6,0,330.0,19.0,9.0,2.0,2205.3610395774144,195.0,1643.9202177294571,14.0,1,41.0,0.0,4.0,14.0,23.0,4.0,95.0,91.0,0.0,0.0,0.011484098939929329,0.0892226148409894,0.4218197879858657,0.48895759717314485,0.06802120141342756,0.6853503184713375,0.7272727272727273,6.112648372824008,0.06148282097649186,0.023508137432188065,0.007233273056057866,7.990618634005223,0.07414104882459313,25.156,0.289,2.244,10.611,12.3,1.711,0.489,0.356,0.133,0.022,0.067,0.0,6.144,0.378,0.144,0.044,37.559,3.622,28.944,0.4,0.011,0.456,0.0,0.044,0.156,0.256,0.044,8.722,5.978,0.0,0.011,8.911,0.133,0.944,3.844,4.122,0.544,0.489,0.356,0.133,0.022,0.067,0.0,3.667,0.211,0.1,0.022,24.504,2.167,18.266,0.156,0.011,0.456,0.0,0.044,0.156,0.256,0.044,1.056,1.011,0.0,0.0,0.089
Adnan Januzaj,262.0,0.0,8.0,76.0,178.0,25.0,7.0,5.0,2.0,0,0,0,69.0,5.0,4.0,1.0,580.9387491932123,51.0,507.35901273702103,7.0,0,9.0,0.0,0.0,3.0,6.0,3.0,90.0,68.0,0.0,0.0,111.0,0.0,4.0,25.0,82.0,12.0,7.0,5.0,2.0,0,0,0,47.0,2.0,3.0,0.0,450.56253472182146,34.0,379.10849573329176,3.0,0,9.0,0.0,0.0,3.0,6.0,3.0,13.0,12.0,0.0,0.0,0.0,0.030534351145038167,0.2900763358778626,0.6793893129770993,0.09541984732824428,0.7555555555555555,0.7142857142857143,8.419402162220468,0.07246376811594203,0.057971014492753624,0.014492753623188406,9.94821593602002,0.13043478260869565,2.911,0.0,0.089,0.844,1.978,0.278,0.078,0.056,0.022,0.0,0.0,0.0,0.767,0.056,0.044,0.011,6.455,0.567,5.637,0.078,0.0,0.1,0.0,0.0,0.033,0.067,0.033,1.0,0.756,0.0,0.0,1.233,0.0,0.044,0.278,0.911,0.133,0.078,0.056,0.022,0.0,0.0,0.0,0.522,0.022,0.033,0.0,5.006,0.378,4.212,0.033,0.0,0.1,0.0,0.0,0.033,0.067,0.033,0.144,0.133,0.0,0.0,0.111
Ahmet Metin Arslan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albian Afrim Ajeti,39.0,0.0,5.0,13.0,21.0,4.0,0.0,0.0,0.0,0,0,0,7.0,0.0,0.0,0.0,30.01862214005605,3.0,19.84137633868533,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,11.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0,0,0,4.0,0.0,0.0,0.0,18.29156245198841,2.0,13.90083764257367,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.3333333333333333,0.5384615384615384,0.10256410256410256,0.3333333333333333,0.0,4.288374591436578,0.0,0.0,0.0,6.613792112895109,0.14285714285714285,0.433,0.0,0.056,0.144,0.233,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.334,0.033,0.22,0.011,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.2,0.067,0.0,0.0,0.122,0.0,0.056,0.011,0.056,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.203,0.022,0.154,0.011,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073
Albin Ekdal,1773.0,44.0,336.0,1245.0,192.0,22.0,9.0,4.0,5.0,0,2,0,432.0,18.0,1.0,0.0,2611.845553580225,250.0,2051.9268377946805,6.0,0,9.0,0.0,3.0,3.0,3.0,0.0,484.0,431.0,0.0,0.0,489.0,31.0,142.0,287.0,60.0,6.0,9.0,4.0,5.0,0,2,0,172.0,8.0,0.0,0.0,1257.9316909845102,104.0,1016.9221043299035,1.0,0,9.0,0.0,3.0,3.0,3.0,0.0,38.0,37.0,0.0,0.0,0.024816694867456288,0.1895093062605753,0.7021996615905245,0.10829103214890017,0.012408347433728144,0.890495867768595,0.4444444444444444,6.045938781435706,0.041666666666666664,0.0023148148148148147,0.0,8.207707351178723,0.020833333333333332,19.7,0.489,3.733,13.833,2.133,0.244,0.1,0.044,0.056,0.0,0.022,0.0,4.8,0.2,0.011,0.0,29.021,2.778,22.799,0.067,0.0,0.1,0.0,0.033,0.033,0.033,0.0,5.378,4.789,0.0,0.0,5.433,0.344,1.578,3.189,0.667,0.067,0.1,0.044,0.056,0.0,0.022,0.0,1.911,0.089,0.0,0.0,13.977,1.156,11.299,0.011,0.0,0.1,0.0,0.033,0.033,0.033,0.0,0.422,0.411,0.0,0.0,0.091
Alejandro Gálvez Jimena,1300.0,116.0,627.0,607.0,66.0,18.0,3.0,2.0,1.0,0,0,0,270.0,3.0,0.0,0.0,1559.5376906358863,155.0,1069.6393442478043,3.0,0,4.0,0.0,0.0,4.0,0.0,0.0,270.0,256.0,1.0,0.0,261.0,46.0,132.0,110.0,19.0,5.0,3.0,2.0,1.0,0,0,0,54.0,0.0,0.0,0.0,343.6552460258338,29.0,196.03632335490215,0.0,0,4.0,0.0,0.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,0.08923076923076922,0.4823076923076923,0.46692307692307694,0.05076923076923077,0.013846153846153847,0.9481481481481482,0.6666666666666666,5.776065520873653,0.011111111111111112,0.0,0.0,6.9008989951471245,0.014814814814814815,14.444,1.289,6.967,6.744,0.733,0.2,0.033,0.022,0.011,0.0,0.0,0.0,3.0,0.033,0.0,0.0,17.328,1.722,11.885,0.033,0.0,0.044,0.0,0.0,0.044,0.0,0.0,3.0,2.844,0.011,0.0,2.9,0.511,1.467,1.222,0.211,0.056,0.033,0.022,0.011,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.818,0.322,2.178,0.0,0.0,0.044,0.0,0.0,0.044,0.0,0.0,0.1,0.1,0.0,0.0,0.077
Aleksandar Ignjovski,1821.0,52.0,433.0,931.0,457.0,32.0,34.0,15.0,19.0,3,7,0,451.0,22.0,4.0,0.0,2816.344587444145,282.0,2307.8322822648583,16.0,0,19.0,0.0,2.0,4.0,13.0,0.0,448.0,394.0,0.0,0.0,521.0,22.0,153.0,228.0,140.0,12.0,34.0,15.0,19.0,3,7,0,180.0,10.0,4.0,0.0,1326.9431899404026,116.0,1012.4681244341796,7.0,0,19.0,0.0,2.0,4.0,13.0,0.0,39.0,39.0,0.0,0.0,0.028555738605161998,0.23778143876990665,0.5112575507962658,0.25096101043382757,0.01757276221856123,0.8794642857142857,0.4411764705882353,6.244666491006973,0.04878048780487805,0.008869179600886918,0.0,8.18380241937893,0.04212860310421286,20.233,0.578,4.811,10.344,5.078,0.356,0.378,0.167,0.211,0.033,0.078,0.0,5.011,0.244,0.044,0.0,31.293,3.133,25.643,0.178,0.0,0.211,0.0,0.022,0.044,0.144,0.0,4.978,4.378,0.0,0.0,5.789,0.244,1.7,2.533,1.556,0.133,0.378,0.167,0.211,0.033,0.078,0.0,2.0,0.111,0.044,0.0,14.744,1.289,11.25,0.078,0.0,0.211,0.0,0.022,0.044,0.144,0.0,0.433,0.433,0.0,0.0,0.091
