player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Aarón Escandell Banacloche,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoul Karim Yoda,67.0,64.0,1,1,3,172.0,77.0,71.0,24.0,47.0,14.0,16.0,17.0,1.0,20.0,0,0,0,20.0,1,20.0,13.0,0.0,25.0,19.0,18.0,6.0,1.0,16.0,3.0,9.0,4.0,1,0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9552238805970149,0.4476744186046512,0.4127906976744186,0.13953488372093023,0.2978723404255319,0.3404255319148936,0.3617021276595745,0.76,0.72,0.24,0.04,0.1875,0.5625,0.25,0.744,0.711,0.011,0.011,0.033,1.911,0.856,0.789,0.267,0.522,0.156,0.178,0.189,0.011,0.222,0.0,0.0,0.0,0.222,0.011,0.222,0.144,0.0,0.278,0.211,0.2,0.067,0.011,0.178,0.033,0.1,0.044,0.011,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.033,0.0
Abdoulaye Doucouré,101.0,88.0,0,0,13,286.0,102.0,162.0,22.0,72.0,8.0,53.0,11.0,0.0,27.0,1,0,0,27.0,0,15.0,4.0,0.0,25.0,14.0,11.0,11.0,3.0,20.0,3.0,16.0,1.0,1,0,0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.8712871287128713,0.35664335664335667,0.5664335664335665,0.07692307692307693,0.1111111111111111,0.7361111111111112,0.1527777777777778,0.56,0.44,0.44,0.12,0.15,0.8,0.05,1.122,0.978,0.0,0.0,0.144,3.178,1.133,1.8,0.244,0.8,0.089,0.589,0.122,0.0,0.3,0.011,0.0,0.0,0.3,0.0,0.167,0.044,0.0,0.278,0.156,0.122,0.122,0.033,0.222,0.033,0.178,0.011,0.011,0.0,0.0,0.033,0.0,0.0,0.022,0.022,0.0,0.0,0.056,0.0
Abraham González Casanova,56.0,44.0,1,1,12,207.0,49.0,112.0,46.0,65.0,4.0,35.0,26.0,0.0,24.0,0,1,1,24.0,0,7.0,2.0,0.0,25.0,15.0,7.0,14.0,4.0,14.0,2.0,8.0,4.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7857142857142857,0.23671497584541062,0.5410628019323671,0.2222222222222222,0.06153846153846154,0.5384615384615384,0.4,0.6,0.28,0.56,0.16,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.622,0.489,0.011,0.011,0.133,2.3,0.544,1.244,0.511,0.722,0.044,0.389,0.289,0.0,0.267,0.0,0.011,0.011,0.267,0.0,0.078,0.022,0.0,0.278,0.167,0.078,0.156,0.044,0.156,0.022,0.089,0.044,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Adalberto Peñaranda Maestre,71.0,57.0,1,1,14,397.0,42.0,208.0,147.0,147.0,6.0,62.0,79.0,1.0,40.0,0,0,0,40.0,0,5.0,1.0,0.0,31.0,16.0,7.0,15.0,9.0,64.0,4.0,33.0,27.0,3,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8028169014084507,0.10579345088161209,0.5239294710327456,0.3702770780856423,0.04081632653061224,0.4217687074829932,0.5374149659863946,0.5161290322580645,0.22580645161290322,0.4838709677419355,0.2903225806451613,0.0625,0.515625,0.421875,0.789,0.633,0.011,0.011,0.156,4.411,0.467,2.311,1.633,1.633,0.067,0.689,0.878,0.011,0.444,0.0,0.0,0.0,0.444,0.0,0.056,0.011,0.0,0.344,0.178,0.078,0.167,0.1,0.711,0.044,0.367,0.3,0.033,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0
Aderllan Leandro de Jesus Santos,53.0,48.0,0,0,5,170.0,117.0,51.0,2.0,43.0,23.0,20.0,0.0,4.0,34.0,0,1,1,34.0,1,90.0,49.0,0.0,50.0,15.0,40.0,10.0,0.0,13.0,5.0,8.0,0.0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9056603773584906,0.6882352941176471,0.3,0.011764705882352941,0.5348837209302325,0.46511627906976744,0.0,0.3,0.8,0.2,0.0,0.38461538461538464,0.6153846153846154,0.0,0.589,0.533,0.0,0.0,0.056,1.889,1.3,0.567,0.022,0.478,0.256,0.222,0.0,0.044,0.378,0.0,0.011,0.011,0.378,0.011,1.0,0.544,0.0,0.556,0.167,0.444,0.111,0.0,0.144,0.056,0.089,0.0,0.0,0.011,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Adil Rami,111.0,108.0,0,0,3,136.0,96.0,35.0,5.0,34.0,14.0,14.0,6.0,1.0,36.0,0,1,1,36.0,0,109.0,73.0,0.0,19.0,11.0,17.0,2.0,0.0,27.0,7.0,11.0,9.0,0,0,0,5.0,1.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,0.972972972972973,0.7058823529411765,0.25735294117647056,0.03676470588235294,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.5789473684210527,0.8947368421052632,0.10526315789473684,0.0,0.25925925925925924,0.4074074074074074,0.3333333333333333,1.233,1.2,0.0,0.0,0.033,1.511,1.067,0.389,0.056,0.378,0.156,0.156,0.067,0.011,0.4,0.0,0.011,0.011,0.4,0.0,1.211,0.811,0.0,0.211,0.122,0.189,0.022,0.0,0.3,0.078,0.122,0.1,0.0,0.0,0.0,0.056,0.011,0.0,0.033,0.033,0.0,0.0,0.089,0.0
Adnane Tighadouini,22.0,20.0,0,0,2,48.0,9.0,19.0,20.0,16.0,1.0,7.0,8.0,0.0,3.0,0,0,0,3.0,0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,3.0,5.0,1.0,3.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.1875,0.3958333333333333,0.4166666666666667,0.0625,0.4375,0.5,0.4,0.0,0.4,0.6,0.2,0.6,0.2,0.244,0.222,0.0,0.0,0.022,0.533,0.1,0.211,0.222,0.178,0.011,0.078,0.089,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.056,0.022,0.0,0.022,0.033,0.056,0.011,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriano Correia Claro,24.0,24.0,0,0,0,58.0,21.0,23.0,14.0,18.0,1.0,8.0,9.0,2.0,7.0,0,0,0,7.0,0,6.0,4.0,0.0,8.0,4.0,3.0,4.0,1.0,9.0,4.0,3.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3620689655172414,0.39655172413793105,0.2413793103448276,0.05555555555555555,0.4444444444444444,0.5,0.5,0.375,0.5,0.125,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.267,0.267,0.0,0.0,0.0,0.644,0.233,0.256,0.156,0.2,0.011,0.089,0.1,0.022,0.078,0.0,0.0,0.0,0.078,0.0,0.067,0.044,0.0,0.089,0.044,0.033,0.044,0.011,0.1,0.044,0.033,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Embarba Blázquez,107.0,97.0,0,0,10,353.0,99.0,133.0,121.0,161.0,12.0,59.0,90.0,1.0,32.0,0,0,0,32.0,0,24.0,13.0,0.0,45.0,22.0,22.0,10.0,13.0,31.0,3.0,15.0,13.0,1,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9065420560747663,0.2804532577903683,0.37677053824362605,0.34277620396600567,0.07453416149068323,0.36645962732919257,0.5590062111801242,0.4888888888888889,0.4888888888888889,0.2222222222222222,0.28888888888888886,0.0967741935483871,0.4838709677419355,0.41935483870967744,1.189,1.078,0.0,0.0,0.111,3.922,1.1,1.478,1.344,1.789,0.133,0.656,1.0,0.011,0.356,0.0,0.0,0.0,0.356,0.0,0.267,0.144,0.0,0.5,0.244,0.244,0.111,0.144,0.344,0.033,0.167,0.144,0.011,0.0,0.0,0.044,0.0,0.0,0.011,0.011,0.0,0.0,0.056,0.0
