player,passes_total,passes_completed,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_into_edge_of_the_box_completed,passes_cuts_last_line_of_defence,passes_cuts_last_line_of_defence_completed,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_total,passes_medium_completed,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_edge_of_the_box,passes_horizontal_into_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_high_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_horizontal_completed,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes,up_passes_total,up_passes_completed,up_passes_from_attacking_third,up_passes_from_middle_third,up_passes_from_defending_third,up_passes_from_the_box,up_passes_into_attacking_third,up_passes_into_box,up_passes_into_box_completed,up_passes_into_goal_area,up_passes_into_edge_of_the_box,up_passes_into_edge_of_the_box_completed,up_passes_cuts_last_line_of_defence,up_passes_cuts_last_line_of_defence_completed,up_passes_within_attacking_third,up_passes_within_attacking_third_completed,up_passes_total_distance,up_passes_short_total,up_passes_short_completed,up_passes_medium_total,up_passes_medium_completed,up_passes_long_total,up_passes_long_completed,up_passes_shot_assist,up_passes_goal_assist,up_passes_switch,up_passes_cross,up_passes_cut_back,up_passes_vertical_into_edge_of_the_box,up_passes_vertical_into_the_box,up_passes_horizontal_into_edge_of_the_box,up_passes_horizontal_into_the_box,up_passes_cut_back_into_edge_of_the_box,up_passes_high_vertical_into_edge_of_the_box,up_passes_high_vertical_into_the_box,up_passes_low_vertical_into_edge_of_the_box,up_passes_low_vertical_into_the_box,up_passes_high_horizontal_into_edge_of_the_box,up_passes_high_horizontal_into_the_box,up_passes_low_horizontal_into_edge_of_the_box,up_passes_low_horizontal_into_the_box,up_passes_progressive,up_passes_progressive_completed,up_passes_horizontal,up_passes_horizontal_completed,up_passes_backward,up_passes_backward_completed,up_passes_long_vertical,up_passes_long_vertical_from_defending_third,up_passes_long_vertical_from_mid_third,up_passes_long_vertical_from_mid_third_into_the_box,up_key_passes,pass_accuracy_%,up_pass_accuracy_%,pass_accuracy_progressive_%,up_pass_accuracy_progressive_%,pass_accuracy_backward_%,pass_horizontal_backward_%,up_pass_accuracy_backward_%,pass_accuracy_into_box_%,pass_accuracy_into_edge_of_the_box_%,up_pass_accuracy_into_box_%,pass_accuaracy_short_%,pass_accuaracy_medium_%,pass_accuaracy_long_%,pass_accuracy_within_attacking_third_%,up_pass_accuracy_within_attacking_third_%,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance_%,pass_accuracy_cuts_last_line_of_defence_%,passes_total_per_match,passes_completed_per_match,passes_from_attacking_third_per_match,passes_from_middle_third_per_match,passes_from_defending_third_per_match,passes_from_the_box_per_match,passes_into_attacking_third_per_match,passes_into_box_per_match,passes_into_box_completed_per_match,passes_into_goal_area_per_match,passes_into_edge_of_the_box_per_match,passes_into_edge_of_the_box_completed_per_match,passes_cuts_last_line_of_defence_per_match,passes_cuts_last_line_of_defence_completed_per_match,passes_within_attacking_third_per_match,passes_within_attacking_third_completed_per_match,passes_total_distance_per_match,passes_short_total_per_match,passes_short_completed_per_match,passes_medium_total_per_match,passes_medium_completed_per_match,passes_long_total_per_match,passes_long_completed_per_match,passes_shot_assist_per_match,passes_goal_assist_per_match,passes_switch_per_match,passes_cross_per_match,passes_cut_back_per_match,passes_vertical_into_edge_of_the_box_per_match,passes_vertical_into_the_box_per_match,passes_horizontal_into_edge_of_the_box_per_match,passes_horizontal_into_the_box_per_match,passes_cut_back_into_edge_of_the_box_per_match,passes_high_vertical_into_edge_of_the_box_per_match,passes_high_vertical_into_the_box_per_match,passes_low_vertical_into_edge_of_the_box_per_match,passes_low_vertical_into_the_box_per_match,passes_high_horizontal_into_edge_of_the_box_per_match,passes_high_horizontal_into_the_box_per_match,passes_low_horizontal_into_edge_of_the_box_per_match,passes_low_horizontal_into_the_box_per_match,passes_progressive_per_match,passes_progressive_completed_per_match,passes_horizontal_per_match,passes_horizontal_completed_per_match,passes_backward_per_match,passes_backward_completed_per_match,passes_long_vertical_per_match,passes_long_vertical_from_defending_third_per_match,passes_long_vertical_from_mid_third_per_match,passes_long_vertical_from_mid_third_into_the_box_per_match,key_passes_per_match,up_passes_total_per_match,up_passes_completed_per_match,up_passes_from_attacking_third_per_match,up_passes_from_middle_third_per_match,up_passes_from_defending_third_per_match,up_passes_from_the_box_per_match,up_passes_into_attacking_third_per_match,up_passes_into_box_per_match,up_passes_into_box_completed_per_match,up_passes_into_goal_area_per_match,up_passes_into_edge_of_the_box_per_match,up_passes_into_edge_of_the_box_completed_per_match,up_passes_cuts_last_line_of_defence_per_match,up_passes_cuts_last_line_of_defence_completed_per_match,up_passes_within_attacking_third_per_match,up_passes_within_attacking_third_completed_per_match,up_passes_total_distance_per_match,up_passes_short_total_per_match,up_passes_short_completed_per_match,up_passes_medium_total_per_match,up_passes_medium_completed_per_match,up_passes_long_total_per_match,up_passes_long_completed_per_match,up_passes_shot_assist_per_match,up_passes_goal_assist_per_match,up_passes_switch_per_match,up_passes_cross_per_match,up_passes_cut_back_per_match,up_passes_vertical_into_edge_of_the_box_per_match,up_passes_vertical_into_the_box_per_match,up_passes_horizontal_into_edge_of_the_box_per_match,up_passes_horizontal_into_the_box_per_match,up_passes_cut_back_into_edge_of_the_box_per_match,up_passes_high_vertical_into_edge_of_the_box_per_match,up_passes_high_vertical_into_the_box_per_match,up_passes_low_vertical_into_edge_of_the_box_per_match,up_passes_low_vertical_into_the_box_per_match,up_passes_high_horizontal_into_edge_of_the_box_per_match,up_passes_high_horizontal_into_the_box_per_match,up_passes_low_horizontal_into_edge_of_the_box_per_match,up_passes_low_horizontal_into_the_box_per_match,up_passes_progressive_per_match,up_passes_progressive_completed_per_match,up_passes_horizontal_per_match,up_passes_horizontal_completed_per_match,up_passes_backward_per_match,up_passes_backward_completed_per_match,up_passes_long_vertical_per_match,up_passes_long_vertical_from_defending_third_per_match,up_passes_long_vertical_from_mid_third_per_match,up_passes_long_vertical_from_mid_third_into_the_box_per_match,up_key_passes_per_match
Aarón Escandell Banacloche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoul Karim Yoda,526.0,392.0,149.0,266.0,111.0,8.0,184.0,42.0,14.0,8.0,28.0,7.0,1.0,0.0,136.0,79.0,10187.244,231.0,197.0,185.0,146.0,87.0,42.0,10,0,24,27,3,3.0,7.0,7.0,7.0,3,2.0,4.0,1.0,2.0,3.0,6.0,2.0,0.0,312.0,210.0,65.0,65.0,124.0,117.0,34.0,34.0,15.0,2.0,10,48.0,31.0,15.0,22.0,11.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,12.0,6.0,722.12866,30.0,22.0,12.0,7.0,3.0,2.0,0,0,2,2,0,0.0,1.0,3.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,24.0,13.0,3.0,3.0,16.0,15.0,1.0,1.0,0.0,0.0,0,0.7452471482889734,0.6458333333333334,0.6730769230769231,0.5416666666666666,0.9435483870967742,1.0,0.9375,0.3333333333333333,0.25,0.5,0.8528138528138528,0.7891891891891892,0.4827586206896552,0.5808823529411765,0.5,0.03205128205128205,0.0,19.36738429776616,0.0,5.844,4.356,1.656,2.956,1.233,0.089,2.044,0.467,0.156,0.089,0.311,0.078,0.011,0.0,1.511,0.878,113.192,2.567,2.189,2.056,1.622,0.967,0.467,0.111,0.0,0.267,0.3,0.033,0.033,0.078,0.078,0.078,0.033,0.022,0.044,0.011,0.022,0.033,0.067,0.022,0.0,3.467,2.333,0.722,0.722,1.378,1.3,0.378,0.378,0.167,0.022,0.111,0.533,0.344,0.167,0.244,0.122,0.022,0.144,0.022,0.011,0.011,0.033,0.011,0.011,0.0,0.133,0.067,8.024,0.333,0.244,0.133,0.078,0.033,0.022,0.0,0.0,0.022,0.022,0.0,0.0,0.011,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.0,0.267,0.144,0.033,0.033,0.178,0.167,0.011,0.011,0.0,0.0,0.0
Abdoulaye Doucouré,577.0,482.0,73.0,404.0,100.0,7.0,111.0,11.0,3.0,2.0,6.0,1.0,2.0,0.0,63.0,41.0,10954.454,264.0,236.0,200.0,170.0,93.0,67.0,9,2,26,3,0,2.0,4.0,1.0,1.0,0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,250.0,177.0,116.0,116.0,199.0,189.0,24.0,24.0,14.0,2.0,11,110.0,85.0,10.0,79.0,21.0,0.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,1742.7101,62.0,54.0,31.0,22.0,12.0,8.0,1,0,2,0,0,1.0,2.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,30.0,16.0,16.0,44.0,39.0,3.0,3.0,2.0,1.0,1,0.8353552859618717,0.7727272727272727,0.708,0.6521739130434783,0.949748743718593,1.0,0.8863636363636364,0.2727272727272727,0.16666666666666666,0.0,0.8939393939393939,0.85,0.7204301075268817,0.6507936507936508,0.5555555555555556,0.036,0.008,18.98518908416378,0.0,6.411,5.356,0.811,4.489,1.111,0.078,1.233,0.122,0.033,0.022,0.067,0.011,0.022,0.0,0.7,0.456,121.716,2.933,2.622,2.222,1.889,1.033,0.744,0.1,0.022,0.289,0.033,0.0,0.022,0.044,0.011,0.011,0.0,0.022,0.022,0.0,0.022,0.0,0.0,0.0,0.011,2.778,1.967,1.289,1.289,2.211,2.1,0.267,0.267,0.156,0.022,0.122,1.222,0.944,0.111,0.878,0.233,0.0,0.167,0.022,0.0,0.0,0.011,0.0,0.0,0.0,0.1,0.056,19.363,0.689,0.6,0.344,0.244,0.133,0.089,0.011,0.0,0.022,0.0,0.0,0.011,0.022,0.0,0.0,0.0,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.511,0.333,0.178,0.178,0.489,0.433,0.033,0.033,0.022,0.011,0.011
Abraham González Casanova,531.0,414.0,120.0,324.0,87.0,9.0,171.0,38.0,10.0,5.0,27.0,8.0,4.0,2.0,105.0,65.0,10965.872,200.0,169.0,201.0,168.0,111.0,69.0,15,1,23,12,1,4.0,13.0,5.0,5.0,1,4.0,12.0,0.0,1.0,4.0,4.0,1.0,1.0,261.0,175.0,96.0,96.0,157.0,143.0,34.0,34.0,22.0,7.0,16,82.0,57.0,13.0,51.0,18.0,1.0,14.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,5.0,1266.5156,47.0,36.0,22.0,15.0,7.0,4.0,0,0,0,1,1,0.0,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,16.0,15.0,15.0,30.0,26.0,3.0,3.0,2.0,0.0,0,0.7796610169491526,0.6951219512195121,0.6704980842911877,0.4444444444444444,0.910828025477707,1.0,0.8666666666666667,0.2631578947368421,0.2962962962962963,0.0,0.845,0.835820895522388,0.6216216216216216,0.6190476190476191,0.5555555555555556,0.05747126436781609,0.0038314176245210726,20.651359831096986,2.0,5.9,4.6,1.333,3.6,0.967,0.1,1.9,0.422,0.111,0.056,0.3,0.089,0.044,0.022,1.167,0.722,121.843,2.222,1.878,2.233,1.867,1.233,0.767,0.167,0.011,0.256,0.133,0.011,0.044,0.144,0.056,0.056,0.011,0.044,0.133,0.0,0.011,0.044,0.044,0.011,0.011,2.9,1.944,1.067,1.067,1.744,1.589,0.378,0.378,0.244,0.078,0.178,0.911,0.633,0.144,0.567,0.2,0.011,0.156,0.022,0.0,0.0,0.022,0.011,0.0,0.0,0.1,0.056,14.072,0.522,0.4,0.244,0.167,0.078,0.044,0.0,0.0,0.0,0.011,0.011,0.0,0.011,0.011,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.4,0.178,0.167,0.167,0.333,0.289,0.033,0.033,0.022,0.0,0.0
Adalberto Peñaranda Maestre,381.0,276.0,174.0,195.0,12.0,15.0,177.0,39.0,11.0,8.0,23.0,5.0,3.0,1.0,145.0,81.0,5719.91,196.0,154.0,110.0,76.0,33.0,19.0,12,3,5,17,2,5.0,17.0,15.0,12.0,0,0.0,2.0,4.0,10.0,9.0,9.0,3.0,1.0,124.0,67.0,45.0,45.0,190.0,164.0,7.0,7.0,5.0,1.0,15,114.0,81.0,43.0,66.0,5.0,6.0,43.0,8.0,2.0,3.0,6.0,2.0,0.0,0.0,37.0,20.0,1465.2224,68.0,55.0,28.0,18.0,6.0,5.0,7,0,0,3,1,1.0,4.0,4.0,2.0,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,41.0,24.0,16.0,16.0,53.0,41.0,0.0,0.0,0.0,0.0,7,0.7244094488188977,0.7105263157894737,0.5403225806451613,0.5853658536585366,0.8631578947368421,1.0,0.7735849056603774,0.28205128205128205,0.21739130434782608,0.25,0.7857142857142857,0.6909090909090909,0.5757575757575758,0.5586206896551724,0.5405405405405406,0.0967741935483871,0.024193548387096774,15.012887549212598,3.0,4.233,3.067,1.933,2.167,0.133,0.167,1.967,0.433,0.122,0.089,0.256,0.056,0.033,0.011,1.611,0.9,63.555,2.178,1.711,1.222,0.844,0.367,0.211,0.133,0.033,0.056,0.189,0.022,0.056,0.189,0.167,0.133,0.0,0.0,0.022,0.044,0.111,0.1,0.1,0.033,0.011,1.378,0.744,0.5,0.5,2.111,1.822,0.078,0.078,0.056,0.011,0.167,1.267,0.9,0.478,0.733,0.056,0.067,0.478,0.089,0.022,0.033,0.067,0.022,0.0,0.0,0.411,0.222,16.28,0.756,0.611,0.311,0.2,0.067,0.056,0.078,0.0,0.0,0.033,0.011,0.011,0.044,0.044,0.022,0.0,0.0,0.0,0.011,0.022,0.0,0.0,0.022,0.011,0.456,0.267,0.178,0.178,0.589,0.456,0.0,0.0,0.0,0.0,0.078
Aderllan Leandro de Jesus Santos,657.0,545.0,4.0,323.0,330.0,2.0,50.0,8.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,3.0,15816.675,173.0,155.0,296.0,265.0,180.0,122.0,1,0,18,0,0,4.0,7.0,0.0,0.0,0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,304.0,163.0,163.0,79.0,78.0,73.0,73.0,23.0,5.0,1,67.0,39.0,1.0,32.0,34.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1502.7582,24.0,18.0,24.0,16.0,16.0,5.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,5.0,5.0,9.0,9.0,12.0,12.0,2.0,0.0,0,0.8295281582952816,0.582089552238806,0.7342995169082126,0.4716981132075472,0.9873417721518988,1.0,1.0,0.125,0.25,0.0,0.8959537572254336,0.8952702702702703,0.6777777777777778,0.75,0.0,0.0024154589371980675,0.0,24.074086460711566,0.0,7.3,6.056,0.044,3.589,3.667,0.022,0.556,0.089,0.011,0.0,0.044,0.011,0.011,0.0,0.044,0.033,175.741,1.922,1.722,3.289,2.944,2.0,1.356,0.011,0.0,0.2,0.0,0.0,0.044,0.078,0.0,0.0,0.0,0.044,0.078,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.378,1.811,1.811,0.878,0.867,0.811,0.811,0.256,0.056,0.011,0.744,0.433,0.011,0.356,0.378,0.011,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,16.697,0.267,0.2,0.267,0.178,0.178,0.056,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,0.278,0.056,0.056,0.1,0.1,0.133,0.133,0.022,0.0,0.0
Adil Rami,1099.0,861.0,42.0,461.0,596.0,13.0,203.0,36.0,6.0,6.0,19.0,2.0,1.0,0.0,37.0,18.0,29018.865,261.0,225.0,475.0,415.0,342.0,213.0,4,1,56,6,0,11.0,30.0,2.0,2.0,0,10.0,28.0,1.0,2.0,1.0,2.0,1.0,0.0,708.0,482.0,214.0,214.0,170.0,165.0,182.0,182.0,90.0,17.0,5,146.0,90.0,15.0,66.0,65.0,9.0,29.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,4.0,3067.2458,64.0,43.0,45.0,28.0,32.0,18.0,1,0,5,2,0,1.0,3.0,1.0,0.0,0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,108.0,59.0,11.0,11.0,25.0,20.0,19.0,19.0,9.0,1.0,1,0.7834394904458599,0.6164383561643836,0.6807909604519774,0.5462962962962963,0.9705882352941176,1.0,0.8,0.16666666666666666,0.10526315789473684,0.0,0.8620689655172413,0.8736842105263158,0.6228070175438597,0.4864864864864865,0.26666666666666666,0.005649717514124294,0.0014124293785310734,26.40479093209736,0.0,12.211,9.567,0.467,5.122,6.622,0.144,2.256,0.4,0.067,0.067,0.211,0.022,0.011,0.0,0.411,0.2,322.432,2.9,2.5,5.278,4.611,3.8,2.367,0.044,0.011,0.622,0.067,0.0,0.122,0.333,0.022,0.022,0.0,0.111,0.311,0.011,0.022,0.011,0.022,0.011,0.0,7.867,5.356,2.378,2.378,1.889,1.833,2.022,2.022,1.0,0.189,0.056,1.622,1.0,0.167,0.733,0.722,0.1,0.322,0.033,0.0,0.033,0.033,0.0,0.0,0.0,0.167,0.044,34.081,0.711,0.478,0.5,0.311,0.356,0.2,0.011,0.0,0.056,0.022,0.0,0.011,0.033,0.011,0.0,0.0,0.011,0.022,0.0,0.011,0.0,0.0,0.011,0.0,1.2,0.656,0.122,0.122,0.278,0.222,0.211,0.211,0.1,0.011,0.011
Adnane Tighadouini,146.0,88.0,69.0,69.0,8.0,8.0,77.0,28.0,10.0,11.0,20.0,5.0,3.0,0.0,63.0,29.0,2734.7505,74.0,54.0,34.0,20.0,30.0,13.0,5,0,10,9,0,1.0,5.0,4.0,6.0,0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,54.0,25.0,21.0,21.0,51.0,42.0,4.0,4.0,3.0,1.0,5,26.0,17.0,12.0,12.0,2.0,2.0,13.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,337.6129,20.0,15.0,2.0,1.0,2.0,1.0,1,0,0,2,0,0.0,1.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,4.0,4.0,12.0,9.0,0.0,0.0,0.0,0.0,1,0.6027397260273972,0.6538461538461539,0.46296296296296297,0.6666666666666666,0.8235294117647058,1.0,0.75,0.35714285714285715,0.25,0.5,0.7297297297297297,0.5882352941176471,0.43333333333333335,0.4603174603174603,0.5454545454545454,0.09259259259259259,0.0,18.731167727953768,0.0,1.622,0.978,0.767,0.767,0.089,0.089,0.856,0.311,0.111,0.122,0.222,0.056,0.033,0.0,0.7,0.322,30.386,0.822,0.6,0.378,0.222,0.333,0.144,0.056,0.0,0.111,0.1,0.0,0.011,0.056,0.044,0.067,0.0,0.011,0.011,0.0,0.022,0.022,0.033,0.011,0.022,0.6,0.278,0.233,0.233,0.567,0.467,0.044,0.044,0.033,0.011,0.056,0.289,0.189,0.133,0.133,0.022,0.022,0.144,0.044,0.022,0.0,0.0,0.0,0.011,0.0,0.122,0.067,3.751,0.222,0.167,0.022,0.011,0.022,0.011,0.011,0.0,0.0,0.022,0.0,0.0,0.011,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.011,0.067,0.044,0.044,0.044,0.133,0.1,0.0,0.0,0.0,0.0,0.011
Adriano Correia Claro,361.0,326.0,115.0,179.0,67.0,4.0,111.0,14.0,6.0,3.0,10.0,3.0,1.0,0.0,85.0,70.0,6802.1997,163.0,156.0,141.0,131.0,50.0,37.0,5,1,7,10,0,1.0,2.0,2.0,5.0,0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,153.0,126.0,47.0,47.0,155.0,153.0,12.0,12.0,4.0,0.0,6,29.0,26.0,11.0,10.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,565.8448,12.0,10.0,8.0,8.0,7.0,7.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,6.0,6.0,11.0,11.0,2.0,2.0,0.0,0.0,0,0.9030470914127424,0.896551724137931,0.8235294117647058,0.8181818181818182,0.9870967741935484,1.0,1.0,0.42857142857142855,0.3,0.0,0.9570552147239264,0.9290780141843972,0.74,0.8235294117647058,0.875,0.032679738562091505,0.006535947712418301,18.84265846823061,0.0,4.011,3.622,1.278,1.989,0.744,0.044,1.233,0.156,0.067,0.033,0.111,0.033,0.011,0.0,0.944,0.778,75.58,1.811,1.733,1.567,1.456,0.556,0.411,0.056,0.011,0.078,0.111,0.0,0.011,0.022,0.022,0.056,0.0,0.011,0.011,0.0,0.011,0.022,0.044,0.0,0.011,1.7,1.4,0.522,0.522,1.722,1.7,0.133,0.133,0.044,0.0,0.067,0.322,0.289,0.122,0.111,0.089,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.078,6.287,0.133,0.111,0.089,0.089,0.078,0.078,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.1,0.067,0.067,0.122,0.122,0.022,0.022,0.0,0.0,0.0
Adrián Embarba Blázquez,761.0,480.0,372.0,311.0,78.0,30.0,386.0,135.0,34.0,45.0,110.0,25.0,4.0,1.0,340.0,165.0,14169.072,344.0,275.0,207.0,135.0,146.0,47.0,24,4,36,93,7,7.0,14.0,47.0,46.0,6,6.0,7.0,1.0,6.0,27.0,26.0,8.0,7.0,292.0,146.0,99.0,99.0,269.0,235.0,47.0,47.0,17.0,3.0,28,124.0,72.0,47.0,62.0,15.0,9.0,50.0,7.0,0.0,6.0,10.0,1.0,1.0,0.0,41.0,15.0,1862.4767,63.0,41.0,34.0,19.0,11.0,6.0,4,0,3,7,0,1.0,2.0,8.0,2.0,0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,51.0,24.0,15.0,15.0,44.0,33.0,6.0,6.0,4.0,1.0,4,0.6307490144546649,0.5806451612903226,0.5,0.47058823529411764,0.8736059479553904,1.0,0.75,0.2518518518518518,0.22727272727272727,0.0,0.7994186046511628,0.6521739130434783,0.3219178082191781,0.4852941176470588,0.36585365853658536,0.0821917808219178,0.0136986301369863,18.619017431833115,4.0,8.456,5.333,4.133,3.456,0.867,0.333,4.289,1.5,0.378,0.5,1.222,0.278,0.044,0.011,3.778,1.833,157.434,3.822,3.056,2.3,1.5,1.622,0.522,0.267,0.044,0.4,1.033,0.078,0.078,0.156,0.522,0.511,0.067,0.067,0.078,0.011,0.067,0.3,0.289,0.089,0.078,3.244,1.622,1.1,1.1,2.989,2.611,0.522,0.522,0.189,0.033,0.311,1.378,0.8,0.522,0.689,0.167,0.1,0.556,0.078,0.0,0.067,0.111,0.011,0.011,0.0,0.456,0.167,20.694,0.7,0.456,0.378,0.211,0.122,0.067,0.044,0.0,0.033,0.078,0.0,0.011,0.022,0.089,0.022,0.0,0.0,0.011,0.011,0.011,0.044,0.011,0.022,0.011,0.567,0.267,0.167,0.167,0.489,0.367,0.067,0.067,0.044,0.011,0.044
