player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Abdelaziz Barrada,80.0,74.0,0,0,6,283.0,73.0,149.0,61.0,103.0,6.0,42.0,55.0,1.0,25.0,0,0,0,25.0,1,15.0,7.0,0.0,38.0,24.0,10.0,17.0,11.0,26.0,5.0,17.0,4.0,1,0,0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.925,0.2579505300353357,0.5265017667844523,0.21554770318021202,0.05825242718446602,0.4077669902912621,0.5339805825242718,0.631578947368421,0.2631578947368421,0.4473684210526316,0.2894736842105263,0.19230769230769232,0.6538461538461539,0.15384615384615385,0.889,0.822,0.0,0.0,0.067,3.144,0.811,1.656,0.678,1.144,0.067,0.467,0.611,0.011,0.278,0.0,0.0,0.0,0.278,0.011,0.167,0.078,0.0,0.422,0.267,0.111,0.189,0.122,0.289,0.056,0.189,0.044,0.011,0.0,0.0,0.056,0.0,0.022,0.0,0.0,0.0,0.0,0.056,0.022
Abdelhamid El Kaoutari,31.0,27.0,0,0,4,65.0,33.0,29.0,3.0,15.0,3.0,11.0,1.0,0.0,13.0,0,0,0,13.0,0,32.0,16.0,0.0,13.0,8.0,10.0,3.0,0.0,6.0,0.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709677419354839,0.5076923076923077,0.4461538461538462,0.046153846153846156,0.2,0.7333333333333333,0.06666666666666667,0.6153846153846154,0.7692307692307693,0.23076923076923078,0.0,0.0,0.5,0.5,0.344,0.3,0.0,0.0,0.044,0.722,0.367,0.322,0.033,0.167,0.033,0.122,0.011,0.0,0.144,0.0,0.0,0.0,0.144,0.0,0.356,0.178,0.0,0.144,0.089,0.111,0.033,0.0,0.067,0.0,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdou Kader Mangane,138.0,132.0,0,0,6,339.0,187.0,136.0,16.0,88.0,28.0,50.0,10.0,1.0,41.0,1,2,2,41.0,1,178.0,98.0,0.0,67.0,43.0,47.0,19.0,1.0,38.0,9.0,25.0,4.0,0,0,0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.9565217391304348,0.551622418879056,0.40117994100294985,0.0471976401179941,0.3181818181818182,0.5681818181818182,0.11363636363636363,0.6417910447761194,0.7014925373134329,0.2835820895522388,0.014925373134328358,0.23684210526315788,0.6578947368421053,0.10526315789473684,1.533,1.467,0.0,0.0,0.067,3.767,2.078,1.511,0.178,0.978,0.311,0.556,0.111,0.011,0.456,0.011,0.022,0.022,0.456,0.011,1.978,1.089,0.0,0.744,0.478,0.522,0.211,0.011,0.422,0.1,0.278,0.044,0.0,0.0,0.0,0.067,0.0,0.0,0.011,0.011,0.0,0.0,0.078,0.0
Abdoul Razzagui Camara,72.0,64.0,0,0,8,341.0,99.0,156.0,86.0,72.0,7.0,31.0,34.0,1.0,19.0,0,0,0,19.0,0,15.0,7.0,0.0,35.0,17.0,16.0,11.0,8.0,23.0,4.0,11.0,8.0,3,0,0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.8888888888888888,0.2903225806451613,0.4574780058651026,0.25219941348973607,0.09722222222222222,0.4305555555555556,0.4722222222222222,0.4857142857142857,0.45714285714285713,0.3142857142857143,0.22857142857142856,0.17391304347826086,0.4782608695652174,0.34782608695652173,0.8,0.711,0.0,0.0,0.089,3.789,1.1,1.733,0.956,0.8,0.078,0.344,0.378,0.011,0.211,0.0,0.0,0.0,0.211,0.0,0.167,0.078,0.0,0.389,0.189,0.178,0.122,0.089,0.256,0.044,0.122,0.089,0.033,0.0,0.0,0.022,0.0,0.0,0.022,0.022,0.0,0.0,0.044,0.0
Abdoulaye Diallo,28.0,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,54.0,49.0,0,0,5,303.0,64.0,180.0,59.0,77.0,7.0,40.0,30.0,0.0,20.0,0,1,1,20.0,0,6.0,3.0,0.0,24.0,15.0,6.0,16.0,2.0,9.0,1.0,4.0,4.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9074074074074074,0.21122112211221122,0.594059405940594,0.19471947194719472,0.09090909090909091,0.5194805194805194,0.38961038961038963,0.625,0.25,0.6666666666666666,0.08333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.6,0.544,0.0,0.0,0.056,3.367,0.711,2.0,0.656,0.856,0.078,0.444,0.333,0.0,0.222,0.0,0.011,0.011,0.222,0.0,0.067,0.033,0.0,0.267,0.167,0.067,0.178,0.022,0.1,0.011,0.044,0.044,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Abdoulaye Keita,4.0,4.0,0,0,0,11.0,4.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0,0,0,1.0,0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36363636363636365,0.6363636363636364,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.044,0.044,0.0,0.0,0.0,0.122,0.044,0.078,0.0,0.033,0.0,0.033,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.022,0.0,0.0,0.033,0.0,0.011,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Sadio Diallo,60.0,58.0,0,0,2,166.0,22.0,108.0,36.0,67.0,3.0,37.0,27.0,0.0,15.0,0,1,1,15.0,0,10.0,6.0,0.0,12.0,9.0,3.0,6.0,3.0,19.0,2.0,11.0,6.0,2,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9666666666666667,0.13253012048192772,0.6506024096385542,0.21686746987951808,0.04477611940298507,0.5522388059701493,0.40298507462686567,0.75,0.25,0.5,0.25,0.10526315789473684,0.5789473684210527,0.3157894736842105,0.667,0.644,0.0,0.0,0.022,1.844,0.244,1.2,0.4,0.744,0.033,0.411,0.3,0.0,0.167,0.0,0.011,0.011,0.167,0.0,0.111,0.067,0.0,0.133,0.1,0.033,0.067,0.033,0.211,0.022,0.122,0.067,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
Abdoulaye Touré,14.0,14.0,0,0,0,56.0,21.0,32.0,3.0,12.0,3.0,7.0,2.0,0.0,3.0,0,0,0,3.0,0,6.0,2.0,0.0,6.0,4.0,2.0,4.0,0.0,5.0,0.0,3.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.5714285714285714,0.05357142857142857,0.25,0.5833333333333334,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6,0.4,0.156,0.156,0.0,0.0,0.0,0.622,0.233,0.356,0.033,0.133,0.033,0.078,0.022,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.067,0.022,0.0,0.067,0.044,0.022,0.044,0.0,0.056,0.0,0.033,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Traoré,29.0,25.0,0,0,4,75.0,19.0,51.0,5.0,20.0,3.0,13.0,4.0,0.0,3.0,0,0,0,3.0,0,2.0,0.0,0.0,9.0,7.0,5.0,4.0,0.0,7.0,2.0,4.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8620689655172413,0.25333333333333335,0.68,0.06666666666666667,0.15,0.65,0.2,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.322,0.278,0.0,0.0,0.044,0.833,0.211,0.567,0.056,0.222,0.033,0.144,0.044,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.022,0.0,0.0,0.1,0.078,0.056,0.044,0.0,0.078,0.022,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Majeed Waris,59.0,54.0,0,0,5,237.0,12.0,105.0,120.0,92.0,2.0,33.0,57.0,0.0,9.0,3,0,0,9.0,0,2.0,1.0,0.0,13.0,9.0,4.0,7.0,2.0,19.0,0.0,8.0,11.0,1,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9152542372881356,0.05063291139240506,0.4430379746835443,0.5063291139240507,0.021739130434782608,0.358695652173913,0.6195652173913043,0.6923076923076923,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.0,0.42105263157894735,0.5789473684210527,0.656,0.6,0.0,0.0,0.056,2.633,0.133,1.167,1.333,1.022,0.022,0.367,0.633,0.0,0.1,0.033,0.0,0.0,0.1,0.0,0.022,0.011,0.0,0.144,0.1,0.044,0.078,0.022,0.211,0.0,0.089,0.122,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.0,0.0,0.011,0.011
Adam Ounas,94.0,88.0,0,0,6,261.0,52.0,129.0,80.0,95.0,6.0,40.0,49.0,0.0,29.0,0,2,2,29.0,0,5.0,3.0,0.0,33.0,15.0,10.0,17.0,6.0,24.0,4.0,12.0,8.0,1,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9361702127659575,0.19923371647509577,0.4942528735632184,0.3065134099616858,0.06315789473684211,0.42105263157894735,0.5157894736842106,0.45454545454545453,0.30303030303030304,0.5151515151515151,0.18181818181818182,0.16666666666666666,0.5,0.3333333333333333,1.044,0.978,0.0,0.0,0.067,2.9,0.578,1.433,0.889,1.056,0.067,0.444,0.544,0.0,0.322,0.0,0.022,0.022,0.322,0.0,0.056,0.033,0.0,0.367,0.167,0.111,0.189,0.067,0.267,0.044,0.133,0.089,0.011,0.0,0.0,0.044,0.0,0.0,0.011,0.011,0.0,0.0,0.056,0.0
Adama Ba,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Traoré,23.0,23.0,0,0,0,76.0,29.0,39.0,8.0,19.0,0.0,16.0,3.0,0.0,9.0,0,0,0,9.0,0,3.0,0.0,0.0,6.0,2.0,2.0,4.0,0.0,9.0,3.0,5.0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3815789473684211,0.5131578947368421,0.10526315789473684,0.0,0.8421052631578947,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.256,0.256,0.0,0.0,0.0,0.844,0.322,0.433,0.089,0.211,0.0,0.178,0.033,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.033,0.0,0.0,0.067,0.022,0.022,0.044,0.0,0.1,0.033,0.056,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Adrien Hunou,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,127.0,117.0,0,0,10,482.0,127.0,280.0,75.0,158.0,27.0,88.0,43.0,0.0,38.0,0,0,0,38.0,0,14.0,12.0,0.0,63.0,43.0,18.0,35.0,10.0,37.0,10.0,20.0,7.0,2,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9212598425196851,0.26348547717842324,0.5809128630705395,0.15560165975103735,0.17088607594936708,0.5569620253164557,0.2721518987341772,0.6825396825396826,0.2857142857142857,0.5555555555555556,0.15873015873015872,0.2702702702702703,0.5405405405405406,0.1891891891891892,1.411,1.3,0.0,0.0,0.111,5.356,1.411,3.111,0.833,1.756,0.3,0.978,0.478,0.0,0.422,0.0,0.0,0.0,0.422,0.0,0.156,0.133,0.0,0.7,0.478,0.2,0.389,0.111,0.411,0.111,0.222,0.078,0.022,0.0,0.0,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.044,0.0
Adrien Regattin,122.0,112.0,1,1,10,395.0,89.0,186.0,120.0,121.0,8.0,52.0,61.0,1.0,32.0,3,0,0,32.0,0,11.0,5.0,0.0,30.0,23.0,11.0,15.0,4.0,25.0,3.0,15.0,7.0,1,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9180327868852459,0.22531645569620254,0.4708860759493671,0.3037974683544304,0.06611570247933884,0.4297520661157025,0.5041322314049587,0.7666666666666667,0.36666666666666664,0.5,0.13333333333333333,0.12,0.6,0.28,1.356,1.244,0.011,0.011,0.111,4.389,0.989,2.067,1.333,1.344,0.089,0.578,0.678,0.011,0.356,0.033,0.0,0.0,0.356,0.0,0.122,0.056,0.0,0.333,0.256,0.122,0.167,0.044,0.278,0.033,0.167,0.078,0.011,0.0,0.0,0.044,0.0,0.0,0.011,0.011,0.0,0.0,0.056,0.0
Adrien Thomasson,230.0,212.0,1,1,18,836.0,246.0,404.0,186.0,244.0,14.0,118.0,112.0,1.0,79.0,2,1,1,79.0,0,23.0,13.0,0.0,72.0,37.0,35.0,29.0,8.0,50.0,10.0,29.0,11.0,0,0,0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.9217391304347826,0.2942583732057416,0.48325358851674644,0.22248803827751196,0.05737704918032787,0.48360655737704916,0.45901639344262296,0.5138888888888888,0.4861111111111111,0.4027777777777778,0.1111111111111111,0.2,0.58,0.22,2.556,2.356,0.011,0.011,0.2,9.289,2.733,4.489,2.067,2.711,0.156,1.311,1.244,0.011,0.878,0.022,0.011,0.011,0.878,0.0,0.256,0.144,0.0,0.8,0.411,0.389,0.322,0.089,0.556,0.111,0.322,0.122,0.0,0.0,0.0,0.056,0.0,0.0,0.022,0.022,0.0,0.0,0.078,0.0
Adryan Oliveira Tavares,90.0,83.0,0,0,7,298.0,79.0,128.0,91.0,101.0,6.0,33.0,62.0,0.0,20.0,0,0,0,20.0,0,5.0,3.0,0.0,42.0,23.0,16.0,14.0,12.0,15.0,5.0,5.0,5.0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.9222222222222223,0.2651006711409396,0.42953020134228187,0.3053691275167785,0.0594059405940594,0.32673267326732675,0.6138613861386139,0.5476190476190477,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.922,0.0,0.0,0.078,3.311,0.878,1.422,1.011,1.122,0.067,0.367,0.689,0.0,0.222,0.0,0.0,0.0,0.222,0.0,0.056,0.033,0.0,0.467,0.256,0.178,0.156,0.133,0.167,0.056,0.056,0.056,0.0,0.0,0.0,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.022,0.011
Alaeddine Yahia,93.0,88.0,0,0,5,235.0,114.0,112.0,9.0,65.0,16.0,46.0,3.0,2.0,48.0,0,3,3,48.0,0,178.0,101.0,0.0,36.0,16.0,17.0,17.0,2.0,34.0,9.0,18.0,7.0,0,0,0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.946236559139785,0.4851063829787234,0.4765957446808511,0.03829787234042553,0.24615384615384617,0.7076923076923077,0.046153846153846156,0.4444444444444444,0.4722222222222222,0.4722222222222222,0.05555555555555555,0.2647058823529412,0.5294117647058824,0.20588235294117646,1.033,0.978,0.0,0.0,0.056,2.611,1.267,1.244,0.1,0.722,0.178,0.511,0.033,0.022,0.533,0.0,0.033,0.033,0.533,0.0,1.978,1.122,0.0,0.4,0.178,0.189,0.189,0.022,0.378,0.1,0.2,0.078,0.0,0.0,0.0,0.044,0.0,0.011,0.011,0.011,0.0,0.0,0.056,0.011
Alassane Pléa,55.0,55.0,0,0,0,277.0,29.0,116.0,132.0,116.0,4.0,44.0,68.0,0.0,20.0,1,1,1,20.0,0,3.0,3.0,0.0,20.0,13.0,4.0,9.0,7.0,32.0,0.0,15.0,17.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.10469314079422383,0.4187725631768953,0.47653429602888087,0.034482758620689655,0.3793103448275862,0.5862068965517241,0.65,0.2,0.45,0.35,0.0,0.46875,0.53125,0.611,0.611,0.0,0.0,0.0,3.078,0.322,1.289,1.467,1.289,0.044,0.489,0.756,0.0,0.222,0.011,0.011,0.011,0.222,0.0,0.033,0.033,0.0,0.222,0.144,0.044,0.1,0.078,0.356,0.0,0.167,0.189,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Alassane Touré,63.0,58.0,0,0,5,230.0,102.0,102.0,26.0,62.0,12.0,33.0,17.0,3.0,21.0,0,0,0,21.0,0,18.0,12.0,0.0,39.0,21.0,21.0,14.0,4.0,26.0,7.0,18.0,1.0,0,2,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9206349206349206,0.4434782608695652,0.4434782608695652,0.11304347826086956,0.1935483870967742,0.532258064516129,0.27419354838709675,0.5384615384615384,0.5384615384615384,0.358974358974359,0.10256410256410256,0.2692307692307692,0.6923076923076923,0.038461538461538464,0.7,0.644,0.0,0.0,0.056,2.556,1.133,1.133,0.289,0.689,0.133,0.367,0.189,0.033,0.233,0.0,0.0,0.0,0.233,0.0,0.2,0.133,0.0,0.433,0.233,0.233,0.156,0.044,0.289,0.078,0.2,0.011,0.0,0.022,0.0,0.044,0.0,0.0,0.011,0.011,0.0,0.0,0.056,0.0
Alban Lafont,136.0,136.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511,1.511,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Rafetraniaina,1.0,1.0,0,0,0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.056,0.022,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Aldo Kalulu Kyatengwa,11.0,11.0,1,1,0,27.0,1.0,9.0,17.0,16.0,0.0,4.0,12.0,0.0,4.0,0,0,0,4.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.3333333333333333,0.6296296296296297,0.0,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.122,0.122,0.011,0.011,0.0,0.3,0.011,0.1,0.189,0.178,0.0,0.044,0.133,0.0,0.044,0.0,0.0,0.0,0.044,0.0,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
