player,passes_total,passes_completed,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_into_edge_of_the_box_completed,passes_cuts_last_line_of_defence,passes_cuts_last_line_of_defence_completed,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_total,passes_medium_completed,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_edge_of_the_box,passes_horizontal_into_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_high_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_horizontal_completed,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes,up_passes_total,up_passes_completed,up_passes_from_attacking_third,up_passes_from_middle_third,up_passes_from_defending_third,up_passes_from_the_box,up_passes_into_attacking_third,up_passes_into_box,up_passes_into_box_completed,up_passes_into_goal_area,up_passes_into_edge_of_the_box,up_passes_into_edge_of_the_box_completed,up_passes_cuts_last_line_of_defence,up_passes_cuts_last_line_of_defence_completed,up_passes_within_attacking_third,up_passes_within_attacking_third_completed,up_passes_total_distance,up_passes_short_total,up_passes_short_completed,up_passes_medium_total,up_passes_medium_completed,up_passes_long_total,up_passes_long_completed,up_passes_shot_assist,up_passes_goal_assist,up_passes_switch,up_passes_cross,up_passes_cut_back,up_passes_vertical_into_edge_of_the_box,up_passes_vertical_into_the_box,up_passes_horizontal_into_edge_of_the_box,up_passes_horizontal_into_the_box,up_passes_cut_back_into_edge_of_the_box,up_passes_high_vertical_into_edge_of_the_box,up_passes_high_vertical_into_the_box,up_passes_low_vertical_into_edge_of_the_box,up_passes_low_vertical_into_the_box,up_passes_high_horizontal_into_edge_of_the_box,up_passes_high_horizontal_into_the_box,up_passes_low_horizontal_into_edge_of_the_box,up_passes_low_horizontal_into_the_box,up_passes_progressive,up_passes_progressive_completed,up_passes_horizontal,up_passes_horizontal_completed,up_passes_backward,up_passes_backward_completed,up_passes_long_vertical,up_passes_long_vertical_from_defending_third,up_passes_long_vertical_from_mid_third,up_passes_long_vertical_from_mid_third_into_the_box,up_key_passes,pass_accuracy_%,up_pass_accuracy_%,pass_accuracy_progressive_%,up_pass_accuracy_progressive_%,pass_accuracy_backward_%,pass_horizontal_backward_%,up_pass_accuracy_backward_%,pass_accuracy_into_box_%,pass_accuracy_into_edge_of_the_box_%,up_pass_accuracy_into_box_%,pass_accuaracy_short_%,pass_accuaracy_medium_%,pass_accuaracy_long_%,pass_accuracy_within_attacking_third_%,up_pass_accuracy_within_attacking_third_%,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance_%,pass_accuracy_cuts_last_line_of_defence_%,passes_total_per_match,passes_completed_per_match,passes_from_attacking_third_per_match,passes_from_middle_third_per_match,passes_from_defending_third_per_match,passes_from_the_box_per_match,passes_into_attacking_third_per_match,passes_into_box_per_match,passes_into_box_completed_per_match,passes_into_goal_area_per_match,passes_into_edge_of_the_box_per_match,passes_into_edge_of_the_box_completed_per_match,passes_cuts_last_line_of_defence_per_match,passes_cuts_last_line_of_defence_completed_per_match,passes_within_attacking_third_per_match,passes_within_attacking_third_completed_per_match,passes_total_distance_per_match,passes_short_total_per_match,passes_short_completed_per_match,passes_medium_total_per_match,passes_medium_completed_per_match,passes_long_total_per_match,passes_long_completed_per_match,passes_shot_assist_per_match,passes_goal_assist_per_match,passes_switch_per_match,passes_cross_per_match,passes_cut_back_per_match,passes_vertical_into_edge_of_the_box_per_match,passes_vertical_into_the_box_per_match,passes_horizontal_into_edge_of_the_box_per_match,passes_horizontal_into_the_box_per_match,passes_cut_back_into_edge_of_the_box_per_match,passes_high_vertical_into_edge_of_the_box_per_match,passes_high_vertical_into_the_box_per_match,passes_low_vertical_into_edge_of_the_box_per_match,passes_low_vertical_into_the_box_per_match,passes_high_horizontal_into_edge_of_the_box_per_match,passes_high_horizontal_into_the_box_per_match,passes_low_horizontal_into_edge_of_the_box_per_match,passes_low_horizontal_into_the_box_per_match,passes_progressive_per_match,passes_progressive_completed_per_match,passes_horizontal_per_match,passes_horizontal_completed_per_match,passes_backward_per_match,passes_backward_completed_per_match,passes_long_vertical_per_match,passes_long_vertical_from_defending_third_per_match,passes_long_vertical_from_mid_third_per_match,passes_long_vertical_from_mid_third_into_the_box_per_match,key_passes_per_match,up_passes_total_per_match,up_passes_completed_per_match,up_passes_from_attacking_third_per_match,up_passes_from_middle_third_per_match,up_passes_from_defending_third_per_match,up_passes_from_the_box_per_match,up_passes_into_attacking_third_per_match,up_passes_into_box_per_match,up_passes_into_box_completed_per_match,up_passes_into_goal_area_per_match,up_passes_into_edge_of_the_box_per_match,up_passes_into_edge_of_the_box_completed_per_match,up_passes_cuts_last_line_of_defence_per_match,up_passes_cuts_last_line_of_defence_completed_per_match,up_passes_within_attacking_third_per_match,up_passes_within_attacking_third_completed_per_match,up_passes_total_distance_per_match,up_passes_short_total_per_match,up_passes_short_completed_per_match,up_passes_medium_total_per_match,up_passes_medium_completed_per_match,up_passes_long_total_per_match,up_passes_long_completed_per_match,up_passes_shot_assist_per_match,up_passes_goal_assist_per_match,up_passes_switch_per_match,up_passes_cross_per_match,up_passes_cut_back_per_match,up_passes_vertical_into_edge_of_the_box_per_match,up_passes_vertical_into_the_box_per_match,up_passes_horizontal_into_edge_of_the_box_per_match,up_passes_horizontal_into_the_box_per_match,up_passes_cut_back_into_edge_of_the_box_per_match,up_passes_high_vertical_into_edge_of_the_box_per_match,up_passes_high_vertical_into_the_box_per_match,up_passes_low_vertical_into_edge_of_the_box_per_match,up_passes_low_vertical_into_the_box_per_match,up_passes_high_horizontal_into_edge_of_the_box_per_match,up_passes_high_horizontal_into_the_box_per_match,up_passes_low_horizontal_into_edge_of_the_box_per_match,up_passes_low_horizontal_into_the_box_per_match,up_passes_progressive_per_match,up_passes_progressive_completed_per_match,up_passes_horizontal_per_match,up_passes_horizontal_completed_per_match,up_passes_backward_per_match,up_passes_backward_completed_per_match,up_passes_long_vertical_per_match,up_passes_long_vertical_from_defending_third_per_match,up_passes_long_vertical_from_mid_third_per_match,up_passes_long_vertical_from_mid_third_into_the_box_per_match,up_key_passes_per_match
Abdelaziz Barrada,1051.0,775.0,397.0,565.0,89.0,23.0,485.0,188.0,69.0,31.0,158.0,61.0,6.0,1.0,365.0,197.0,21407.283,395.0,319.0,361.0,299.0,241.0,129.0,56,6,49,73,5,23.0,41.0,34.0,34.0,2,18.0,22.0,4.0,16.0,25.0,27.0,6.0,3.0,508.0,352.0,164.0,164.0,289.0,259.0,57.0,57.0,41.0,9.0,62,157.0,110.0,49.0,91.0,17.0,9.0,53.0,7.0,5.0,2.0,10.0,7.0,0.0,0.0,39.0,23.0,2371.7854,84.0,57.0,51.0,42.0,12.0,8.0,4,1,2,5,3,2.0,4.0,1.0,0.0,2,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,68.0,45.0,15.0,15.0,64.0,50.0,4.0,4.0,0.0,0.0,5,0.7373929590865842,0.7006369426751592,0.6929133858267716,0.6617647058823529,0.8961937716262975,1.0,0.78125,0.3670212765957447,0.3860759493670886,0.7142857142857143,0.8075949367088607,0.8282548476454293,0.5352697095435685,0.5397260273972603,0.5897435897435898,0.11023622047244094,0.011811023622047244,20.368490202783065,6.0,11.678,8.611,4.411,6.278,0.989,0.256,5.389,2.089,0.767,0.344,1.756,0.678,0.067,0.011,4.056,2.189,237.859,4.389,3.544,4.011,3.322,2.678,1.433,0.622,0.067,0.544,0.811,0.056,0.256,0.456,0.378,0.378,0.022,0.2,0.244,0.044,0.178,0.278,0.3,0.067,0.033,5.644,3.911,1.822,1.822,3.211,2.878,0.633,0.633,0.456,0.1,0.689,1.744,1.222,0.544,1.011,0.189,0.1,0.589,0.078,0.056,0.022,0.111,0.078,0.0,0.0,0.433,0.256,26.353,0.933,0.633,0.567,0.467,0.133,0.089,0.044,0.011,0.022,0.056,0.033,0.022,0.044,0.011,0.0,0.022,0.0,0.011,0.022,0.033,0.0,0.0,0.011,0.0,0.756,0.5,0.167,0.167,0.711,0.556,0.044,0.044,0.0,0.0,0.056
Abdelhamid El Kaoutari,310.0,240.0,11.0,181.0,118.0,1.0,57.0,11.0,1.0,2.0,5.0,0.0,1.0,1.0,9.0,4.0,6824.0894,99.0,87.0,130.0,111.0,71.0,39.0,2,0,4,2,0,2.0,8.0,1.0,1.0,0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,202.0,135.0,41.0,41.0,64.0,64.0,47.0,47.0,35.0,8.0,2,31.0,17.0,3.0,16.0,12.0,1.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,667.993,11.0,8.0,6.0,5.0,9.0,3.0,1,0,1,0,0,1.0,2.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,1.0,1.0,6.0,6.0,7.0,7.0,4.0,2.0,1,0.7741935483870968,0.5483870967741935,0.6683168316831684,0.43478260869565216,1.0,1.0,1.0,0.09090909090909091,0.0,0.0,0.8787878787878788,0.8538461538461538,0.5492957746478874,0.4444444444444444,0.3333333333333333,0.009900990099009901,0.0,22.013191469254032,1.0,3.444,2.667,0.122,2.011,1.311,0.011,0.633,0.122,0.011,0.022,0.056,0.0,0.011,0.011,0.1,0.044,75.823,1.1,0.967,1.444,1.233,0.789,0.433,0.022,0.0,0.044,0.022,0.0,0.022,0.089,0.011,0.011,0.0,0.022,0.089,0.0,0.0,0.011,0.011,0.0,0.0,2.244,1.5,0.456,0.456,0.711,0.711,0.522,0.522,0.389,0.089,0.022,0.344,0.189,0.033,0.178,0.133,0.011,0.089,0.033,0.0,0.0,0.022,0.0,0.0,0.0,0.033,0.011,7.422,0.122,0.089,0.067,0.056,0.1,0.033,0.011,0.0,0.011,0.0,0.0,0.011,0.022,0.0,0.0,0.0,0.011,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.111,0.011,0.011,0.067,0.067,0.078,0.078,0.044,0.022,0.011
Abdou Kader Mangane,1006.0,753.0,46.0,534.0,426.0,10.0,213.0,31.0,4.0,5.0,19.0,1.0,4.0,2.0,42.0,20.0,26343.55,210.0,174.0,457.0,389.0,319.0,184.0,7,1,25,4,0,15.0,27.0,1.0,0.0,0,12.0,22.0,1.0,2.0,1.0,0.0,0.0,0.0,702.0,463.0,158.0,158.0,138.0,132.0,206.0,206.0,111.0,17.0,8,142.0,94.0,12.0,73.0,57.0,5.0,34.0,5.0,0.0,2.0,6.0,0.0,1.0,0.0,12.0,4.0,3263.67,42.0,30.0,63.0,47.0,34.0,17.0,3,0,1,1,0,5.0,5.0,1.0,0.0,0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,57.0,14.0,14.0,25.0,23.0,28.0,28.0,19.0,4.0,3,0.7485089463220675,0.6619718309859155,0.6595441595441596,0.5643564356435643,0.9565217391304348,1.0,0.92,0.12903225806451613,0.05263157894736842,0.0,0.8285714285714286,0.8512035010940919,0.5768025078369906,0.47619047619047616,0.3333333333333333,0.009971509971509971,0.0014245014245014246,26.186432188121273,2.0,11.178,8.367,0.511,5.933,4.733,0.111,2.367,0.344,0.044,0.056,0.211,0.011,0.044,0.022,0.467,0.222,292.706,2.333,1.933,5.078,4.322,3.544,2.044,0.078,0.011,0.278,0.044,0.0,0.167,0.3,0.011,0.0,0.0,0.133,0.244,0.011,0.022,0.011,0.0,0.0,0.0,7.8,5.144,1.756,1.756,1.533,1.467,2.289,2.289,1.233,0.189,0.089,1.578,1.044,0.133,0.811,0.633,0.056,0.378,0.056,0.0,0.022,0.067,0.0,0.011,0.0,0.133,0.044,36.263,0.467,0.333,0.7,0.522,0.378,0.189,0.033,0.0,0.011,0.011,0.0,0.056,0.056,0.011,0.0,0.0,0.044,0.044,0.0,0.0,0.011,0.0,0.0,0.0,1.122,0.633,0.156,0.156,0.278,0.256,0.311,0.311,0.211,0.044,0.033
Abdoul Razzagui Camara,467.0,330.0,188.0,225.0,54.0,11.0,201.0,45.0,13.0,9.0,42.0,12.0,1.0,0.0,170.0,99.0,7343.407,233.0,189.0,152.0,109.0,45.0,20.0,16,0,13,42,5,3.0,7.0,20.0,18.0,4,2.0,4.0,1.0,3.0,10.0,11.0,6.0,4.0,182.0,100.0,69.0,69.0,177.0,161.0,9.0,9.0,5.0,2.0,16,117.0,81.0,48.0,55.0,14.0,1.0,47.0,7.0,4.0,1.0,5.0,2.0,0.0,0.0,44.0,31.0,1613.9087,67.0,52.0,31.0,21.0,8.0,5.0,4,0,2,5,1,1.0,2.0,2.0,2.0,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,41.0,20.0,14.0,14.0,52.0,47.0,2.0,2.0,0.0,0.0,4,0.7066381156316917,0.6923076923076923,0.5494505494505495,0.4878048780487805,0.9096045197740112,1.0,0.9038461538461539,0.28888888888888886,0.2857142857142857,0.5714285714285714,0.8111587982832618,0.7171052631578947,0.4444444444444444,0.5823529411764706,0.7045454545454546,0.08791208791208792,0.0,15.724640742103855,0.0,5.189,3.667,2.089,2.5,0.6,0.122,2.233,0.5,0.144,0.1,0.467,0.133,0.011,0.0,1.889,1.1,81.593,2.589,2.1,1.689,1.211,0.5,0.222,0.178,0.0,0.144,0.467,0.056,0.033,0.078,0.222,0.2,0.044,0.022,0.044,0.011,0.033,0.111,0.122,0.067,0.044,2.022,1.111,0.767,0.767,1.967,1.789,0.1,0.1,0.056,0.022,0.178,1.3,0.9,0.533,0.611,0.156,0.011,0.522,0.078,0.044,0.011,0.056,0.022,0.0,0.0,0.489,0.344,17.932,0.744,0.578,0.344,0.233,0.089,0.056,0.044,0.0,0.022,0.056,0.011,0.011,0.022,0.022,0.022,0.011,0.011,0.011,0.0,0.011,0.011,0.022,0.011,0.0,0.456,0.222,0.156,0.156,0.578,0.522,0.022,0.022,0.0,0.0,0.044
Abdoulaye Diallo,169.0,128.0,0.0,0.0,169.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7018.962,10.0,10.0,53.0,53.0,106.0,65.0,0,0,4,0,0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,118.0,10.0,10.0,0.0,0.0,86.0,86.0,0.0,0.0,0,8.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.06476,0.0,0.0,1.0,1.0,7.0,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0,0.757396449704142,0.5,0.7421383647798742,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6132075471698113,0.0,0.0,0.0,0.0,41.5323190181213,0.0,1.878,1.422,0.0,0.0,1.878,0.0,0.089,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.988,0.111,0.111,0.589,0.589,1.178,0.722,0.0,0.0,0.044,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.767,1.311,0.111,0.111,0.0,0.0,0.956,0.956,0.0,0.0,0.0,0.089,0.044,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.945,0.0,0.0,0.011,0.011,0.078,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.044,0.0,0.0,0.0,0.0,0.078,0.078,0.0,0.0,0.0
Abdoulaye Doucouré,577.0,495.0,173.0,335.0,69.0,14.0,191.0,21.0,8.0,1.0,11.0,2.0,2.0,1.0,140.0,105.0,9990.888,253.0,220.0,240.0,211.0,62.0,51.0,18,2,9,6,0,3.0,11.0,5.0,3.0,0,1.0,3.0,2.0,8.0,1.0,1.0,2.0,0.0,208.0,151.0,137.0,137.0,221.0,207.0,20.0,20.0,12.0,3.0,20,133.0,109.0,56.0,65.0,12.0,3.0,50.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,42.0,28.0,2109.9553,66.0,55.0,48.0,39.0,12.0,11.0,1,1,2,1,0,1.0,3.0,1.0,1.0,0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,47.0,33.0,26.0,26.0,57.0,50.0,4.0,4.0,2.0,0.0,2,0.8578856152512998,0.8195488721804511,0.7259615384615384,0.7021276595744681,0.9366515837104072,1.0,0.8771929824561403,0.38095238095238093,0.18181818181818182,0.16666666666666666,0.8695652173913043,0.8791666666666667,0.8225806451612904,0.75,0.6666666666666666,0.08653846153846154,0.009615384615384616,17.315229974545062,2.0,6.411,5.5,1.922,3.722,0.767,0.156,2.122,0.233,0.089,0.011,0.122,0.022,0.022,0.011,1.556,1.167,111.01,2.811,2.444,2.667,2.344,0.689,0.567,0.2,0.022,0.1,0.067,0.0,0.033,0.122,0.056,0.033,0.0,0.011,0.033,0.022,0.089,0.011,0.011,0.022,0.0,2.311,1.678,1.522,1.522,2.456,2.3,0.222,0.222,0.133,0.033,0.222,1.478,1.211,0.622,0.722,0.133,0.033,0.556,0.067,0.011,0.0,0.044,0.0,0.0,0.0,0.467,0.311,23.444,0.733,0.611,0.533,0.433,0.133,0.122,0.011,0.011,0.022,0.011,0.0,0.011,0.033,0.011,0.011,0.0,0.0,0.0,0.011,0.033,0.011,0.011,0.0,0.0,0.522,0.367,0.289,0.289,0.633,0.556,0.044,0.044,0.022,0.0,0.022
Abdoulaye Keita,23.0,14.0,4.0,13.0,6.0,0.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,494.2246,10.0,9.0,8.0,2.0,5.0,3.0,0,0,0,2,0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,4.0,5.0,5.0,6.0,5.0,3.0,3.0,1.0,0.0,0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.65875,2.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6086956521739131,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,0.0,0.5,0.5,0.0,0.9,0.25,0.6,0.6666666666666666,0.0,0.0,0.0,21.48802649456522,0.0,0.256,0.156,0.044,0.144,0.067,0.0,0.078,0.022,0.011,0.011,0.022,0.011,0.011,0.0,0.033,0.022,5.491,0.111,0.1,0.089,0.022,0.056,0.033,0.0,0.0,0.0,0.022,0.0,0.011,0.011,0.011,0.011,0.0,0.011,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.133,0.044,0.056,0.056,0.067,0.056,0.033,0.033,0.011,0.0,0.0,0.044,0.022,0.0,0.044,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.741,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.011,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Sadio Diallo,380.0,290.0,116.0,236.0,28.0,6.0,155.0,46.0,16.0,7.0,33.0,10.0,3.0,0.0,94.0,65.0,7749.854,158.0,141.0,125.0,99.0,82.0,41.0,18,2,17,9,0,14.0,23.0,3.0,2.0,0,14.0,20.0,0.0,1.0,3.0,2.0,0.0,0.0,167.0,103.0,56.0,56.0,140.0,131.0,30.0,30.0,23.0,14.0,20,103.0,78.0,29.0,64.0,10.0,2.0,38.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,23.0,15.0,1639.5142,51.0,43.0,34.0,27.0,10.0,5.0,3,0,2,0,0,1.0,4.0,0.0,0.0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,28.0,14.0,14.0,41.0,36.0,5.0,5.0,4.0,2.0,3,0.7631578947368421,0.7572815533980582,0.6167664670658682,0.5957446808510638,0.9357142857142857,1.0,0.8780487804878049,0.34782608695652173,0.30303030303030304,0.5,0.8924050632911392,0.792,0.5,0.6914893617021277,0.6521739130434783,0.10778443113772455,0.011976047904191617,20.394352641858553,0.0,4.222,3.222,1.289,2.622,0.311,0.067,1.722,0.511,0.178,0.078,0.367,0.111,0.033,0.0,1.044,0.722,86.109,1.756,1.567,1.389,1.1,0.911,0.456,0.2,0.022,0.189,0.1,0.0,0.156,0.256,0.033,0.022,0.0,0.156,0.222,0.0,0.011,0.033,0.022,0.0,0.0,1.856,1.144,0.622,0.622,1.556,1.456,0.333,0.333,0.256,0.156,0.222,1.144,0.867,0.322,0.711,0.111,0.022,0.422,0.044,0.022,0.011,0.011,0.0,0.0,0.0,0.256,0.167,18.217,0.567,0.478,0.378,0.3,0.111,0.056,0.033,0.0,0.022,0.0,0.0,0.011,0.044,0.0,0.0,0.0,0.011,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.311,0.156,0.156,0.456,0.4,0.056,0.056,0.044,0.022,0.033
Abdoulaye Touré,93.0,75.0,16.0,63.0,14.0,0.0,27.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,15.0,11.0,1907.2844,32.0,27.0,44.0,38.0,14.0,10.0,1,0,6,2,0,2.0,2.0,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,38.0,18.0,18.0,21.0,19.0,4.0,4.0,3.0,0.0,1,26.0,22.0,6.0,16.0,4.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,487.53265,14.0,12.0,9.0,8.0,3.0,2.0,1,0,2,0,0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,5.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,1,0.8064516129032258,0.8461538461538461,0.7169811320754716,0.7142857142857143,0.9047619047619048,1.0,1.0,0.0,0.0,0.0,0.84375,0.8636363636363636,0.7142857142857143,0.7333333333333333,0.8333333333333334,0.018867924528301886,0.0,20.508434664818548,0.0,1.033,0.833,0.178,0.7,0.156,0.0,0.3,0.022,0.0,0.011,0.022,0.0,0.011,0.0,0.167,0.122,21.192,0.356,0.3,0.489,0.422,0.156,0.111,0.011,0.0,0.067,0.022,0.0,0.022,0.022,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.589,0.422,0.2,0.2,0.233,0.211,0.044,0.044,0.033,0.0,0.011,0.289,0.244,0.067,0.178,0.044,0.0,0.089,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.067,0.056,5.417,0.156,0.133,0.1,0.089,0.033,0.022,0.011,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.111,0.056,0.056,0.078,0.078,0.0,0.0,0.0,0.0,0.011
Abdoulaye Traoré,242.0,206.0,22.0,181.0,39.0,0.0,37.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,15.0,4472.359,102.0,90.0,91.0,80.0,38.0,32.0,1,0,6,1,0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,79.0,52.0,52.0,76.0,75.0,8.0,8.0,5.0,0.0,1,46.0,37.0,6.0,33.0,7.0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,752.10486,22.0,18.0,14.0,13.0,5.0,4.0,0,0,1,1,0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,5.0,5.0,14.0,13.0,1.0,1.0,1.0,0.0,0,0.8512396694214877,0.8043478260869565,0.7117117117117117,0.7037037037037037,0.9868421052631579,1.0,0.9285714285714286,0.5,1.0,1.0,0.8823529411764706,0.8791208791208791,0.8421052631578947,0.8333333333333334,1.0,0.009009009009009009,0.0,18.480821845945247,0.0,2.689,2.289,0.244,2.011,0.433,0.0,0.411,0.022,0.011,0.0,0.011,0.011,0.0,0.0,0.2,0.167,49.693,1.133,1.0,1.011,0.889,0.422,0.356,0.011,0.0,0.067,0.011,0.0,0.011,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.233,0.878,0.578,0.578,0.844,0.833,0.089,0.089,0.056,0.0,0.011,0.511,0.411,0.067,0.367,0.078,0.0,0.089,0.011,0.011,0.0,0.011,0.011,0.0,0.0,0.056,0.056,8.357,0.244,0.2,0.156,0.144,0.056,0.044,0.0,0.0,0.011,0.011,0.0,0.011,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.211,0.056,0.056,0.156,0.144,0.011,0.011,0.011,0.0,0.0
