player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
Abdelaziz Barrada,3159.0,20.0,340.0,1749.0,1070.0,119.0,30.0,20.0,10.0,0,1,0,803.0,38.0,5.0,0.0,4795.195632893352,477.0,3630.05908484369,21.0,0,24.0,0.0,0.0,11.0,13.0,1.0,975.0,833.0,0.0,0.0,713.0,8.0,86.0,377.0,250.0,39.0,30.0,20.0,10.0,0,1,0,274.0,15.0,3.0,0.0,1778.872519087382,156.0,1185.0521887444947,9.0,0,24.0,0.0,0.0,11.0,13.0,1.0,87.0,86.0,0.0,0.0,0.006331117442228553,0.1076289965178854,0.553656220322887,0.3387147831592276,0.03767014878125989,0.8543589743589743,0.6666666666666666,5.971601037227089,0.047322540473225407,0.0062266500622665,0.0,7.610186760678595,0.029887920298879204,35.1,0.222,3.778,19.433,11.889,1.322,0.333,0.222,0.111,0.0,0.011,0.0,8.922,0.422,0.056,0.0,53.28,5.3,40.334,0.233,0.0,0.267,0.0,0.0,0.122,0.144,0.011,10.833,9.256,0.0,0.0,7.922,0.089,0.956,4.189,2.778,0.433,0.333,0.222,0.111,0.0,0.011,0.0,3.044,0.167,0.033,0.0,19.765,1.733,13.167,0.1,0.0,0.267,0.0,0.0,0.122,0.144,0.011,0.967,0.956,0.0,0.0,0.085
Abdelhamid El Kaoutari,885.0,45.0,366.0,469.0,50.0,16.0,4.0,2.0,2.0,1,0,0,221.0,3.0,0.0,0.0,1425.8912919560169,132.0,1076.9178800018335,5.0,1,2.0,0.0,0.0,1.0,1.0,0.0,225.0,215.0,0.0,0.0,161.0,25.0,84.0,62.0,15.0,5.0,4.0,2.0,2.0,1,0,0,47.0,2.0,0.0,0.0,457.68442274053325,26.0,302.47730211138685,1.0,1,2.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.05084745762711865,0.4135593220338983,0.5299435028248588,0.05649717514124294,0.01807909604519774,0.9555555555555556,0.5,6.451996796181072,0.013574660633484163,0.0,0.0,8.158468787892678,0.00904977375565611,9.833,0.5,4.067,5.211,0.556,0.178,0.044,0.022,0.022,0.011,0.0,0.0,2.456,0.033,0.0,0.0,15.843,1.467,11.966,0.056,0.011,0.022,0.0,0.0,0.011,0.011,0.0,2.5,2.389,0.0,0.0,1.789,0.278,0.933,0.689,0.167,0.056,0.044,0.022,0.022,0.011,0.0,0.0,0.522,0.022,0.0,0.0,5.085,0.289,3.361,0.011,0.011,0.022,0.0,0.0,0.011,0.011,0.0,0.044,0.044,0.0,0.0,0.091
Abdou Kader Mangane,3024.0,209.0,1481.0,1355.0,188.0,84.0,10.0,7.0,3.0,1,1,0,724.0,7.0,0.0,0.0,5186.096637216642,432.0,3983.180687775841,15.0,0,11.0,1.0,3.0,6.0,2.0,0.0,711.0,659.0,2.0,0.0,688.0,139.0,414.0,227.0,47.0,25.0,10.0,7.0,3.0,1,1,0,167.0,4.0,0.0,0.0,1707.3625670120932,102.0,1295.405337624924,2.0,0,11.0,1.0,3.0,6.0,2.0,0.0,21.0,21.0,0.0,0.0,0.06911375661375661,0.48974867724867727,0.4480820105820106,0.062169312169312166,0.027777777777777776,0.9268635724331927,0.7,7.1631169022329315,0.009668508287292817,0.0,0.0,9.22032566614778,0.015193370165745856,33.6,2.322,16.456,15.056,2.089,0.933,0.111,0.078,0.033,0.011,0.011,0.0,8.044,0.078,0.0,0.0,57.623,4.8,44.258,0.167,0.0,0.122,0.011,0.033,0.067,0.022,0.0,7.9,7.322,0.022,0.0,7.644,1.544,4.6,2.522,0.522,0.278,0.111,0.078,0.033,0.011,0.011,0.0,1.856,0.044,0.0,0.0,18.971,1.133,14.393,0.022,0.0,0.122,0.011,0.033,0.067,0.022,0.0,0.233,0.233,0.0,0.0,0.102
Abdoul Razzagui Camara,2189.0,12.0,276.0,1027.0,886.0,78.0,56.0,29.0,27.0,2,2,0,550.0,41.0,12.0,2.0,4341.752613107989,348.0,3744.807786854495,55.0,2,46.0,1.0,6.0,18.0,22.0,1.0,771.0,524.0,0.0,0.0,749.0,9.0,115.0,347.0,287.0,18.0,56.0,29.0,27.0,2,2,0,299.0,28.0,8.0,2.0,2684.789378969173,191.0,2303.484401973891,15.0,2,46.0,1.0,6.0,18.0,22.0,1.0,84.0,79.0,0.0,0.0,0.00548195523069895,0.12608497030607582,0.46916400182731843,0.4047510278666058,0.03563270899954317,0.6796368352788587,0.5178571428571429,7.894095660196345,0.07454545454545454,0.02181818181818182,0.0036363636363636364,10.76094191624855,0.08363636363636363,24.322,0.133,3.067,11.411,9.844,0.867,0.622,0.322,0.3,0.022,0.022,0.0,6.111,0.456,0.133,0.022,48.242,3.867,41.609,0.611,0.022,0.511,0.011,0.067,0.2,0.244,0.011,8.567,5.822,0.0,0.0,8.322,0.1,1.278,3.856,3.189,0.2,0.622,0.322,0.3,0.022,0.022,0.0,3.322,0.311,0.089,0.022,29.831,2.122,25.594,0.167,0.022,0.511,0.011,0.067,0.2,0.244,0.011,0.933,0.878,0.0,0.0,0.12
Abdoulaye Diallo,313.0,277.0,313.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,66.0,0.0,0.0,0.0,295.7421461250744,48.0,281.00464217027354,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,0.0,22.0,18.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,10.0,0.0,0.0,0.0,40.148318652749516,9.0,37.89221581821382,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.8849840255591054,1.0,0.0,0.0,0.0,1.0,1.0,4.480941607955672,0.0,0.0,0.0,5.8542633785473654,0.0,3.478,3.078,3.478,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.733,0.0,0.0,0.0,3.286,0.533,3.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.544,0.0,0.0,0.244,0.2,0.244,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.446,0.1,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.0,0.0,0.065
Abdoulaye Doucouré,1998.0,9.0,246.0,1117.0,635.0,80.0,21.0,12.0,9.0,1,2,0,516.0,23.0,8.0,1.0,2895.774884081803,290.0,2223.0308060345046,21.0,1,28.0,0.0,3.0,15.0,10.0,2.0,676.0,558.0,0.0,0.0,553.0,6.0,67.0,285.0,201.0,25.0,21.0,12.0,9.0,1,2,0,215.0,11.0,2.0,1.0,1308.032575450791,120.0,909.4226957694583,7.0,1,28.0,0.0,3.0,15.0,10.0,2.0,72.0,71.0,0.0,0.0,0.0045045045045045045,0.12312312312312312,0.5590590590590591,0.3178178178178178,0.04004004004004004,0.8254437869822485,0.5714285714285714,5.6119668296158975,0.044573643410852716,0.015503875968992248,0.001937984496124031,7.665623469084498,0.05426356589147287,22.2,0.1,2.733,12.411,7.056,0.889,0.233,0.133,0.1,0.011,0.022,0.0,5.733,0.256,0.089,0.011,32.175,3.222,24.7,0.233,0.011,0.311,0.0,0.033,0.167,0.111,0.022,7.511,6.2,0.0,0.0,6.144,0.067,0.744,3.167,2.233,0.278,0.233,0.133,0.1,0.011,0.022,0.0,2.389,0.122,0.022,0.011,14.534,1.333,10.105,0.078,0.011,0.311,0.0,0.033,0.167,0.111,0.022,0.8,0.789,0.0,0.0,0.085
Abdoulaye Keita,75.0,2.0,27.0,36.0,12.0,2.0,3.0,1.0,2.0,0,0,0,18.0,3.0,0.0,0.0,130.84736656377478,11.0,109.7847488741933,0.0,0,2.0,0.0,0.0,1.0,1.0,0.0,17.0,16.0,0.0,0.0,25.0,2.0,9.0,13.0,3.0,1.0,3.0,1.0,2.0,0,0,0,7.0,1.0,0.0,0.0,66.13406145717298,4.0,46.594598388764275,0.0,0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.02666666666666667,0.36,0.48,0.16,0.02666666666666667,0.9411764705882353,0.3333333333333333,7.269298142431932,0.16666666666666666,0.0,0.0,9.980431715835755,0.1111111111111111,0.833,0.022,0.3,0.4,0.133,0.022,0.033,0.011,0.022,0.0,0.0,0.0,0.2,0.033,0.0,0.0,1.454,0.122,1.22,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.189,0.178,0.0,0.0,0.278,0.022,0.1,0.144,0.033,0.011,0.033,0.011,0.022,0.0,0.0,0.0,0.078,0.011,0.0,0.0,0.735,0.044,0.518,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.033,0.033,0.0,0.0,0.111
Abdoulaye Sadio Diallo,1433.0,11.0,132.0,871.0,430.0,36.0,30.0,15.0,15.0,2,1,0,335.0,16.0,2.0,0.0,1925.9168792750802,188.0,1375.0735454406145,23.0,0,17.0,0.0,0.0,9.0,8.0,1.0,465.0,342.0,0.0,0.0,510.0,9.0,70.0,300.0,140.0,15.0,30.0,15.0,15.0,2,1,0,190.0,7.0,1.0,0.0,1126.496601816668,100.0,717.8439567753934,8.0,0,17.0,0.0,0.0,9.0,8.0,1.0,61.0,61.0,0.0,0.0,0.007676203768318213,0.09211444521981857,0.6078157711095603,0.3000697836706211,0.02512212142358688,0.7354838709677419,0.5,5.749005609776359,0.04776119402985075,0.005970149253731343,0.0,7.314220986386247,0.050746268656716415,15.922,0.122,1.467,9.678,4.778,0.4,0.333,0.167,0.167,0.022,0.011,0.0,3.722,0.178,0.022,0.0,21.399,2.089,15.279,0.256,0.0,0.189,0.0,0.0,0.1,0.089,0.011,5.167,3.8,0.0,0.0,5.667,0.1,0.778,3.333,1.556,0.167,0.333,0.167,0.167,0.022,0.011,0.0,2.111,0.078,0.011,0.0,12.517,1.111,7.976,0.089,0.0,0.189,0.0,0.0,0.1,0.089,0.011,0.678,0.678,0.0,0.0,0.081
Abdoulaye Touré,295.0,4.0,56.0,189.0,50.0,1.0,8.0,6.0,2.0,1,0,0,76.0,7.0,0.0,0.0,485.0846820581529,51.0,370.29946531866545,4.0,0,1.0,0.0,0.0,1.0,0.0,0.0,74.0,64.0,0.0,0.0,103.0,4.0,16.0,62.0,25.0,0.0,8.0,6.0,2.0,1,0,0,39.0,5.0,0.0,0.0,306.19673051175647,26.0,213.25306741952787,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,7.0,0.0,0.0,0.013559322033898305,0.18983050847457628,0.6406779661016949,0.1694915254237288,0.003389830508474576,0.8648648648648649,0.75,6.382693184975696,0.09210526315789473,0.0,0.0,7.260773829777754,0.013157894736842105,3.278,0.044,0.622,2.1,0.556,0.011,0.089,0.067,0.022,0.011,0.0,0.0,0.844,0.078,0.0,0.0,5.39,0.567,4.114,0.044,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.822,0.711,0.0,0.0,1.144,0.044,0.178,0.689,0.278,0.0,0.089,0.067,0.022,0.011,0.0,0.0,0.433,0.056,0.0,0.0,3.402,0.289,2.369,0.011,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.089,0.078,0.0,0.0,0.081
Abdoulaye Traoré,720.0,3.0,127.0,542.0,51.0,0.0,2.0,2.0,0.0,0,1,0,205.0,9.0,0.0,0.0,860.3192537387063,108.0,659.2419397315352,4.0,0,4.0,0.0,1.0,3.0,0.0,0.0,204.0,188.0,0.0,0.0,157.0,3.0,34.0,110.0,13.0,0.0,2.0,2.0,0.0,0,1,0,65.0,5.0,0.0,0.0,370.8367826727073,38.0,273.57780282703686,2.0,0,4.0,0.0,1.0,3.0,0.0,0.0,13.0,12.0,0.0,0.0,0.004166666666666667,0.1763888888888889,0.7527777777777778,0.07083333333333333,0.0,0.9215686274509803,1.0,4.196679286530275,0.04390243902439024,0.0,0.0,6.104092034551252,0.01951219512195122,8.0,0.033,1.411,6.022,0.567,0.0,0.022,0.022,0.0,0.0,0.011,0.0,2.278,0.1,0.0,0.0,9.559,1.2,7.325,0.044,0.0,0.044,0.0,0.011,0.033,0.0,0.0,2.267,2.089,0.0,0.0,1.744,0.033,0.378,1.222,0.144,0.0,0.022,0.022,0.0,0.0,0.011,0.0,0.722,0.056,0.0,0.0,4.12,0.422,3.04,0.022,0.0,0.044,0.0,0.011,0.033,0.0,0.0,0.144,0.133,0.0,0.0,0.068
