player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Aaron Cresswell,169.0,156.0,2,2,13,337.0,129.0,157.0,51.0,117.0,17.0,63.0,37.0,9.0,77.0,1,1,1,77.0,1,107.0,48.0,0.0,44.0,24.0,17.0,25.0,2.0,26.0,9.0,12.0,5.0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9230769230769231,0.3827893175074184,0.4658753709198813,0.1513353115727003,0.1452991452991453,0.5384615384615384,0.3162393162393162,0.5454545454545454,0.38636363636363635,0.5681818181818182,0.045454545454545456,0.34615384615384615,0.46153846153846156,0.19230769230769232,1.878,1.733,0.022,0.022,0.144,3.744,1.433,1.744,0.567,1.3,0.189,0.7,0.411,0.1,0.856,0.011,0.011,0.011,0.856,0.011,1.189,0.533,0.0,0.489,0.267,0.189,0.278,0.022,0.289,0.1,0.133,0.056,0.022,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Aaron Lennon,63.0,61.0,1,1,2,327.0,92.0,160.0,75.0,103.0,3.0,44.0,56.0,0.0,32.0,0,0,0,32.0,0,12.0,5.0,0.0,30.0,14.0,17.0,9.0,4.0,16.0,3.0,8.0,5.0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9682539682539683,0.28134556574923547,0.4892966360856269,0.22935779816513763,0.02912621359223301,0.42718446601941745,0.5436893203883495,0.4666666666666667,0.5666666666666667,0.3,0.13333333333333333,0.1875,0.5,0.3125,0.7,0.678,0.011,0.011,0.022,3.633,1.022,1.778,0.833,1.144,0.033,0.489,0.622,0.0,0.356,0.0,0.0,0.0,0.356,0.0,0.133,0.056,0.0,0.333,0.156,0.189,0.1,0.044,0.178,0.033,0.089,0.056,0.022,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Aaron Ramsey,233.0,212.0,4,4,21,696.0,203.0,365.0,128.0,248.0,25.0,137.0,86.0,1.0,57.0,1,3,3,57.0,0,31.0,16.0,0.0,88.0,53.0,42.0,37.0,9.0,61.0,11.0,38.0,12.0,3,0,0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.9098712446351931,0.2916666666666667,0.5244252873563219,0.1839080459770115,0.10080645161290322,0.5524193548387096,0.3467741935483871,0.6022727272727273,0.4772727272727273,0.42045454545454547,0.10227272727272728,0.18032786885245902,0.6229508196721312,0.19672131147540983,2.589,2.356,0.044,0.044,0.233,7.733,2.256,4.056,1.422,2.756,0.278,1.522,0.956,0.011,0.633,0.011,0.033,0.033,0.633,0.0,0.344,0.178,0.0,0.978,0.589,0.467,0.411,0.1,0.678,0.122,0.422,0.133,0.033,0.0,0.0,0.033,0.0,0.0,0.011,0.011,0.0,0.0,0.044,0.0
Abdul Rahman Baba,63.0,57.0,0,0,6,235.0,133.0,89.0,13.0,51.0,16.0,28.0,7.0,0.0,28.0,1,2,2,28.0,1,35.0,19.0,0.0,48.0,25.0,29.0,15.0,4.0,18.0,6.0,11.0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9047619047619048,0.5659574468085107,0.37872340425531914,0.05531914893617021,0.3137254901960784,0.5490196078431373,0.13725490196078433,0.5208333333333334,0.6041666666666666,0.3125,0.08333333333333333,0.3333333333333333,0.6111111111111112,0.05555555555555555,0.7,0.633,0.0,0.0,0.067,2.611,1.478,0.989,0.144,0.567,0.178,0.311,0.078,0.0,0.311,0.011,0.022,0.022,0.311,0.011,0.389,0.211,0.0,0.533,0.278,0.322,0.167,0.044,0.2,0.067,0.122,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Adam David Lallana,134.0,123.0,0,0,11,607.0,160.0,302.0,145.0,195.0,19.0,91.0,85.0,0.0,55.0,1,3,3,55.0,0,34.0,18.0,0.0,61.0,39.0,28.0,22.0,11.0,33.0,3.0,21.0,9.0,1,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.917910447761194,0.26359143327841844,0.4975288303130148,0.23887973640856672,0.09743589743589744,0.4666666666666667,0.4358974358974359,0.639344262295082,0.45901639344262296,0.36065573770491804,0.18032786885245902,0.09090909090909091,0.6363636363636364,0.2727272727272727,1.489,1.367,0.0,0.0,0.122,6.744,1.778,3.356,1.611,2.167,0.211,1.011,0.944,0.0,0.611,0.011,0.033,0.033,0.611,0.0,0.378,0.2,0.0,0.678,0.433,0.311,0.244,0.122,0.367,0.033,0.233,0.1,0.011,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.022,0.0
Adam Federici,27.0,27.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Johnson,74.0,72.0,0,0,2,137.0,35.0,72.0,30.0,42.0,5.0,23.0,14.0,1.0,23.0,1,0,0,23.0,0,7.0,2.0,0.0,11.0,8.0,7.0,4.0,0.0,8.0,3.0,3.0,2.0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.972972972972973,0.25547445255474455,0.5255474452554745,0.21897810218978103,0.11904761904761904,0.5476190476190477,0.3333333333333333,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.0,0.375,0.375,0.25,0.822,0.8,0.0,0.0,0.022,1.522,0.389,0.8,0.333,0.467,0.056,0.256,0.156,0.011,0.256,0.011,0.0,0.0,0.256,0.0,0.078,0.022,0.0,0.122,0.089,0.078,0.044,0.0,0.089,0.033,0.033,0.022,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0
Adam Matthews,2.0,2.0,0,0,0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.056,0.044,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,108.0,101.0,2,2,7,538.0,249.0,192.0,97.0,146.0,29.0,53.0,64.0,0.0,50.0,0,0,0,50.0,0,49.0,21.0,0.0,67.0,42.0,36.0,20.0,11.0,38.0,17.0,8.0,13.0,1,0,0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.9351851851851852,0.4628252788104089,0.35687732342007433,0.18029739776951673,0.19863013698630136,0.363013698630137,0.4383561643835616,0.6268656716417911,0.5373134328358209,0.29850746268656714,0.16417910447761194,0.4473684210526316,0.21052631578947367,0.34210526315789475,1.2,1.122,0.022,0.022,0.078,5.978,2.767,2.133,1.078,1.622,0.322,0.589,0.711,0.0,0.556,0.0,0.0,0.0,0.556,0.0,0.544,0.233,0.0,0.744,0.467,0.4,0.222,0.122,0.422,0.189,0.089,0.144,0.011,0.0,0.0,0.033,0.0,0.0,0.022,0.022,0.0,0.0,0.056,0.0
Adama Traoré Diarra,17.0,15.0,0,0,2,28.0,3.0,17.0,8.0,11.0,0.0,4.0,7.0,0.0,5.0,0,1,1,5.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8823529411764706,0.10714285714285714,0.6071428571428571,0.2857142857142857,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.189,0.167,0.0,0.0,0.022,0.311,0.033,0.189,0.089,0.122,0.0,0.044,0.078,0.0,0.056,0.0,0.011,0.011,0.056,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.044,0.0,0.022,0.022,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
