player,goals,goals_penalty,goals_header,goals_left_foot,goals_right_foot,goals_other_body_part,goals_with_first_touch,goals_in_goal_area,goals_in_penalty_area,goals_in_attacking_third,goals_in_middle_third,goals_inside_penalty_area,goals_outside_penalty_area,goals_long_distance,goals_mid_distance,goals_short_distance,goals_avg_distance,shots_total,shots_on_target,shots_from_freekick,shots_from_penalty,shots_on_target_left_foot,shots_on_target_right_foot,shots_with_first_touch,shots_in_goal_area,shots_in_penalty_area,shots_in_attacking_third,shots_in_middle_third,shots_inside_penalty_area,shots_outside_penalty_area,shots_long_distance,shots_mid_distance,shots_short_distance,shots_avg_distance,goal_normal,goal_volley,goal_half_volley,goal_lob,goal_backheel,goal_overhead_kick,goal_diving_header,xG,big_chances_total,big_chances_led_to_goal,last_minute_goals,up_goals,up_goals_penalty,up_goals_header,up_goals_left_foot,up_goals_right_foot,up_goals_other_body_part,up_goals_with_first_touch,up_goals_in_goal_area,up_goals_in_penalty_area,up_goals_in_attacking_third,up_goals_in_middle_third,up_goals_inside_penalty_area,up_goals_outside_penalty_area,up_goals_long_distance,up_goals_mid_distance,up_goals_short_distance,up_goals_avg_distance,up_shots_total,up_shots_on_target,up_shots_from_freekick,up_shots_from_penalty,up_shots_on_target_left_foot,up_shots_on_target_right_foot,up_shots_with_first_touch,up_shots_in_goal_area,up_shots_in_penalty_area,up_shots_in_attacking_third,up_shots_in_middle_third,up_shots_inside_penalty_area,up_shots_outside_penalty_area,up_shots_long_distance,up_shots_mid_distance,up_shots_short_distance,up_shots_avg_distance,up_goal_normal,up_goal_volley,up_goal_half_volley,up_goal_lob,up_goal_backheel,up_goal_overhead_kick,up_goal_diving_header,up_xG,up_big_chances_total,up_big_chances_led_to_goal,up_last_minute_goals,equalizer,first_goal,leading_goal,goals_important,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,big_chances_conversion_%,up_shot_conversion_%,up_shots_on_target_%,up_big_chances_conversion_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%,goals_header_%,goals_per_match,goals_penalty_per_match,goals_header_per_match,goals_left_foot_per_match,goals_right_foot_per_match,goals_other_body_part_per_match,goals_with_first_touch_per_match,goals_in_goal_area_per_match,goals_in_penalty_area_per_match,goals_in_attacking_third_per_match,goals_in_middle_third_per_match,goals_inside_penalty_area_per_match,goals_outside_penalty_area_per_match,goals_long_distance_per_match,goals_mid_distance_per_match,goals_short_distance_per_match,goals_avg_distance_per_match,shots_total_per_match,shots_on_target_per_match,shots_from_freekick_per_match,shots_from_penalty_per_match,shots_on_target_left_foot_per_match,shots_on_target_right_foot_per_match,shots_with_first_touch_per_match,shots_in_goal_area_per_match,shots_in_penalty_area_per_match,shots_in_attacking_third_per_match,shots_in_middle_third_per_match,shots_inside_penalty_area_per_match,shots_outside_penalty_area_per_match,shots_long_distance_per_match,shots_mid_distance_per_match,shots_short_distance_per_match,shots_avg_distance_per_match,goal_normal_per_match,goal_volley_per_match,goal_half_volley_per_match,goal_lob_per_match,goal_backheel_per_match,goal_overhead_kick_per_match,goal_diving_header_per_match,xG_per_match,big_chances_total_per_match,big_chances_led_to_goal_per_match,last_minute_goals_per_match,up_goals_per_match,up_goals_penalty_per_match,up_goals_header_per_match,up_goals_left_foot_per_match,up_goals_right_foot_per_match,up_goals_other_body_part_per_match,up_goals_with_first_touch_per_match,up_goals_in_goal_area_per_match,up_goals_in_penalty_area_per_match,up_goals_in_attacking_third_per_match,up_goals_in_middle_third_per_match,up_goals_inside_penalty_area_per_match,up_goals_outside_penalty_area_per_match,up_goals_long_distance_per_match,up_goals_mid_distance_per_match,up_goals_short_distance_per_match,up_goals_avg_distance_per_match,up_shots_total_per_match,up_shots_on_target_per_match,up_shots_from_freekick_per_match,up_shots_from_penalty_per_match,up_shots_on_target_left_foot_per_match,up_shots_on_target_right_foot_per_match,up_shots_with_first_touch_per_match,up_shots_in_goal_area_per_match,up_shots_in_penalty_area_per_match,up_shots_in_attacking_third_per_match,up_shots_in_middle_third_per_match,up_shots_inside_penalty_area_per_match,up_shots_outside_penalty_area_per_match,up_shots_long_distance_per_match,up_shots_mid_distance_per_match,up_shots_short_distance_per_match,up_shots_avg_distance_per_match,up_goal_normal_per_match,up_goal_volley_per_match,up_goal_half_volley_per_match,up_goal_lob_per_match,up_goal_backheel_per_match,up_goal_overhead_kick_per_match,up_goal_diving_header_per_match,up_xG_per_match,up_big_chances_total_per_match,up_big_chances_led_to_goal_per_match,up_last_minute_goals_per_match,equalizer_per_match,first_goal_per_match,leading_goal_per_match,goals_important_per_match
Aaron Cresswell,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,26.54011784808328,27.0,17.0,2.0,0.0,17.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,27.0,12.0,6.0,9.0,36.2984098127139,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8002924176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,21.32466391622621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205517423,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.63,0.074,0.118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.5,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.3,0.022,0.0,0.0,0.295,0.3,0.189,0.022,0.0,0.189,0.0,0.078,0.0,0.133,0.0,0.0,0.0,0.3,0.133,0.067,0.1,0.403,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.033,0.0,0.0,0.0,0.044,0.022,0.022,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.011,0.011,0.022
Aaron Lennon,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,18.0,1.0,4.0,0.0,33.810837355233105,18.0,14.0,0.0,0.0,1.0,13.0,7.0,0.0,11.0,0.0,0.0,0.0,18.0,3.0,12.0,3.0,27.295609089494764,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.9527292090000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,17.736967046256805,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,11.66105085083204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463928134,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.778,0.278,0.357,0.0,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,3.6,0.0,0.0,0.056,0.0,0.0,0.0,0.056,0.0,0.011,0.0,0.044,0.0,0.0,0.0,0.2,0.011,0.044,0.0,0.376,0.2,0.156,0.0,0.0,0.011,0.144,0.078,0.0,0.122,0.0,0.0,0.0,0.2,0.033,0.133,0.033,0.303,0.033,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.033,0.0,0.011,0.0,0.197,0.033,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.022,0.0,0.0,0.0,0.033,0.0,0.022,0.011,0.13,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.022,0.0,0.022
Aaron Ramsey,5.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,67.0,0.0,3.0,2.0,11.06627807640384,67.0,43.0,0.0,0.0,6.0,37.0,27.0,3.0,39.0,3.0,3.0,0.0,67.0,16.0,24.0,27.0,29.205285195892067,4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.420695429799999,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,1.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,11.0,5.0,2.0,4.0,16.418059556671604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14074399,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.642,0.075,0.116,0.333,0.0,0.455,0.0,0.0,1.0,1.0,0.0,0.8,0.333,13.4,0.0,0.0,0.056,0.0,0.0,0.0,0.056,0.0,0.044,0.011,0.044,0.011,0.011,0.0,0.744,0.0,0.033,0.022,0.123,0.744,0.478,0.0,0.0,0.067,0.411,0.3,0.033,0.433,0.033,0.033,0.0,0.744,0.178,0.267,0.3,0.325,0.044,0.0,0.0,0.0,0.011,0.0,0.0,0.082,0.033,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.122,0.056,0.0,0.0,0.011,0.044,0.044,0.0,0.078,0.0,0.0,0.0,0.122,0.056,0.022,0.044,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.011,0.011,0.0,0.022
Abdul Rahman Baba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,40.10767148268029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36923715599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,20.91955525856837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22585451299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.067,0.033,0.0,0.0,0.033,0.0,0.033,0.0,0.033,0.0,0.0,0.0,0.067,0.033,0.022,0.011,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.033,0.011,0.0,0.0,0.011,0.0,0.011,0.0,0.022,0.0,0.0,0.0,0.033,0.011,0.022,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam David Lallana,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,42.0,1.0,2.0,1.0,17.909039331980377,42.0,31.0,0.0,0.0,17.0,12.0,12.0,1.0,25.0,1.0,1.0,0.0,42.0,10.0,11.0,21.0,26.025302363264732,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.885753835,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,13.943385333495517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24496468700000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.738,0.095,0.129,0.333,0.0,0.5,0.0,0.0,1.0,0.25,0.75,0.25,0.333,10.5,0.0,0.0,0.044,0.0,0.0,0.033,0.011,0.0,0.011,0.0,0.022,0.0,0.0,0.0,0.467,0.011,0.022,0.011,0.199,0.467,0.344,0.0,0.0,0.189,0.133,0.133,0.011,0.278,0.011,0.011,0.0,0.467,0.111,0.122,0.233,0.289,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.043,0.033,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.044,0.022,0.0,0.0,0.011,0.011,0.011,0.0,0.044,0.0,0.0,0.0,0.044,0.011,0.033,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.011,0.0,0.011
Adam Federici,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Johnson,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,19.496271828886247,16.0,8.0,3.0,1.0,6.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,16.0,10.0,3.0,3.0,22.13934908017174,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762098854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.125,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.022,0.011,0.0,0.022,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.178,0.011,0.011,0.0,0.217,0.178,0.089,0.033,0.011,0.067,0.022,0.067,0.0,0.044,0.0,0.0,0.0,0.178,0.111,0.033,0.033,0.246,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.011
Adam Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,26.827627363073987,15.0,10.0,0.0,0.0,3.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,6.0,5.0,4.0,32.65470593898331,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5216790726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,16.478416636428907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081960942,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.667,0.133,0.2,0.0,0.0,0.667,0.0,0.0,1.0,0.5,0.5,0.0,0.0,7.5,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.022,0.0,0.0,0.298,0.167,0.111,0.0,0.0,0.033,0.078,0.011,0.0,0.033,0.0,0.0,0.0,0.167,0.067,0.056,0.044,0.363,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.033,0.022,0.0,0.0,0.0,0.022,0.011,0.0,0.011,0.0,0.0,0.0,0.033,0.022,0.0,0.011,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.011,0.0,0.011
Adama Traoré Diarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,17.687427757919455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12489151000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.440207252495028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08406523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.011,0.011,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
