player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Aaron Mattia Tabacchi,2.0,1.0,0,0,1,4.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.011,0.044,0.0,0.022,0.022,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdelhamid El Kaoutari,47.0,47.0,0,0,0,127.0,80.0,46.0,1.0,25.0,14.0,11.0,0.0,1.0,18.0,0,0,0,18.0,0,23.0,8.0,0.0,20.0,10.0,13.0,7.0,0.0,3.0,1.0,1.0,1.0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.6299212598425197,0.36220472440944884,0.007874015748031496,0.56,0.44,0.0,0.5,0.65,0.35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.522,0.522,0.0,0.0,0.0,1.411,0.889,0.511,0.011,0.278,0.156,0.122,0.0,0.011,0.2,0.0,0.0,0.0,0.2,0.0,0.256,0.089,0.0,0.222,0.111,0.144,0.078,0.0,0.033,0.011,0.011,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.022,0.0
Abdoulay Konko,116.0,105.0,0,0,11,339.0,162.0,135.0,42.0,86.0,10.0,38.0,38.0,7.0,49.0,0,2,2,49.0,0,51.0,28.0,0.0,50.0,20.0,27.0,17.0,6.0,38.0,15.0,20.0,3.0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9051724137931034,0.4778761061946903,0.39823008849557523,0.12389380530973451,0.11627906976744186,0.4418604651162791,0.4418604651162791,0.4,0.54,0.34,0.12,0.39473684210526316,0.5263157894736842,0.07894736842105263,1.289,1.167,0.0,0.0,0.122,3.767,1.8,1.5,0.467,0.956,0.111,0.422,0.422,0.078,0.544,0.0,0.022,0.022,0.544,0.0,0.567,0.311,0.0,0.556,0.222,0.3,0.189,0.067,0.422,0.167,0.222,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0
Accursio Bentivegna,1.0,1.0,0,0,0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.011,0.011,0.0,0.0,0.0,0.022,0.0,0.011,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Achraf Lazaar,237.0,213.0,0,0,24,457.0,196.0,188.0,73.0,151.0,23.0,70.0,58.0,4.0,88.0,0,0,0,88.0,0,65.0,38.0,0.0,64.0,37.0,33.0,24.0,7.0,40.0,9.0,20.0,11.0,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8987341772151899,0.4288840262582057,0.4113785557986871,0.15973741794310722,0.152317880794702,0.46357615894039733,0.3841059602649007,0.578125,0.515625,0.375,0.109375,0.225,0.5,0.275,2.633,2.367,0.0,0.0,0.267,5.078,2.178,2.089,0.811,1.678,0.256,0.778,0.644,0.044,0.978,0.0,0.0,0.0,0.978,0.0,0.722,0.422,0.0,0.711,0.411,0.367,0.267,0.078,0.444,0.1,0.222,0.122,0.0,0.0,0.0,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.033,0.0
Adam Masina,163.0,155.0,0,0,8,498.0,195.0,202.0,101.0,165.0,32.0,68.0,65.0,1.0,105.0,4,0,0,105.0,0,106.0,66.0,0.0,64.0,36.0,33.0,24.0,7.0,36.0,10.0,16.0,10.0,0,1,0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.950920245398773,0.39156626506024095,0.40562248995983935,0.20281124497991967,0.19393939393939394,0.4121212121212121,0.3939393939393939,0.5625,0.515625,0.375,0.109375,0.2777777777777778,0.4444444444444444,0.2777777777777778,1.811,1.722,0.0,0.0,0.089,5.533,2.167,2.244,1.122,1.833,0.356,0.756,0.722,0.011,1.167,0.044,0.0,0.0,1.167,0.0,1.178,0.733,0.0,0.711,0.4,0.367,0.267,0.078,0.4,0.111,0.178,0.111,0.0,0.011,0.0,0.089,0.0,0.011,0.0,0.0,0.0,0.0,0.089,0.011
Adem Ljajić,74.0,68.0,0,0,6,207.0,35.0,106.0,66.0,72.0,2.0,39.0,31.0,0.0,30.0,1,2,2,30.0,0,9.0,1.0,0.0,10.0,5.0,4.0,5.0,1.0,7.0,2.0,3.0,2.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.918918918918919,0.16908212560386474,0.5120772946859904,0.3188405797101449,0.027777777777777776,0.5416666666666666,0.4305555555555556,0.5,0.4,0.5,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.822,0.756,0.0,0.0,0.067,2.3,0.389,1.178,0.733,0.8,0.022,0.433,0.344,0.0,0.333,0.011,0.022,0.022,0.333,0.0,0.1,0.011,0.0,0.111,0.056,0.044,0.056,0.011,0.078,0.022,0.033,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
Adriano Russo,15.0,13.0,0,0,2,148.0,120.0,26.0,2.0,28.0,17.0,10.0,1.0,0.0,32.0,0,0,0,32.0,0,80.0,40.0,0.0,30.0,19.0,26.0,3.0,1.0,9.0,4.0,4.0,1.0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8666666666666667,0.8108108108108109,0.17567567567567569,0.013513513513513514,0.6071428571428571,0.35714285714285715,0.03571428571428571,0.6333333333333333,0.8666666666666667,0.1,0.03333333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.167,0.144,0.0,0.0,0.022,1.644,1.333,0.289,0.022,0.311,0.189,0.111,0.011,0.0,0.356,0.0,0.0,0.0,0.356,0.0,0.889,0.444,0.0,0.333,0.211,0.289,0.033,0.011,0.1,0.044,0.044,0.011,0.0,0.011,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
Afriyie Acquah,152.0,138.0,2,2,14,342.0,111.0,176.0,55.0,87.0,7.0,53.0,27.0,0.0,45.0,0,0,0,45.0,0,18.0,8.0,0.0,29.0,14.0,10.0,17.0,2.0,48.0,7.0,23.0,18.0,4,1,0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.9078947368421053,0.32456140350877194,0.5146198830409356,0.1608187134502924,0.08045977011494253,0.6091954022988506,0.3103448275862069,0.4827586206896552,0.3448275862068966,0.5862068965517241,0.06896551724137931,0.14583333333333334,0.4791666666666667,0.375,1.689,1.533,0.022,0.022,0.156,3.8,1.233,1.956,0.611,0.967,0.078,0.589,0.3,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.2,0.089,0.0,0.322,0.156,0.111,0.189,0.022,0.533,0.078,0.256,0.2,0.044,0.011,0.0,0.078,0.0,0.0,0.022,0.022,0.0,0.0,0.1,0.0
Agostino Camigliano,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
