player,goals,goals_penalty,goals_header,goals_left_foot,goals_right_foot,goals_other_body_part,goals_with_first_touch,goals_in_goal_area,goals_in_penalty_area,goals_in_attacking_third,goals_in_middle_third,goals_inside_penalty_area,goals_outside_penalty_area,goals_long_distance,goals_mid_distance,goals_short_distance,goals_avg_distance,shots_total,shots_on_target,shots_from_freekick,shots_from_penalty,shots_on_target_left_foot,shots_on_target_right_foot,shots_with_first_touch,shots_in_goal_area,shots_in_penalty_area,shots_in_attacking_third,shots_in_middle_third,shots_inside_penalty_area,shots_outside_penalty_area,shots_long_distance,shots_mid_distance,shots_short_distance,shots_avg_distance,goal_normal,goal_volley,goal_half_volley,goal_lob,goal_backheel,goal_overhead_kick,goal_diving_header,xG,big_chances_total,big_chances_led_to_goal,last_minute_goals,up_goals,up_goals_penalty,up_goals_header,up_goals_left_foot,up_goals_right_foot,up_goals_other_body_part,up_goals_with_first_touch,up_goals_in_goal_area,up_goals_in_penalty_area,up_goals_in_attacking_third,up_goals_in_middle_third,up_goals_inside_penalty_area,up_goals_outside_penalty_area,up_goals_long_distance,up_goals_mid_distance,up_goals_short_distance,up_goals_avg_distance,up_shots_total,up_shots_on_target,up_shots_from_freekick,up_shots_from_penalty,up_shots_on_target_left_foot,up_shots_on_target_right_foot,up_shots_with_first_touch,up_shots_in_goal_area,up_shots_in_penalty_area,up_shots_in_attacking_third,up_shots_in_middle_third,up_shots_inside_penalty_area,up_shots_outside_penalty_area,up_shots_long_distance,up_shots_mid_distance,up_shots_short_distance,up_shots_avg_distance,up_goal_normal,up_goal_volley,up_goal_half_volley,up_goal_lob,up_goal_backheel,up_goal_overhead_kick,up_goal_diving_header,up_xG,up_big_chances_total,up_big_chances_led_to_goal,up_last_minute_goals,equalizer,first_goal,leading_goal,goals_important,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,big_chances_conversion_%,up_shot_conversion_%,up_shots_on_target_%,up_big_chances_conversion_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%,goals_header_%,goals_per_match,goals_penalty_per_match,goals_header_per_match,goals_left_foot_per_match,goals_right_foot_per_match,goals_other_body_part_per_match,goals_with_first_touch_per_match,goals_in_goal_area_per_match,goals_in_penalty_area_per_match,goals_in_attacking_third_per_match,goals_in_middle_third_per_match,goals_inside_penalty_area_per_match,goals_outside_penalty_area_per_match,goals_long_distance_per_match,goals_mid_distance_per_match,goals_short_distance_per_match,goals_avg_distance_per_match,shots_total_per_match,shots_on_target_per_match,shots_from_freekick_per_match,shots_from_penalty_per_match,shots_on_target_left_foot_per_match,shots_on_target_right_foot_per_match,shots_with_first_touch_per_match,shots_in_goal_area_per_match,shots_in_penalty_area_per_match,shots_in_attacking_third_per_match,shots_in_middle_third_per_match,shots_inside_penalty_area_per_match,shots_outside_penalty_area_per_match,shots_long_distance_per_match,shots_mid_distance_per_match,shots_short_distance_per_match,shots_avg_distance_per_match,goal_normal_per_match,goal_volley_per_match,goal_half_volley_per_match,goal_lob_per_match,goal_backheel_per_match,goal_overhead_kick_per_match,goal_diving_header_per_match,xG_per_match,big_chances_total_per_match,big_chances_led_to_goal_per_match,last_minute_goals_per_match,up_goals_per_match,up_goals_penalty_per_match,up_goals_header_per_match,up_goals_left_foot_per_match,up_goals_right_foot_per_match,up_goals_other_body_part_per_match,up_goals_with_first_touch_per_match,up_goals_in_goal_area_per_match,up_goals_in_penalty_area_per_match,up_goals_in_attacking_third_per_match,up_goals_in_middle_third_per_match,up_goals_inside_penalty_area_per_match,up_goals_outside_penalty_area_per_match,up_goals_long_distance_per_match,up_goals_mid_distance_per_match,up_goals_short_distance_per_match,up_goals_avg_distance_per_match,up_shots_total_per_match,up_shots_on_target_per_match,up_shots_from_freekick_per_match,up_shots_from_penalty_per_match,up_shots_on_target_left_foot_per_match,up_shots_on_target_right_foot_per_match,up_shots_with_first_touch_per_match,up_shots_in_goal_area_per_match,up_shots_in_penalty_area_per_match,up_shots_in_attacking_third_per_match,up_shots_in_middle_third_per_match,up_shots_inside_penalty_area_per_match,up_shots_outside_penalty_area_per_match,up_shots_long_distance_per_match,up_shots_mid_distance_per_match,up_shots_short_distance_per_match,up_shots_avg_distance_per_match,up_goal_normal_per_match,up_goal_volley_per_match,up_goal_half_volley_per_match,up_goal_lob_per_match,up_goal_backheel_per_match,up_goal_overhead_kick_per_match,up_goal_diving_header_per_match,up_xG_per_match,up_big_chances_total_per_match,up_big_chances_led_to_goal_per_match,up_last_minute_goals_per_match,equalizer_per_match,first_goal_per_match,leading_goal_per_match,goals_important_per_match
Aaron Hunt,1,1,0,1,0,0,0,0,1,0,0,0,24,0,1,0,11.90378091196239,24,21,0,1,19,2,7,1,13,1,1,0,24,7,7,10,31.381477945764743,1,0,0,0,0,0,0,1.900835992,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,2.0,4.0,15.532572875632006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396321342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.042,0.048,0.0,0.0,0.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.267,0.0,0.011,0.0,0.132,0.267,0.233,0.0,0.011,0.211,0.022,0.078,0.011,0.144,0.011,0.011,0.0,0.267,0.078,0.078,0.111,0.349,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.089,0.067,0.0,0.0,0.056,0.011,0.011,0.0,0.044,0.0,0.0,0.0,0.089,0.022,0.022,0.044,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Hloušek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.98053450525078,0,0,0,0,0,0,0,0.066413954,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adelino André Vieira Freitas,1,0,0,0,1,0,1,0,1,0,0,0,28,0,0,1,9.265527507918808,28,18,2,0,5,12,7,1,6,1,1,0,28,15,5,8,34.49353954192004,0,1,0,0,0,0,0,1.6551019132000002,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,13.09171309337079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259867988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.036,0.056,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.5,28.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.311,0.0,0.0,0.011,0.103,0.311,0.2,0.022,0.0,0.056,0.133,0.078,0.011,0.067,0.011,0.011,0.0,0.311,0.167,0.056,0.089,0.383,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.018,0.022,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.067,0.033,0.0,0.0,0.011,0.022,0.022,0.0,0.022,0.0,0.0,0.0,0.067,0.022,0.0,0.044,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admir Mehmedi,2,0,0,0,2,0,0,0,2,0,0,0,26,0,2,0,17.29625554563352,26,18,1,0,2,15,13,0,17,0,0,0,26,7,8,11,29.05242687874471,2,0,0,0,0,0,0,2.072289997,0,0,1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,17.29625554563352,7.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,7.0,1.0,4.0,2.0,15.748294881784469,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425694928,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.692,0.077,0.111,0.0,0.286,0.714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.289,0.0,0.022,0.0,0.192,0.289,0.2,0.011,0.0,0.022,0.167,0.144,0.0,0.189,0.0,0.0,0.0,0.289,0.078,0.089,0.122,0.323,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.011,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.078,0.0,0.022,0.0,0.192,0.078,0.056,0.0,0.0,0.0,0.044,0.044,0.0,0.067,0.0,0.0,0.0,0.078,0.011,0.044,0.022,0.175,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.011,0.0,0.011,0.011,0.022
Adnan Januzaj,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,4,2,1,0,2,0,2,0,3,0,0,0,4,0,3,1,13.213236523313102,0,0,0,0,0,0,0,0.446222273,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.044,0.022,0.011,0.0,0.022,0.0,0.022,0.0,0.033,0.0,0.0,0.0,0.044,0.0,0.033,0.011,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albin Ekdal,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.0,6,1,0,0,0,1,1,1,3,1,1,0,6,1,3,2,26.72781397495212,0,0,0,0,0,0,0,0.169204282,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,7.182750672256986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10162180700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.067,0.011,0.0,0.0,0.0,0.011,0.011,0.011,0.033,0.011,0.011,0.0,0.067,0.011,0.033,0.022,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.033,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.011,0.011,0.011,0.0,0.033,0.0,0.011,0.022,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Gálvez Jimena,1,0,0,0,1,0,1,0,1,0,0,0,5,0,1,0,18.054639292990604,5,2,1,0,0,2,2,0,2,0,0,0,5,2,1,2,29.005075273085115,0,0,1,0,0,0,0,0.175791899,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.1788029504896285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748837,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.2,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.056,0.0,0.011,0.0,0.201,0.056,0.022,0.011,0.0,0.0,0.022,0.022,0.0,0.022,0.0,0.0,0.0,0.056,0.022,0.011,0.022,0.322,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.011,0.0,0.0,0.011
Aleksandar Ignjovski,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.0,9,5,0,0,2,3,1,1,3,1,1,0,9,2,3,4,20.537171903978372,0,0,0,0,0,0,0,0.6255283982000001,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0198039027185575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052837487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.056,0.0,0.0,0.022,0.033,0.011,0.011,0.033,0.011,0.011,0.0,0.1,0.022,0.033,0.044,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Schöpf,3,0,0,0,3,0,1,0,2,0,0,0,14,1,1,1,34.09629831356436,14,11,0,0,0,10,5,0,5,0,0,0,14,6,2,6,37.98987530012622,3,0,0,0,0,0,0,2.0223282,2,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,20.54117815511077,5.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,24.94018884883153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192356795,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.786,0.214,0.273,0.5,0.2,0.8,0.0,0.0,1.0,1.0,0.0,0.333,0.5,4.667,0.0,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.011,0.0,0.022,0.0,0.0,0.0,0.156,0.011,0.011,0.011,0.379,0.156,0.122,0.0,0.0,0.0,0.111,0.056,0.0,0.056,0.0,0.0,0.0,0.156,0.067,0.022,0.067,0.422,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.011,0.011,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.011,0.0,0.0,0.228,0.056,0.044,0.0,0.0,0.0,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.056,0.044,0.0,0.011,0.277,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.011,0.011,0.0,0.0,0.011
Alexander Baumjohann,1,1,0,0,1,0,0,0,1,0,0,0,8,0,1,0,12.248265183282085,8,5,1,1,0,5,3,0,6,0,0,0,8,3,2,3,25.80344603643912,1,0,0,0,0,0,0,1.1567420494999998,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,8.432417141968568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033600591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.089,0.0,0.011,0.0,0.136,0.089,0.056,0.011,0.011,0.0,0.056,0.033,0.0,0.067,0.0,0.0,0.0,0.089,0.033,0.022,0.033,0.287,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.022,0.022,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.011,0.011,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
