player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Aaron Hunt,Germany,Hamburger SV,Center Attacking Midfield,23.0,1742.0,3.0,8.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Wing']"
Adam Hloušek,Czech Republic,VfB Stuttgart,Left Center Back,7.0,425.0,3.0,0.0,"['Left Wing', 'Left Center Forward', 'Left Center Back', 'Right Center Midfield']"
Adelino André Vieira Freitas,Portugal,Wolfsburg,"['Right Back', 'Right Wing']",26.0,1908.0,4.0,8.0,"['Right Wing', 'Left Back', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Admir Mehmedi,Switzerland,Bayer Leverkusen,Left Midfield,28.0,1373.0,14.0,7.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Adnan Januzaj,Belgium,Borussia Dortmund,Right Wing,6.0,176.0,6.0,0.0,"['Right Wing', 'Left Wing', 'Right Midfield', 'Center Forward']"
Ahmet Metin Arslan,Germany,Hamburger SV,Left Wing,1.0,4.0,1.0,0.0,['Left Wing']
Albian Afrim Ajeti,Switzerland,Augsburg,"['Right Defensive Midfield', 'Center Attacking Midfield', 'Right Wing']",1.0,41.0,1.0,0.0,"['Right Defensive Midfield', 'Center Attacking Midfield', 'Right Wing']"
Albin Ekdal,Sweden,Hamburger SV,Right Defensive Midfield,14.0,1137.0,0.0,5.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield']"
Alejandro Gálvez Jimena,Spain,Werder Bremen,Right Center Back,21.0,1291.0,6.0,4.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Center Back', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Aleksandar Ignjovski,Serbia,Eintracht Frankfurt,Right Back,18.0,1228.0,5.0,2.0,"['Right Wing', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Alessandro Schöpf,Austria,Schalke 04,Right Wing,13.0,484.0,8.0,4.0,"['Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Right Wing Back', 'Right Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Alexander Baumjohann,Germany,Hertha Berlin,Center Attacking Midfield,24.0,509.0,23.0,1.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Alexander Esswein,Germany,Augsburg,Right Wing,29.0,1820.0,7.0,16.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Alexander Hack,Germany,FSV Mainz 05,Left Center Back,7.0,630.0,0.0,0.0,"['Center Back', 'Left Center Back']"
Alexander Manninger,Austria,Augsburg,Goalkeeper,2.0,97.0,1.0,0.0,['Goalkeeper']
Alexander Meier,Germany,Eintracht Frankfurt,Center Attacking Midfield,19.0,1707.0,0.0,1.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward']"
Alexander Milosevic,Sweden,Hannover 96,Right Center Back,10.0,820.0,0.0,2.0,"['Left Center Back', 'Right Center Back']"
Alexander Nübel,Germany,Schalke 04,Goalkeeper,1.0,2.0,1.0,0.0,['Goalkeeper']
Alexander Stolz,Germany,Hoffenheim,0,0.0,0.0,0.0,0.0,[]
Alexandru Iulian Maxim,Romania,VfB Stuttgart,Center Attacking Midfield,25.0,1092.0,16.0,6.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Left Wing', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Alfredo Morales,United States of America,Ingolstadt,Left Center Midfield,24.0,1681.0,6.0,4.0,"['Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing']"
Alfreð Finnbogason,Iceland,Augsburg,Center Forward,14.0,1132.0,1.0,4.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Right Attacking Midfield']"
Allan Saint-Maximin,France,Hannover 96,Center Attacking Midfield,16.0,482.0,15.0,1.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Almog Cohen,Israel,Ingolstadt,Left Center Midfield,20.0,858.0,12.0,6.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Aloy Ihenacho,Nigeria,Ingolstadt,0,0.0,0.0,0.0,0.0,[]
Andre Hoffmann,Germany,Hannover 96,Center Defensive Midfield,8.0,518.0,1.0,3.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back']"
Andreas Christensen,Denmark,Borussia Mönchengladbach,Right Center Back,31.0,2790.0,0.0,0.0,"['Left Center Midfield', 'Right Back', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Andreas Hirzel,Switzerland,Hamburger SV,Goalkeeper,1.0,55.0,1.0,0.0,['Goalkeeper']
Andrej Kramarić,Croatia,Hoffenheim,Center Forward,15.0,1104.0,3.0,3.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Left Wing', 'Left Center Back']"
André Hahn,Germany,Borussia Mönchengladbach,Right Center Forward,16.0,857.0,8.0,2.0,"['Right Midfield', 'Right Center Forward', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Center Back', 'Left Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing Back', 'Left Center Back']"
André Ramalho Silva,Brazil,Bayer Leverkusen,Left Center Back,19.0,1167.0,8.0,0.0,"['Right Wing', 'Right Center Forward', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield', 'Left Center Back']"
André Schürrle,Germany,Wolfsburg,Left Wing,29.0,1915.0,8.0,8.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Anthony Modeste,France,FC Köln,Center Forward,34.0,2872.0,1.0,8.0,"['Right Wing Back', 'Right Center Forward', 'Center Forward', 'Left Center Forward']"
Anthony Ujah,Nigeria,Werder Bremen,Center Forward,32.0,2356.0,6.0,5.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Arianit Ferati,Germany,VfB Stuttgart,Left Center Midfield,4.0,172.0,3.0,1.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Midfield']"
Arjen Robben,Netherlands,Bayern Munich,Right Midfield,15.0,1097.0,1.0,8.0,"['Right Wing', 'Left Center Midfield', 'Right Center Midfield', 'Right Wing Back', 'Right Midfield']"
Aron Jóhannsson,United States of America,Werder Bremen,Right Center Forward,6.0,406.0,1.0,5.0,"['Right Center Forward', 'Center Attacking Midfield', 'Left Center Forward']"
Artem Kravets,Ukraine,VfB Stuttgart,Center Forward,15.0,616.0,10.0,3.0,"['Left Center Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield']"
