player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,league
Aaron Hunt,Germany,Hamburger SV,Midfielder,23.0,1742.0,3.0,8.0,"['Right Wing', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Wing']","['Right Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield']",19.355555555555554,bundesliga
Adam Hloušek,Czech Republic,VfB Stuttgart,Defender,7.0,425.0,3.0,0.0,"['Left Center Back', 'Right Center Midfield', 'Left Center Forward', 'Left Wing']","['Left Center Back', 'Left Wing', 'Left Center Forward', 'Left Center Back', 'Right Center Midfield', 'Left Center Back', 'Left Center Back', 'Left Center Back']",4.722222222222222,bundesliga
Adelino André Vieira Freitas,Portugal,Wolfsburg,Forward,26.0,1908.0,4.0,8.0,"['Right Center Midfield', 'Right Back', 'Left Midfield', 'Right Wing', 'Center Forward', 'Left Wing', 'Left Back', 'Right Midfield']","['Right Midfield', 'Right Back', 'Right Midfield', 'Right Back', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Wing', 'Center Forward', 'Right Wing', 'Right Wing', 'Right Back', 'Right Back', 'Right Center Midfield', 'Right Wing', 'Center Forward', 'Right Wing', 'Right Back', 'Right Back', 'Right Wing', 'Right Wing', 'Right Back', 'Right Back', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Back', 'Right Midfield', 'Right Back', 'Right Back', 'Right Midfield', 'Right Back', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Back', 'Right Back']",21.2,bundesliga
Admir Mehmedi,Switzerland,Bayer Leverkusen,Midfielder,28.0,1373.0,14.0,7.0,"['Left Midfield', 'Right Wing', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Right Midfield']","['Right Center Forward', 'Left Midfield', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Left Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Center Forward', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Center Forward', 'Right Center Forward', 'Right Midfield', 'Left Center Forward', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Center Forward']",15.255555555555556,bundesliga
Adnan Januzaj,Belgium,Borussia Dortmund,Forward,6.0,176.0,6.0,0.0,"['Center Forward', 'Right Midfield', 'Left Wing', 'Right Wing']","['Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Center Forward', 'Right Wing', 'Left Wing', 'Right Wing']",1.9555555555555555,bundesliga
Ahmet Metin Arslan,Germany,Hamburger SV,Forward,1.0,4.0,1.0,0.0,['Left Wing'],['Left Wing'],0.044444444444444446,bundesliga
Albian Afrim Ajeti,Switzerland,Augsburg,Forward,1.0,41.0,1.0,0.0,"['Right Defensive Midfield', 'Center Attacking Midfield', 'Right Wing']","['Right Defensive Midfield', 'Center Attacking Midfield', 'Right Wing']",0.45555555555555555,bundesliga
Albin Ekdal,Sweden,Hamburger SV,Midfielder,14.0,1137.0,0.0,5.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield']","['Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",12.633333333333333,bundesliga
Alejandro Gálvez Jimena,Spain,Werder Bremen,Defender,21.0,1291.0,6.0,4.0,"['Left Center Back', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Center Back', 'Left Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Back', 'Left Defensive Midfield']","['Left Center Midfield', 'Center Defensive Midfield', 'Center Forward', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Midfield']",14.344444444444445,bundesliga
Aleksandar Ignjovski,Serbia,Eintracht Frankfurt,Defender,18.0,1228.0,5.0,2.0,"['Right Center Midfield', 'Right Back', 'Right Wing Back', 'Right Wing', 'Left Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield']","['Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Back', 'Right Defensive Midfield', 'Right Back', 'Left Midfield', 'Left Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Defensive Midfield', 'Right Back', 'Right Center Midfield', 'Right Back', 'Left Midfield', 'Right Back']",13.644444444444444,bundesliga
Alessandro Schöpf,Austria,Schalke 04,Forward,13.0,484.0,8.0,4.0,"['Right Wing Back', 'Left Midfield', 'Right Wing', 'Center Forward', 'Right Defensive Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Attacking Midfield', 'Right Midfield']","['Right Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Midfield', 'Right Attacking Midfield', 'Left Attacking Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Defensive Midfield', 'Right Wing Back', 'Left Wing', 'Right Wing']",5.377777777777778,bundesliga
Alexander Baumjohann,Germany,Hertha Berlin,Midfielder,24.0,509.0,23.0,1.0,"['Right Center Midfield', 'Center Defensive Midfield', 'Left Midfield', 'Right Wing', 'Center Forward', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Wing', 'Left Center Forward']","['Center Attacking Midfield', 'Left Center Forward', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Center Forward']",5.655555555555556,bundesliga
Alexander Esswein,Germany,Augsburg,Forward,29.0,1820.0,7.0,16.0,"['Right Center Midfield', 'Right Back', 'Right Wing', 'Right Defensive Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield']","['Right Wing', 'Right Center Forward', 'Right Wing', 'Right Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Back', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Center Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing']",20.22222222222222,bundesliga
Alexander Hack,Germany,FSV Mainz 05,Defender,7.0,630.0,0.0,0.0,"['Left Center Back', 'Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Center Back', 'Left Center Back', 'Left Center Back']",7.0,bundesliga
Alexander Manninger,Austria,Augsburg,Goalkeeper,2.0,97.0,1.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper']",1.0777777777777777,bundesliga
Alexander Meier,Germany,Eintracht Frankfurt,Midfielder,19.0,1707.0,0.0,1.0,"['Left Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward']","['Left Center Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield']",18.966666666666665,bundesliga
Alexander Milosevic,Sweden,Hannover 96,Defender,10.0,820.0,0.0,2.0,"['Left Center Back', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back']",9.11111111111111,bundesliga
Alexander Nübel,Germany,Schalke 04,Goalkeeper,1.0,2.0,1.0,0.0,['Goalkeeper'],['Goalkeeper'],0.022222222222222223,bundesliga
Alexander Stolz,Germany,Hoffenheim,nan,0.0,0.0,0.0,0.0,[],[],0.0,bundesliga
Alexandru Iulian Maxim,Romania,VfB Stuttgart,Midfielder,25.0,1092.0,16.0,6.0,"['Right Center Midfield', 'Center Defensive Midfield', 'Right Back', 'Left Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Center Forward', 'Left Wing', 'Right Midfield']","['Right Wing', 'Right Back', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Center Forward', 'Right Center Midfield', 'Right Center Forward', 'Left Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Defensive Midfield']",12.133333333333333,bundesliga
Alfredo Morales,United States of America,Ingolstadt,Midfielder,24.0,1681.0,6.0,4.0,"['Right Center Midfield', 'Left Midfield', 'Right Wing', 'Left Center Midfield', 'Center Forward', 'Left Wing', 'Left Defensive Midfield']","['Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Wing', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Wing', 'Left Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Forward', 'Right Wing', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield']",18.677777777777777,bundesliga
Alfreð Finnbogason,Iceland,Augsburg,Forward,14.0,1132.0,1.0,4.0,"['Center Forward', 'Right Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Center Forward', 'Right Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Attacking Midfield', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Wing', 'Center Forward']",12.577777777777778,bundesliga
