player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Aarón Escandell Banacloche,Spain,Málaga,0,0.0,0.0,0.0,0.0,[],[],0.0
Abdoul Karim Yoda,France,Getafe,Defender,18.0,1007.0,10.0,0.0,"['Right Back', 'Left Center Midfield', 'Left Wing Back', 'Center Forward', 'Right Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Back', 'Right Wing']","['Left Center Midfield', 'Left Wing', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Right Wing', 'Left Wing', 'Left Back', 'Left Back', 'Left Back', 'Left Wing', 'Left Back', 'Left Wing', 'Right Wing', 'Right Back', 'Left Back', 'Left Wing Back', 'Right Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Center Attacking Midfield', 'Right Midfield', 'Left Center Forward', 'Center Forward']",11.188888888888888
Abdoulaye Doucouré,Mali,Granada,Midfielder,15.0,1163.0,2.0,1.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Wing']","['Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Wing', 'Left Center Midfield', 'Right Defensive Midfield']",12.922222222222222
Abraham González Casanova,Spain,Espanyol,Midfielder,20.0,1121.0,7.0,7.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Wing Back', 'Right Center Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield']","['Right Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Forward', 'Left Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Center Midfield', 'Left Center Midfield', 'Right Wing Back', 'Left Wing', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield']",12.455555555555556
Adalberto Peñaranda Maestre,Venezuela (Bolivarian Republic),Granada,Forward,23.0,1675.0,2.0,11.0,"['Center Forward', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Wing', 'Left Wing', 'Right Wing', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Right Wing', 'Left Center Forward']",18.61111111111111
Aderllan Leandro de Jesus Santos,Brazil,Valencia,Defender,17.0,1530.0,0.0,0.0,"['Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Center Back']","['Right Center Back', 'Left Center Back', 'Left Center Back', 'Center Attacking Midfield', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back']",17.0
Adil Rami,France,Sevilla,Defender,28.0,2430.0,0.0,2.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Center Back', 'Left Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Center Defensive Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",27.0
Adnane Tighadouini,Morocco,Málaga,Forward,10.0,404.0,6.0,4.0,"['Center Forward', 'Right Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Center Forward', 'Left Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing']",4.488888888888889
Adriano Correia Claro,Brazil,Barcelona,Defender,8.0,441.0,4.0,2.0,"['Left Center Midfield', 'Right Back', 'Left Back']","['Left Back', 'Left Back', 'Left Back', 'Right Back', 'Left Back', 'Left Center Midfield', 'Left Back', 'Left Back']",4.9
Adrián Embarba Blázquez,Spain,Rayo Vallecano,Forward,28.0,1857.0,9.0,8.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Midfield', 'Right Wing Back', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Back', 'Right Wing']","['Left Wing', 'Left Midfield', 'Left Midfield', 'Left Back', 'Left Wing', 'Right Wing', 'Right Wing Back', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Defensive Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Center Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Wing', 'Right Midfield', 'Left Wing Back', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Left Wing', 'Right Wing Back', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Center Midfield']",20.633333333333333
