player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Abdelaziz Barrada,Morocco,Marseille,Midfielder,24.0,1518.0,7.0,13.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Center Back', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Wing']","['Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Defensive Midfield', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Back', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield']",16.866666666666667
Abdelhamid El Kaoutari,Morocco,Stade de Reims,Defender,8.0,649.0,1.0,0.0,"['Center Forward', 'Left Back', 'Left Center Back']","['Left Center Back', 'Left Center Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Center Forward', 'Left Center Back', 'Left Center Back', 'Left Center Back']",7.211111111111111
Abdou Kader Mangane,Senegal,Gazélec Ajaccio,Defender,30.0,2477.0,3.0,1.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Back', 'Left Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Center Back']","['Left Center Midfield', 'Center Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Center Defensive Midfield', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Center Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Back', 'Right Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Back', 'Center Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back']",27.522222222222222
Abdoul Razzagui Camara,Guinea,Angers,Forward,17.0,1456.0,0.0,5.0,"['Left Midfield', 'Center Forward', 'Right Midfield', 'Left Wing', 'Right Center Forward', 'Right Wing']","['Right Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Center Forward', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Center Forward', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Center Forward', 'Right Wing', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Left Wing']",16.177777777777777
Abdoulaye Diallo,Senegal,Rennes,Goalkeeper,7.0,630.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",7.0
Abdoulaye Doucouré,Mali,Rennes,Midfielder,16.0,964.0,5.0,2.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Left Wing']",10.71111111111111
Abdoulaye Keita,Mali,Bastia,Defender,4.0,51.0,4.0,0.0,"['Right Back', 'Left Midfield', 'Right Wing Back', 'Right Center Back', 'Left Center Back']","['Left Center Back', 'Right Wing Back', 'Left Midfield', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Right Back']",0.5666666666666667
Abdoulaye Sadio Diallo,Guinea,Bastia,Midfielder,15.0,734.0,6.0,9.0,"['Left Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield']",8.155555555555555
Abdoulaye Touré,France,Nantes,Midfielder,4.0,211.0,2.0,0.0,"['Right Defensive Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Left Center Back']","['Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Right Defensive Midfield']",2.3444444444444446
Abdoulaye Traoré,Mali,Bordeaux,Midfielder,10.0,398.0,6.0,3.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Center Attacking Midfield']","['Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield']",4.4222222222222225
