player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,league
Aaron Mattia Tabacchi,Italy,Bologna,Forward,1.0,10.0,1.0,0.0,['Left Wing'],['Left Wing'],0.1111111111111111,serie_a
Abdelhamid El Kaoutari,Morocco,Palermo,Defender,7.0,630.0,0.0,0.0,['Left Center Back'],"['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",7.0,serie_a
Abdoulay Konko,France,Lazio,Defender,18.0,1533.0,1.0,2.0,"['Right Back', 'Left Back']","['Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Left Back', 'Right Back', 'Right Back', 'Left Back', 'Left Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",17.033333333333335,serie_a
Accursio Bentivegna,Italy,Palermo,Midfielder,1.0,13.0,1.0,0.0,"['Left Midfield', 'Right Midfield']","['Right Midfield', 'Left Midfield']",0.14444444444444443,serie_a
Achraf Lazaar,Morocco,Palermo,Defender,30.0,2319.0,4.0,7.0,"['Center Defensive Midfield', 'Left Midfield', 'Left Wing Back', 'Center Attacking Midfield', 'Left Back']","['Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Midfield', 'Left Wing Back', 'Left Wing Back', 'Left Back', 'Left Midfield', 'Left Back', 'Left Back', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Wing Back']",25.766666666666666,serie_a
Adam Masina,Morocco,Bologna,Defender,33.0,2652.0,3.0,6.0,"['Left Center Back', 'Center Attacking Midfield', 'Left Wing Back', 'Left Back']","['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Center Attacking Midfield', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",29.466666666666665,serie_a
Adem Ljajić,Serbia,Inter Milan,Midfielder,26.0,1485.0,10.0,9.0,"['Center Defensive Midfield', 'Right Center Midfield', 'Right Back', 'Left Midfield', 'Right Wing', 'Center Forward', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Right Midfield']","['Right Center Forward', 'Left Midfield', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Left Midfield', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Wing', 'Right Wing', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Left Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Wing', 'Left Wing', 'Left Midfield', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Center Forward', 'Left Midfield', 'Right Center Forward', 'Left Midfield', 'Left Midfield', 'Center Forward', 'Left Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Right Back', 'Left Wing', 'Right Attacking Midfield', 'Left Wing']",16.5,serie_a
Adriano Russo,Italy,Frosinone,Defender,10.0,886.0,1.0,1.0,"['Center Back', 'Right Center Back']","['Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Back']",9.844444444444445,serie_a
Afriyie Acquah,Ghana,Torino,Midfielder,29.0,1920.0,7.0,10.0,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield']","['Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield']",21.333333333333332,serie_a
Agostino Camigliano,Italy,Udinese,nan,0.0,0.0,0.0,0.0,[],[],0.0,serie_a
