Model,Accuracy (mean),Accuracy (std),Precision_macro (mean),Precision_macro (std),Recall_macro (mean),Recall_macro (std),F1_macro (mean),F1_macro (std)
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 500, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9101571759128617,0.016582916466514754,0.9218975790933241,0.016287143035678464,0.921370723228549,0.01438830038822601,0.9211276237232282,0.014981657898162243
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 300, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9101571759128617,0.01765713644853307,0.921576024737025,0.016647122877567658,0.9215697237808408,0.015520524807058678,0.9211559413852706,0.01587318949945268
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9085628421468479,0.010946167560806123,0.9199012470221584,0.01075645346007193,0.9201935419328333,0.009006919693446197,0.9196562926920677,0.009738029043127747
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9085628421468479,0.010946167560806123,0.9199012470221584,0.01075645346007193,0.9201935419328333,0.009006919693446197,0.9196562926920677,0.009738029043127747
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.01, 'clf__max_depth': 16, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9085614312320109,0.014898447378255766,0.9194420768780365,0.01473267521164495,0.9203175247696181,0.013816575105163976,0.919649593902145,0.014118031509745674
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 1000, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9085614312320109,0.014707313323704762,0.9205528685967577,0.014910701104270518,0.9198490408879012,0.012045445657867379,0.9196479901249148,0.013100011073296542
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9085614312320107,0.011087697027092397,0.9200164783166791,0.010966865987713448,0.9200059992510603,0.009534775804895724,0.9195900556539918,0.01005587473561441
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9085614312320107,0.011087697027092397,0.9200164783166791,0.010966865987713448,0.9200059992510603,0.009534775804895724,0.9195900556539918,0.01005587473561441
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 12, 'clf__n_estimators': 1000, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9080337490829052,0.014484220137498146,0.9198652757332091,0.01381348651549399,0.9196241355848709,0.012434835616400342,0.9192851823654529,0.012930143976215745
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9080309272532311,0.014009502235009175,0.9203625407464668,0.014107374749452799,0.9192720977359089,0.012435920581562749,0.9192713577491123,0.012800853449862523
